"I will be interviewed on @foxandfriends at 6:00 A.M. Enjoy!,02-28-2017 02:43:03"
"Great listening session with CEO's of the Retail Industry Leaders Association this morning! https://t.co/sy6xJcWfcF,02-15-2017 16:34:27"
"The real scandal here is that classified information is illegally given out by ""intelligence"" like candy. Very un-American!,02-15-2017 13:13:10"
"Crimea was TAKEN by Russia during the Obama Administration. Was Obama too soft on Russia?,02-15-2017 12:42:20"
"Thank you to Eli Lake of The Bloomberg View - ""The NSA &amp; FBI...should not interfere in our politics...and is"" Very serious situation for USA,02-15-2017 12:28:37"
"Information is being illegally given to the failing @nytimes &amp; @washingtonpost by the intelligence community (NSA and FBI?).Just like Russia,02-15-2017 12:19:18"
"This Russian connection non-sense is merely an attempt to cover-up the many mistakes made in Hillary Clinton's losing campaign.,02-15-2017 12:08:12"
"The fake news media is going crazy with their conspiracy theories and blind hatred. @MSNBC &amp; @CNN are unwatchable. @foxandfriends is great!,02-15-2017 11:40:32"
"Obamacare continues to fail. Humana to pull out in 2018. Will repeal replace &amp; save healthcare for ALL Americans. https://t.co/glWEQ0lNR4,02-14-2017 22:50:33"
"'Remarks by President Trump at Signing of H.J. Resolution 41'https://t.co/Q3MoCGAc54 https://t.co/yGDDTKm9Br,02-14-2017 21:48:10"
"Great parent-teacher listening session this morning with @VP Pence &amp; @usedgov Secretary @BetsyDeVos. Watch:… https://t.co/nuLTs513Ot,02-14-2017 20:21:59"
"The real story here is why are there so many illegal leaks coming out of Washington? Will these leaks be happening as I deal on N.Korea etc?,02-14-2017 14:28:54"
"Congratulations to our new #VASecretary Dr. David Shulkin. Time to take care of Veterans who have fought to protect… https://t.co/FNewjbHuw4,02-14-2017 03:30:45"
"Congratulations Treasury Secretary Steven Mnuchin! #ICYMI- watch here: https://t.co/RPsmw4yD7y https://t.co/K8tWLlXiYK,02-14-2017 02:57:05"
"Wonderful meeting with Canadian PM @JustinTrudeau and a group of leading CEO's &amp; business women from Canada____and th… https://t.co/wAoCOaYeZ6,02-13-2017 18:50:57"
"Welcome to the @WhiteHouse Prime Minister @JustinTrudeau! https://t.co/WKgF8Zo9ri,02-13-2017 16:59:06"
"Today I will meet with Canadian PM Trudeau and a group of leading business women to discuss women in the workforce. https://t.co/bFAHPRXHdP,02-13-2017 15:53:08"
"Just leaving Florida. Big crowds of enthusiastic supporters lining the road that the FAKE NEWS media refuses to mention. Very dishonest!,02-12-2017 22:19:05"
"Congratulations Stephen Miller- on representing me this morning on the various Sunday morning shows. Great job!,02-12-2017 15:41:55"
"I know Mark Cuban well. He backed me big-time but I wasn't interested in taking all of his calls.He's not smart enough to run for president!,02-12-2017 13:23:18"
"After two days of very productive talks Prime Minister Abe is heading back to Japan. L,02-12-2017 13:04:49"
"While on FAKE NEWS @CNN Bernie Sanders was cut off for using the term fake news to describe the network. They said technical difficulties!,02-12-2017 12:14:16"
"72% of refugees admitted into U.S. (2/3 -2/11) during COURT BREAKDOWN are from 7 countries: SYRIA IRAQ SOMALIA IRAN SUDAN LIBYA &amp; YEMEN,02-12-2017 11:55:10"
"The crackdown on illegal criminals is merely the keeping of my campaign promise. Gang members drug dealers &amp; others are being removed!,02-12-2017 11:34:45"
"#ICYMI: Joint Statement with Prime Minister Shinzo Abe on North Korea. https://t.co/qEC87FKB1D,02-12-2017 05:02:01"
"A working dinner tonight with Prime Minister Abe of Japan and his representatives at the Winter White House (Mar-a-Lago). Very good talks!,02-11-2017 23:24:08"
"Played golf today with Prime Minister Abe of Japan and @TheBig_Easy Ernie Els and had a great time. Japan is very well represented!,02-11-2017 23:15:34"
"Playef golf today with Prime Minister Abe of Japan and @TheBig_Easy Ernie Els and had a great time. Japan is very well represented!,02-11-2017 23:07:52"
"I am so proud of my daughter Ivanka. To be abused and treated so badly by the media and to still hold her head so high is truly wonderful!,02-11-2017 23:00:21"
"Having a great time hosting Prime Minister Shinzo Abe in the United States! https://t.co/Fvjsac89qS… https://t.co/hKqbMB2aQ9,02-11-2017 18:28:31"
"Melania and I are hosting Japanese Prime Minister Shinzo Abe and Mrs. Abe at Mar-a-Lago in Palm Beach Fla. They are a wonderful couple!,02-11-2017 13:33:53"
"...design or negotiations yet. When I do just like with the F-35 FighterJet or the Air Force One Program price will come WAY DOWN!,02-11-2017 13:24:32"
"I am reading that the great border WALL will cost more than the government originally thought but I have not gotten involved in the.....,02-11-2017 13:18:43"
"Our legal system is broken! ""77% of refugees allowed into U.S. since travel reprieve hail from seven suspect countries."" (WT)  SO DANGEROUS!,02-11-2017 12:12:51"
"Heading to Joint Base Andrews on #MarineOne with Prime Minister Shinz_ earlier today. https://t.co/4JFhyYdeHO,02-10-2017 23:24:51"
"The failing @nytimes does major FAKE NEWS China story saying ""Mr.Xi has not spoken to Mr. Trump since Nov.14."" We spoke at length yesterday!,02-10-2017 13:35:50"
"LAWFARE: ""Remarkably in the entire opinion the panel did not bother even to cite this (the) statute."" A disgraceful decision!,02-10-2017 13:15:27"
"SEE YOU IN COURT THE SECURITY OF OUR NATION IS AT STAKE!,02-09-2017 23:35:49"
"Join us live in the Oval Office for the swearing in of our new Attorney General @SenatorSessions!LIVE:… https://t.co/QeW6vjog4A,02-09-2017 15:58:01"
"..Ryan died on a winning mission ( according to General Mattis) not a ""failure."" Time for the U.S. to get smart and start winning again!,02-09-2017 13:52:31"
"...long he doesn't know how to win anymore just look at the mess our country is in - bogged down in conflict all over the place. Our hero..,02-09-2017 13:31:59"
"Sen. McCain should not be talking about the success or failure of a mission to the media. Only emboldens the enemy! He's been losing so....,02-09-2017 13:26:07"
"Chris Cuomo in his interview with Sen. Blumenthal never asked him about his long-term lie about his brave ""service"" in Vietnam. FAKE NEWS!,02-09-2017 13:19:08"
"Sen.Richard Blumenthal who never fought in Vietnam when he said for years he had (major lie)now misrepresents what Judge Gorsuch told him?,02-09-2017 11:57:59"
"Congratulations to our new Attorney General @SenatorSessions! https://t.co/e0buP1K83z,02-09-2017 01:05:53"
"'Trump administration seen as more truthful than news media'https://t.co/6LmsR5JOSW,02-08-2017 22:07:18"
"'Majority in Leading EU Nations Support Trump-Style Travel Ban' Poll of more than 10000 people in 10 countries...https://t.co/KWsIWhtC9o,02-08-2017 21:46:14"
