date,negative_proportion_min,negative_proportion_max,negative_proportion_mean,positive_proportion_min,positive_proportion_max,positive_proportion_mean,neutral_proportion_min,neutral_proportion_max,neutral_proportion_mean,combined_score_min,combined_score_max,combined_score_mean
2010-01-16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2010-01-22,0.0,0.0,0.0,0.247,0.247,0.247,0.753,0.753,0.753,0.5574,0.5574,0.5574
2010-01-23,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2010-02-08,0.0,0.0,0.0,0.512,0.512,0.512,0.488,0.488,0.488,0.9497,0.9497,0.9497
2010-02-11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2010-02-12,0.0,0.0,0.0,0.158,0.158,0.158,0.842,0.842,0.842,0.4576,0.4576,0.4576
2010-02-27,0.0,0.0,0.0,0.143,0.143,0.143,0.857,0.857,0.857,0.6113,0.6113,0.6113
2010-03-05,0.0,0.0,0.0,0.292,0.292,0.292,0.708,0.708,0.708,0.7906,0.7906,0.7906
2010-03-13,0.0,0.0,0.0,0.154,0.154,0.154,0.846,0.846,0.846,0.6369,0.6369,0.6369
2010-03-16,0.0,0.0,0.0,0.163,0.163,0.163,0.837,0.837,0.837,0.6249,0.6249,0.6249
2010-03-18,0.0,0.0,0.0,0.233,0.233,0.233,0.767,0.767,0.767,0.7717,0.7717,0.7717
2010-03-19,0.0,0.0,0.0,0.257,0.27,0.2635,0.73,0.743,0.7364999999999999,0.743,0.8221,0.7825500000000001
2010-03-24,0.0,0.0,0.0,0.25,0.25,0.25,0.75,0.75,0.75,0.7184,0.7184,0.7184
2010-03-25,0.0,0.0,0.0,0.108,0.108,0.108,0.892,0.892,0.892,0.3182,0.3182,0.3182
2010-03-30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2010-03-31,0.0,0.0,0.0,0.089,0.089,0.089,0.911,0.911,0.911,0.1695,0.1695,0.1695
2010-04-02,0.0,0.0,0.0,0.437,0.437,0.437,0.563,0.563,0.563,0.9217,0.9217,0.9217
2010-04-06,0.0,0.0,0.0,0.11,0.135,0.1225,0.865,0.89,0.8775,0.3818,0.5574,0.4696
2010-04-07,0.0,0.0,0.0,0.519,0.519,0.519,0.481,0.481,0.481,0.9451,0.9451,0.9451
2010-04-08,0.0,0.0,0.0,0.205,0.205,0.205,0.795,0.795,0.795,0.5574,0.5574,0.5574
2010-04-10,0.0,0.0,0.0,0.337,0.337,0.337,0.663,0.663,0.663,0.8641,0.8641,0.8641
2010-04-13,0.0,0.0,0.0,0.262,0.34,0.30100000000000005,0.66,0.738,0.6990000000000001,0.5994,0.8689,0.7341500000000001
2010-04-15,0.0,0.0,0.0,0.224,0.224,0.224,0.776,0.776,0.776,0.7474,0.7474,0.7474
2010-04-17,0.0,0.0,0.0,0.098,0.098,0.098,0.902,0.902,0.902,0.34,0.34,0.34
2010-04-21,0.0,0.131,0.0655,0.0,0.313,0.1565,0.556,1.0,0.778,0.0,0.6808,0.3404
2010-04-22,0.0,0.0,0.0,0.316,0.316,0.316,0.684,0.684,0.684,0.8126,0.8126,0.8126
2010-04-24,0.135,0.135,0.135,0.126,0.126,0.126,0.738,0.738,0.738,0.1779,0.1779,0.1779
2010-04-26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2010-04-28,0.0,0.0,0.0,0.252,0.252,0.252,0.748,0.748,0.748,0.7506,0.7506,0.7506
2010-04-30,0.0,0.0,0.0,0.271,0.271,0.271,0.729,0.729,0.729,0.7717,0.7717,0.7717
2010-05-01,0.0,0.0,0.0,0.308,0.308,0.308,0.692,0.692,0.692,0.8689,0.8689,0.8689
2010-05-04,0.064,0.082,0.07266666666666667,0.0,0.253,0.122,0.683,0.918,0.805,-0.1531,0.6908,0.25466666666666665
2010-05-06,0.0,0.0,0.0,0.456,0.456,0.456,0.544,0.544,0.544,0.9117,0.9117,0.9117
2010-05-14,0.071,0.071,0.071,0.0,0.0,0.0,0.929,0.929,0.929,-0.1531,-0.1531,-0.1531
2010-05-18,0.14,0.14,0.14,0.395,0.395,0.395,0.465,0.465,0.465,0.8957,0.8957,0.8957
2010-05-20,0.0,0.0,0.0,0.0,0.13,0.065,0.87,1.0,0.935,0.0,0.5106,0.2553
2010-05-21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2010-05-25,0.0,0.0,0.0,0.175,0.488,0.3315,0.512,0.825,0.6685,0.5267,0.959,0.74285
2010-05-26,0.0,0.0,0.0,0.163,0.47,0.3165,0.53,0.837,0.6835,0.5994,0.9349,0.76715
2010-05-27,0.0,0.0,0.0,0.141,0.141,0.141,0.859,0.859,0.859,0.5574,0.5574,0.5574
2010-05-28,0.0,0.0,0.0,0.283,0.283,0.283,0.717,0.717,0.717,0.836,0.836,0.836
2010-05-29,0.0,0.0,0.0,0.424,0.424,0.424,0.576,0.576,0.576,0.91,0.91,0.91
2010-06-03,0.188,0.188,0.188,0.107,0.107,0.107,0.705,0.705,0.705,-0.34,-0.34,-0.34
2010-06-04,0.0,0.0,0.0,0.372,0.372,0.372,0.628,0.628,0.628,0.8271,0.8271,0.8271
2010-06-05,0.127,0.127,0.127,0.104,0.104,0.104,0.769,0.769,0.769,-0.128,-0.128,-0.128
2010-06-06,0.0,0.0,0.0,0.167,0.167,0.167,0.833,0.833,0.833,0.6369,0.6369,0.6369
2010-06-09,0.0,0.071,0.03933333333333333,0.208,0.304,0.24033333333333332,0.625,0.791,0.7203333333333334,0.4404,0.7351,0.6368666666666667
2010-06-11,0.0,0.0,0.0,0.42,0.42,0.42,0.58,0.58,0.58,0.4404,0.4404,0.4404
2010-06-15,0.0,0.0,0.0,0.0,0.141,0.0705,0.859,1.0,0.9295,0.0,0.5574,0.2787
2010-06-17,0.0,0.0,0.0,0.0,0.139,0.0695,0.861,1.0,0.9305,0.0,0.5267,0.26335
2010-06-21,0.0,0.0,0.0,0.278,0.278,0.278,0.722,0.722,0.722,0.6597,0.6597,0.6597
2010-06-22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2010-06-23,0.0,0.0,0.0,0.215,0.215,0.215,0.785,0.785,0.785,0.6249,0.6249,0.6249
2010-06-25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2010-06-28,0.0,0.0,0.0,0.272,0.272,0.272,0.728,0.728,0.728,0.6249,0.6249,0.6249
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2010-07-02,0.0,0.0,0.0,0.482,0.482,0.482,0.518,0.518,0.518,0.8519,0.8519,0.8519
2010-07-03,0.057,0.057,0.057,0.106,0.106,0.106,0.837,0.837,0.837,0.3182,0.3182,0.3182
2010-07-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2010-07-15,0.118,0.118,0.118,0.456,0.456,0.456,0.427,0.427,0.427,0.9286,0.9286,0.9286
2010-07-20,0.0,0.0,0.0,0.0,0.295,0.09833333333333333,0.705,1.0,0.9016666666666667,0.0,0.6361,0.21203333333333332
2010-07-21,0.0,0.0,0.0,0.38,0.38,0.38,0.62,0.62,0.62,0.8481,0.8481,0.8481
2010-07-30,0.0,0.0,0.0,0.0,0.286,0.18233333333333332,0.714,1.0,0.8176666666666667,0.0,0.7184,0.4252666666666667
2010-07-31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2010-08-04,0.065,0.071,0.068,0.0,0.0,0.0,0.929,0.935,0.932,-0.1531,-0.1531,-0.1531
2010-08-09,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2010-08-12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2010-08-13,0.0,0.0,0.0,0.0,0.137,0.097,0.863,1.0,0.9029999999999999,0.0,0.5859,0.34808000000000006
2010-08-20,0.0,0.054,0.027,0.205,0.282,0.2435,0.718,0.741,0.7295,0.6705,0.7096,0.69005
2010-08-23,0.065,0.065,0.065,0.0,0.0,0.0,0.935,0.935,0.935,-0.1531,-0.1531,-0.1531
2010-08-24,0.12,0.12,0.12,0.429,0.429,0.429,0.451,0.451,0.451,0.8807,0.8807,0.8807
2010-08-27,0.081,0.081,0.081,0.414,0.414,0.414,0.505,0.505,0.505,0.8225,0.8225,0.8225
2010-08-31,0.0,0.0,0.0,0.206,0.206,0.206,0.794,0.794,0.794,0.5994,0.5994,0.5994
2010-09-01,0.0,0.0,0.0,0.331,0.331,0.331,0.669,0.669,0.669,0.836,0.836,0.836
2010-09-02,0.103,0.103,0.103,0.235,0.235,0.235,0.662,0.662,0.662,0.5574,0.5574,0.5574
2010-09-03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2010-09-08,0.0,0.0,0.0,0.0,0.231,0.1155,0.769,1.0,0.8845000000000001,0.0,0.743,0.3715
2010-09-10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2010-09-15,0.0,0.0,0.0,0.365,0.435,0.4,0.565,0.635,0.6,0.875,0.902,0.8885000000000001
2010-09-17,0.0,0.0,0.0,0.186,0.186,0.186,0.814,0.814,0.814,0.6447,0.6447,0.6447
2010-09-18,0.0,0.0,0.0,0.108,0.108,0.108,0.892,0.892,0.892,0.3182,0.3182,0.3182
2010-09-24,0.0,0.0,0.0,0.094,0.094,0.094,0.906,0.906,0.906,0.1695,0.1695,0.1695
2010-09-25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0,0.132,0.132,0.132,0.868,0.868,0.868,0.4939,0.4939,0.4939
2010-10-02,0.0,0.0,0.0,0.237,0.237,0.237,0.763,0.763,0.763,0.4215,0.4215,0.4215
2010-10-06,0.0,0.0,0.0,0.278,0.278,0.278,0.722,0.722,0.722,0.8074,0.8074,0.8074
2010-10-07,0.0,0.0,0.0,0.272,0.469,0.3705,0.531,0.728,0.6295,0.5948,0.8658,0.7303
2010-10-14,0.0,0.0,0.0,0.234,0.234,0.234,0.766,0.766,0.766,0.4526,0.4526,0.4526
2010-10-15,0.0,0.0,0.0,0.282,0.282,0.282,0.718,0.718,0.718,0.6249,0.6249,0.6249
2010-10-22,0.0,0.0,0.0,0.223,0.223,0.223,0.777,0.777,0.777,0.5948,0.5948,0.5948
2010-10-27,0.0,0.0,0.0,0.137,0.137,0.137,0.863,0.863,0.863,0.2263,0.2263,0.2263
2010-10-29,0.052,0.052,0.052,0.325,0.325,0.325,0.623,0.623,0.623,0.836,0.836,0.836
2010-11-04,0.113,0.113,0.113,0.0,0.0,0.0,0.887,0.887,0.887,-0.4215,-0.4215,-0.4215
2010-11-05,0.058,0.058,0.058,0.179,0.179,0.179,0.763,0.763,0.763,0.3658,0.3658,0.3658
2010-11-12,0.0,0.0,0.0,0.25,0.25,0.25,0.75,0.75,0.75,0.5178,0.5178,0.5178
2010-11-16,0.0,0.0,0.0,0.122,0.122,0.122,0.878,0.878,0.878,0.3892,0.3892,0.3892
2010-11-19,0.0,0.0,0.0,0.0,0.194,0.097,0.806,1.0,0.903,0.0,0.6249,0.31245
2010-11-23,0.0,0.0,0.0,0.405,0.405,0.405,0.595,0.595,0.595,0.9274,0.9274,0.9274
2010-11-25,0.0,0.106,0.035333333333333335,0.102,0.655,0.29633333333333334,0.345,0.868,0.6683333333333333,-0.0258,0.8591,0.44239999999999996
2010-11-30,0.0,0.0,0.0,0.308,0.308,0.308,0.692,0.692,0.692,0.8402,0.8402,0.8402
2010-12-03,0.0,0.0,0.0,0.236,0.236,0.236,0.764,0.764,0.764,0.8126,0.8126,0.8126
2010-12-10,0.0,0.0,0.0,0.288,0.425,0.3565,0.575,0.712,0.6435,0.8271,0.9022,0.8646499999999999
2010-12-14,0.0,0.0,0.0,0.0,0.298,0.09933333333333333,0.702,1.0,0.9006666666666666,0.0,0.802,0.26733333333333337
2010-12-15,0.123,0.123,0.123,0.0,0.0,0.0,0.877,0.877,0.877,-0.4215,-0.4215,-0.4215
2010-12-16,0.0,0.0,0.0,0.411,0.411,0.411,0.589,0.589,0.589,0.9112,0.9112,0.9112
