,0,1,after4_date
0,0.22995944707480712,0.1959149047459282,2009-05-05
1,0.052084612151302674,0.06254034719905799,2009-05-08
2,0.07956409485870375,0.035553555297656636,2009-05-09
3,0.10135158868906252,0.04364905053272843,2009-05-12
4,0.06821164344244923,0.062036668579912566,2009-05-13
5,0.12843467856612634,0.1250082397500471,2009-05-14
6,0.11185961430785266,0.04148767602378434,2009-05-15
7,0.08054552690126497,0.025673333118304834,2009-05-17
8,0.13562997481877484,0.06930257571661315,2009-05-18
9,0.16473800901237895,0.038744980183974896,2009-05-20
10,0.14550564327304913,0.07463436065209465,2009-05-21
11,0.10716453542492502,0.04334576009456421,2009-05-22
12,0.10352643621226616,0.02020316469492299,2009-05-23
13,0.11001061025268265,0.1324262155613028,2009-05-24
14,0.0846738213969504,0.07788756460657452,2009-05-26
15,0.073012183400053,0.09730030855508637,2009-05-27
16,0.18047775881539502,0.07735922107969818,2009-05-29
17,0.027828310229106642,0.04770663232623225,2009-06-04
18,0.10777712567160219,0.18386224656174074,2009-06-06
19,0.10623958909529244,0.00954812664481699,2009-06-09
20,0.05620882465147862,0.06694165996890822,2009-06-14
21,0.09618689599011548,0.15214190825932186,2009-06-16
22,0.0640778596906992,0.006114824446264903,2009-06-18
23,0.13109120416376174,0.019151781904197997,2009-06-21
24,0.05691757798419793,0.108836148511912,2009-06-23
25,0.03234336045400643,0.046832432988436146,2009-06-25
26,0.08196171260675911,0.04155660675199681,2009-06-27
27,0.1498068718761193,0.04936902845901027,2009-06-30
28,0.15593955754950173,0.06819583847372777,2009-07-05
29,0.09173053575806832,0.03512343674632734,2009-07-13
30,0.03120358665897047,0.05635427169612495,2009-07-15
31,0.11997777397664774,-0.004276485453675429,2009-07-23
32,0.09633275031483361,0.05895140670543859,2009-07-29
33,0.07403130818274656,0.062182578826757706,2009-08-04
34,0.1368449935372363,0.02322388283501135,2009-08-11
35,0.1004545503164582,0.083127958655979,2009-08-14
36,0.08506269947606318,0.06796891899449889,2009-08-20
37,0.11323043098243706,0.10303391308607598,2009-08-21
38,0.12473045035631525,0.10942029313830702,2009-08-24
39,0.07192727887879324,0.02593995278249996,2009-08-30
40,0.03721643575955165,0.03116058293967344,2009-09-01
41,0.03600386764568371,0.05380524751194138,2009-09-15
42,0.11038941073345053,0.03670898069516911,2009-09-30
