date,intra_ret_1,intra_ret_5,intra_ret_15,intra_diff_15_5,intra_blend
2016-11-14,-0.0003427396321261282,-0.0003427396321261282,-0.0003427396321261282,-0.0003427396321261282,-0.0003427396321261282
2016-11-15,-0.00011412919424788861,-0.0005706459712394431,-0.0011406410402646286,0.00011412919424788853,-0.0004184737122422583
2016-11-16,-0.0004569339730408956,-0.0002276348736626451,-0.0007995431182181611,-0.0002276348736626451,-0.0003040679067887286
2016-11-17,0.0009082652134423251,0.0009082652134423251,0.0009082652134423251,0.0009082652134423251,0.0009082652134423251
2016-11-18,-0.00011352026336701091,-0.00011352026336701091,-0.00011352026336701091,-0.00011352026336701091,-0.00011352026336701091
2016-11-22,-0.00022593764121102577,-0.0006768189509306261,-0.0006782726656115759,0.0,-0.0005265251810240927
2016-11-23,-0.00011267605633802817,-0.00011267605633802817,-0.00011267605633802817,0.0,-0.00011267605633802817
2016-11-24,-0.00011263798152737103,-0.00022530134054297624,0.00022527596305474206,-0.0005632533513574405,-0.0001877468875377745
2016-11-28,-0.0001124985937675779,-0.0002248959856066569,-0.0002248201438848921,0.0,-0.0001874301883269639
2016-11-29,-0.000225022502250225,-0.00044943820224719103,-0.00022527596305474206,-0.00011235955056179778,-0.00037463296891486903
2016-11-30,-0.00011235955056179778,-0.00011235955056179778,-0.00011235955056179778,-0.00011235955056179778,-0.00011235955056179778
2016-12-01,-0.00022675736961451248,-0.00034002040122407346,-0.0010204081632653062,0.000566700668706789,-0.00030226605735421977
2016-12-02,0.0,-0.00022670596236681024,0.0,-0.0004534119247336205,-0.00015113730824454016
2016-12-05,-0.00011344299489506523,-0.00022696323195642307,-0.0006808896958692692,0.0004539264639128461,-0.00018912315293597045
2016-12-06,0.00022507314877335134,-0.00011220825852782765,0.00022507314877335134,0.00011220825852782765,2.1887723923201064e-07
2016-12-07,-0.0002244165170556553,-0.001895417549336604,-0.0017839223993756273,-0.00011149514996097666,-0.0013384172052429543
2016-12-08,0.00033211557622052476,0.00033211557622052476,0.00033211557622052476,0.00033211557622052476,0.0003321155762205247
2016-12-09,-0.00011041183614883516,-0.00022082367229767032,-0.00011041183614883516,-0.00011041183614883516,-0.00018401972691472527
2016-12-12,-0.0003297428006155199,-0.00010978153474585576,-0.00010978153474585576,-0.00010978153474585576,-0.00018310195670241048
2016-12-13,-0.00021784119376974187,-0.00021784119376974187,-0.00021784119376974187,-0.00021784119376974187,-0.00021784119376974187
2016-12-14,-0.00021822149481723953,-0.00021822149481723953,-0.00021822149481723953,-0.00021822149481723953,-0.00021822149481723956
2016-12-15,-0.0007673755755316816,-0.00065775049331287,-0.0007673755755316816,0.00010962508221881164,-0.0006942921873858073
2016-12-16,0.0008766162612316459,0.0008766162612316459,0.0008766162612316459,0.0008766162612316459,0.0008766162612316459
2016-12-19,0.0002190580503833516,0.0002190580503833516,0.0002190580503833516,0.0002190580503833516,0.0002190580503833516
2016-12-20,0.0002183406113537118,0.0002183406113537118,0.0002183406113537118,0.0002183406113537118,0.0002183406113537118
2016-12-21,0.00010920607185759527,0.00010920607185759527,0.00010920607185759527,0.00010920607185759527,0.00010920607185759527
2016-12-22,-0.00010962508221881167,-0.00043806811959259663,-0.00021903405979629831,-0.00021903405979629831,-0.0003285871071346683
2016-12-23,-0.00021891418563922942,-0.0001096611470555982,0.00010964912280701755,-0.0002193222941111964,-0.00014607882658347528
2016-12-27,-0.00010948105977665864,0.00010950503723171266,0.00010950503723171266,0.00010950503723171266,3.650967156225556e-05
2016-12-28,-0.00022026431718061675,0.0002201915666629968,0.0002201915666629968,0.0002201915666629968,7.337293871512563e-05
2016-12-29,0.0,-0.00033068783068783067,-0.0006613756613756613,0.00033068783068783067,-0.0002204585537918871
2017-01-03,-0.0005518763796909492,-0.0005520591807441757,-0.0007728828530418461,0.00022082367229767032,-0.0005519982470597669
2017-01-04,-0.00043677658877484165,-0.0008735531775496833,-0.000655307994757536,-0.0008735531775496833,-0.0007279609812914028
2017-01-05,-0.0006571741511500548,-0.000547645125958379,-0.0006571741511500548,-0.00010952902519167576,-0.0005841548010222709
2017-01-06,-0.00021746221593998044,-0.0004351610095735422,-0.0010882576994232234,0.00010879025239338554,-0.00036259474502902165
2017-01-09,-0.00021843599825251202,-0.000327653997378768,-0.000982961992136304,0.0006553079947575359,-0.000291247997670016
2017-01-10,0.0001092418614813196,0.0001092418614813196,0.0001092418614813196,0.0001092418614813196,0.0001092418614813196
2017-01-11,-0.0006566706796541534,-0.0013156452143405328,-0.00274092752987611,0.0014252823155355774,-0.0010959870361117398
2017-01-12,-0.0003278688524590164,-0.000546448087431694,-0.0008759443775320267,-0.0003278688524590164,-0.00047358834244080146
2017-01-13,-0.00032697547683923706,-0.00032697547683923706,-0.00032697547683923706,-0.00032697547683923706,-0.00032697547683923706
2017-01-16,0.00032740368874822657,0.00032740368874822657,0.00032740368874822657,0.00032740368874822657,0.00032740368874822657
2017-01-17,-0.0005475851494907458,-0.0008761362391851933,0.0013104728622911435,0.00010951702989814912,-0.000766619209287044
2017-01-18,-0.00021867483052700635,-0.00043739748496446145,-0.0006558810668998689,-0.00021869874248223073,-0.0003644899334853097
2017-01-19,0.0016414970453053185,0.0016414970453053185,0.0016414970453053185,0.0016414970453053185,0.0016414970453053183
2017-01-20,-0.00021841214371519057,0.0,0.0,0.0,-7.280404790506352e-05
2017-01-23,0.000548185505975222,0.000548185505975222,0.000548185505975222,0.000548185505975222,0.000548185505975222
2017-01-24,0.0,0.0,0.0,0.0,0.0
