date,S_up_gamma_5,S_down_gamma_5,S_up_diff_5,S_down_diff_5
2018-10-22,33710.29867524651,30131.51186071306,18091.189152785242,16913.621853174882
2018-10-23,32730.64016361901,31549.919195124832,17945.246355210897,18288.11443011828
2018-10-26,29036.86758062381,23855.96044962391,15743.16568005105,13929.162182921016
2018-10-29,20106.21891897667,14167.373842729454,7233.730937308221,6160.339803828805
2018-10-30,20447.215542958467,14273.517670897318,8112.850399220733,5893.359672880144
2018-11-06,16843.296576095236,23202.55433975617,5357.521425190949,10286.893868464402
2018-11-08,18458.73497741707,23069.65667409425,6603.663286174113,10148.3013689384
2018-11-13,18467.177074445444,20870.61927967964,7358.163106655595,10120.128710750798
2018-11-14,19219.29272130317,21345.31400433916,8223.548657237783,10705.458486939775
2018-11-15,19791.870021860195,23929.411246811633,7761.841139287873,11721.57907419552
2018-11-26,17850.660362644936,17823.700856249183,6404.472980326631,7280.60922108032
2018-11-29,31129.513901582202,23866.84532189315,8361.402803514498,9423.835885944127
2018-11-30,31354.3151699126,24060.696669747857,8424.220022593741,9506.829074805742
2018-12-04,27336.804237386244,28047.356897535836,9709.96388488703,13438.510187851934
2018-12-06,27204.365704278414,26510.375128351385,9313.956055039962,13876.22649565638
2018-12-07,27091.14171713593,27837.5061257859,10350.858368708323,14222.798958191153
2018-12-11,26029.61471451102,27941.17197511377,11597.957785385044,15392.114843207051
2018-12-12,25427.5616712233,28363.888180918166,11331.832044163293,16348.107293114295
2018-12-13,23233.24086123603,27152.208527820294,9902.354715581347,15434.707388279516
2018-12-17,30319.3967831285,28412.559571746253,15167.058736261757,15996.136412860085
2018-12-21,25322.789443893278,28226.916603886686,13531.41673088391,16587.85470641959
2018-12-26,13473.075346294907,11908.464148293615,4474.768460808205,4570.329428567044
2019-01-02,13638.180865035622,14466.65427942561,4761.0253750507345,6040.604378465074
