                PRELIMINARY PRICES AS OF 09/28/17 03:16 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
OCT17      ----      ----      ----      ----     .0350  +.0050                  .0300
NOV17      ----      ----      ----      ----     .0250  +.0025                  .0225
DEC17      ----      ----      ----      ----     .0225  +.0025                  .0200
JAN18      ----      ----      ----      ----    -.0125    UNCH                 -.0125
FEB18      ----      ----      ----      ----    -.0225    UNCH                 -.0225
MAR18      ----      ----      ----      ----    -.0225    UNCH                 -.0225
APR18      ----      ----      ----      ----    -.0125    UNCH                 -.0125
MAY18      ----      ----      ----      ----    -.0050    UNCH                 -.0050
JUN18      ----      ----      ----      ----    -.0050    UNCH                 -.0050
JLY18      ----      ----      ----      ----    -.0025    UNCH                 -.0025
AUG18      ----      ----      ----      ----    -.0025    UNCH                 -.0025
SEP18      ----      ----      ----      ----     .0100    UNCH                  .0100
OCT18      ----      ----      ----      ----     .0125    UNCH                  .0125
NOV18      ----      ----      ----      ----     .0125    UNCH                  .0125
2CE Chicago Ethanol (Platts) Calendar Spread Option -
OCT17      ----      ----      ----      ----     .0600  +.0075                  .0525
NOV17      ----      ----      ----      ----     .0475  +.0050                  .0425
DEC17      ----      ----      ----      ----     .0100  +.0025                  .0075
JAN18      ----      ----      ----      ----    -.0350    UNCH                 -.0350
FEB18      ----      ----      ----      ----    -.0450    UNCH                 -.0450
MAR18      ----      ----      ----      ----    -.0350    UNCH                 -.0350
APR18      ----      ----      ----      ----    -.0175    UNCH                 -.0175
MAY18      ----      ----      ----      ----    -.0100    UNCH                 -.0100
JUN18      ----      ----      ----      ----    -.0075    UNCH                 -.0075
JLY18      ----      ----      ----      ----    -.0050    UNCH                 -.0050
AUG18      ----      ----      ----      ----     .0075    UNCH                  .0075
2RB RBOB TAM SYNTHETIC LONDON FUTURE
OCT17      ----      ----      ----      ----    1.6279  -.0271                 1.6550
NOV17      ----      ----      ----      ----    1.6061  -.0136                 1.6197
DEC17      ----      ----      ----      ----    1.5886  -.0111                 1.5997
3A WTI OIL CS12SYNTHT
NOV17      ----      ----      ----      ----      -.05    -.09                    .04
DEC17      ----      ----      ----      ----       .32    -.07                    .39
JAN18      ----      ----      ----      ----       .65    -.05                    .70
FEB18      ----      ----      ----      ----       .86    -.03                    .89
MAR18      ----      ----      ----      ----      1.00    -.03                   1.03
APR18      ----      ----      ----      ----      1.08    -.01                   1.09
MAY18      ----      ----      ----      ----      1.10    -.01                   1.11
JUN18      ----      ----      ----      ----      1.06    -.01                   1.07
JLY18      ----      ----      ----      ----      1.03    -.01                   1.04
AUG18      ----      ----      ----      ----      1.01    UNCH                   1.01
SEP18      ----      ----      ----      ----       .99    UNCH                    .99
OCT18      ----      ----      ----      ----       .97    +.01                    .96
NOV18      ----      ----      ----      ----       .94    +.01                    .93
DEC18      ----      ----      ----      ----       .90    +.01                    .89
DEC19      ----      ----      ----      ----       .28    -.03                    .31
DEC20      ----      ----      ----      ----      -.04    -.04                    .00
3CE Chicago Ethanol (Platts) Calendar Spread Option -
OCT17      ----      ----      ----      ----     .0825  +.0100                  .0725
NOV17      ----      ----      ----      ----     .0350  +.0050                  .0300
DEC17      ----      ----      ----      ----    -.0125  +.0025                 -.0150
JAN18      ----      ----      ----      ----    -.0575    UNCH                 -.0575
FEB18      ----      ----      ----      ----    -.0575    UNCH                 -.0575
MAR18      ----      ----      ----      ----    -.0400    UNCH                 -.0400
APR18      ----      ----      ----      ----    -.0225    UNCH                 -.0225
MAY18      ----      ----      ----      ----    -.0125    UNCH                 -.0125
JUN18      ----      ----      ----      ----    -.0100    UNCH                 -.0100
JLY18      ----      ----      ----      ----     .0050    UNCH                  .0050
4A WTI OIL CS6 SYNTHT
DEC17      ----      ----      ----      ----      -.21    -.05                   -.16
JUN18      ----      ----      ----      ----       .53    -.02                    .55
DEC18      ----      ----      ----      ----       .53    +.01                    .52
JUN19      ----      ----      ----      ----       .37    UNCH                    .37
DEC19      ----      ----      ----      ----       .26    -.01                    .27
JUN20      ----      ----      ----      ----       .02    -.02                    .04
DEC20      ----      ----      ----      ----       .02    -.02                    .04
JUN21      ----      ----      ----      ----      -.06    -.02                   -.04
DEC21      ----      ----      ----      ----      -.14    UNCH                   -.14
JUN22      ----      ----      ----      ----      -.20    UNCH                   -.20
DEC22      ----      ----      ----      ----      -.25    UNCH                   -.25
JUN23      ----      ----      ----      ----      -.30    UNCH                   -.30
4RB RBOB 3:15 2 MINUTE TAM SYNTHETIC LONDON FUTURE
OCT17      ----      ----      ----      ----    1.6390  -.0071                 1.6461
5A WTI OIL CS3 SYNTHT
NOV17      ----      ----      ----      ----      -.64    -.06                   -.58
6A WTI OIL CS2 SYNTHT
NOV17      ----      ----      ----      ----      -.53    -.04                   -.49
DEC17      ----      ----      ----      ----      -.33    -.04                   -.29
6CE Chicago Ethanol (Platts) Calendar Spread Option -
OCT17      ----      ----      ----      ----     .0250  +.0100                  .0150
NOV17      ----      ----      ----      ----    -.0225  +.0050                 -.0275
DEC17      ----      ----      ----      ----    -.0525  +.0025                 -.0550
JAN18      ----      ----      ----      ----    -.0800    UNCH                 -.0800
FEB18      ----      ----      ----      ----    -.0700    UNCH                 -.0700
MAR18      ----      ----      ----      ----    -.0500    UNCH                 -.0500
APR18      ----      ----      ----      ----    -.0175    UNCH                 -.0175
MAY18      ----      ----      ----      ----     .0075    UNCH                  .0075
6T In Delivery Month European Union Allowance (EUA) F
DEC17      ----      ----      ----      ----    6.9600  +.0300                 6.9300                    6900
DEC18      ----      ----      ----      ----    6.9900  +.0300                 6.9600                    3698
DEC19      ----      ----      ----      ----    7.0700  +.0200                 7.0500
DEC20      ----      ----      ----      ----    7.1500  +.0200                 7.1300
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                                                    10598
A2 WTI OIL CS1 SYNTHT
NOV17      ----      ----      ----      ----      -.31    -.02                   -.29
DEC17      ----      ----      ----      ----      -.22    -.02                   -.20
JAN18      ----      ----      ----      ----      -.11    -.02                   -.09
FEB18      ----      ----      ----      ----      -.04    UNCH                   -.04
MAR18      ----      ----      ----      ----       .01    -.01                    .02
APR18      ----      ----      ----      ----       .06    UNCH                    .06
MAY18      ----      ----      ----      ----       .09    UNCH                    .09
JUN18      ----      ----      ----      ----       .12    UNCH                    .12
JLY18      ----      ----      ----      ----       .11    -.01                    .12
AUG18      ----      ----      ----      ----       .09    UNCH                    .09
SEP18      ----      ----      ----      ----       .08    -.01                    .09
OCT18      ----      ----      ----      ----       .07    UNCH                    .07
NOV18      ----      ----      ----      ----       .06    UNCH                    .06
