                PRELIMINARY PRICES AS OF 10/03/18 12:32 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
NOV18      ----      ----      ----      ----      ----    UNCH                 -.0175
DEC18      ----      ----      ----      ----      ----    UNCH                 -.0150
JAN19      ----      ----      ----      ----      ----    UNCH                 -.0200
FEB19      ----      ----      ----      ----      ----    UNCH                 -.0200
MAR19      ----      ----      ----      ----      ----    UNCH                 -.0200
APR19      ----      ----      ----      ----      ----    UNCH                 -.0175
MAY19      ----      ----      ----      ----      ----    UNCH                 -.0150
JUN19      ----      ----      ----      ----      ----    UNCH                 -.0050
JLY19      ----      ----      ----      ----      ----    UNCH                 -.0050
AUG19      ----      ----      ----      ----      ----    UNCH                 -.0050
2CE Chicago Ethanol (Platts) Calendar Spread Option -
NOV18      ----      ----      ----      ----      ----    UNCH                 -.0325
DEC18      ----      ----      ----      ----      ----    UNCH                 -.0350
JAN19      ----      ----      ----      ----      ----    UNCH                 -.0400
FEB19      ----      ----      ----      ----      ----    UNCH                 -.0400
MAR19      ----      ----      ----      ----      ----    UNCH                 -.0375
APR19      ----      ----      ----      ----      ----    UNCH                 -.0325
MAY19      ----      ----      ----      ----      ----    UNCH                 -.0200
JUN19      ----      ----      ----      ----      ----    UNCH                 -.0100
JLY19      ----      ----      ----      ----      ----    UNCH                 -.0100
2RB RBOB TAM SYNTHETIC LONDON FUTURE
NOV18      ----      ----      ----      ----    2.1158  -.0165                 2.1323
DEC18      ----      ----      ----      ----    2.1119  -.0141                 2.1260
JAN19      ----      ----      ----      ----    2.1124  -.0141                 2.1265
3A WTI OIL CS12SYNTHT
NOV18      ----      ----      ----      ----      ----    UNCH                   2.95
DEC18      ----      ----      ----      ----      ----    UNCH                   3.14
JAN19      ----      ----      ----      ----      ----    UNCH                   3.43
FEB19      ----      ----      ----      ----      ----    UNCH                   3.71
MAR19      ----      ----      ----      ----      ----    UNCH                   3.99
APR19      ----      ----      ----      ----      ----    UNCH                   4.24
MAY19      ----      ----      ----      ----      ----    UNCH                   4.42
JUN19      ----      ----      ----      ----      ----    UNCH                   4.53
JLY19      ----      ----      ----      ----      ----    UNCH                   4.62
AUG19      ----      ----      ----      ----      ----    UNCH                   4.64
SEP19      ----      ----      ----      ----      ----    UNCH                   4.64
OCT19      ----      ----      ----      ----      ----    UNCH                   4.59
NOV19      ----      ----      ----      ----      ----    UNCH                   4.55
DEC19      ----      ----      ----      ----      ----    UNCH                   4.47
MAR20      ----      ----      ----      ----      ----    UNCH                   4.32
JUN20      ----      ----      ----      ----      ----    UNCH                   4.18
SEP20      ----      ----      ----      ----      ----    UNCH                   3.93
DEC20      ----      ----      ----      ----      ----    UNCH                   3.74
MAR21      ----      ----      ----      ----      ----    UNCH                   3.45
JUN21      ----      ----      ----      ----      ----    UNCH                   3.18
SEP21      ----      ----      ----      ----      ----    UNCH                   2.91
3CE Chicago Ethanol (Platts) Calendar Spread Option -
NOV18      ----      ----      ----      ----      ----    UNCH                 -.0525
DEC18      ----      ----      ----      ----      ----    UNCH                 -.0550
JAN19      ----      ----      ----      ----      ----    UNCH                 -.0600
FEB19      ----      ----      ----      ----      ----    UNCH                 -.0575
MAR19      ----      ----      ----      ----      ----    UNCH                 -.0525
APR19      ----      ----      ----      ----      ----    UNCH                 -.0375
MAY19      ----      ----      ----      ----      ----    UNCH                 -.0250
JUN19      ----      ----      ----      ----      ----    UNCH                 -.0150
4A WTI OIL CS6 SYNTHT
NOV18      ----      ----      ----      ----      ----    UNCH                    .91
DEC18      ----      ----      ----      ----      ----    UNCH                    .96
JAN19      ----      ----      ----      ----      ----    UNCH                   1.13
FEB19      ----      ----      ----      ----      ----    UNCH                   1.35
MAR19      ----      ----      ----      ----      ----    UNCH                   1.61
APR19      ----      ----      ----      ----      ----    UNCH                   1.86
MAY19      ----      ----      ----      ----      ----    UNCH                   2.04
JUN19      ----      ----      ----      ----      ----    UNCH                   2.18
JLY19      ----      ----      ----      ----      ----    UNCH                   2.30
AUG19      ----      ----      ----      ----      ----    UNCH                   2.36
SEP19      ----      ----      ----      ----      ----    UNCH                   2.38
OCT19      ----      ----      ----      ----      ----    UNCH                   2.38
NOV19      ----      ----      ----      ----      ----    UNCH                   2.38
DEC19      ----      ----      ----      ----      ----    UNCH                   2.35
JUN20      ----      ----      ----      ----      ----    UNCH                   2.12
DEC20      ----      ----      ----      ----      ----    UNCH                   2.06
JUN21      ----      ----      ----      ----      ----    UNCH                   1.68
4RB RBOB 3:15 2 MINUTE TAM SYNTHETIC LONDON FUTURE
NOV18      ----      ----      ----      ----      ----    UNCH                 2.1217
5A WTI OIL CS3 SYNTHT
NOV18      ----      ----      ----      ----      ----    UNCH                    .47
DEC18      ----      ----      ----      ----      ----    UNCH                    .39
JAN19      ----      ----      ----      ----      ----    UNCH                    .39
FEB19      ----      ----      ----      ----      ----    UNCH                    .44
MAR19      ----      ----      ----      ----      ----    UNCH                    .57
APR19      ----      ----      ----      ----      ----    UNCH                    .74
MAY19      ----      ----      ----      ----      ----    UNCH                    .91
JUN19      ----      ----      ----      ----      ----    UNCH                   1.04
JLY19      ----      ----      ----      ----      ----    UNCH                   1.12
AUG19      ----      ----      ----      ----      ----    UNCH                   1.13
SEP19      ----      ----      ----      ----      ----    UNCH                   1.14
OCT19      ----      ----      ----      ----      ----    UNCH                   1.18
6A WTI OIL CS2 SYNTHT
NOV18      ----      ----      ----      ----      ----    UNCH                    .33
DEC18      ----      ----      ----      ----      ----    UNCH                    .28
JAN19      ----      ----      ----      ----      ----    UNCH                    .25
FEB19      ----      ----      ----      ----      ----    UNCH                    .25
MAR19      ----      ----      ----      ----      ----    UNCH                    .33
APR19      ----      ----      ----      ----      ----    UNCH                    .43
MAY19      ----      ----      ----      ----      ----    UNCH                    .55
JUN19      ----      ----      ----      ----      ----    UNCH                    .67
JLY19      ----      ----      ----      ----      ----    UNCH                    .73
AUG19      ----      ----      ----      ----      ----    UNCH                    .76
SEP19      ----      ----      ----      ----      ----    UNCH                    .76
OCT19      ----      ----      ----      ----      ----    UNCH                    .75
6CE Chicago Ethanol (Platts) Calendar Spread Option -
NOV18      ----      ----      ----      ----      ----    UNCH                 -.1100
DEC18      ----      ----      ----      ----      ----    UNCH                 -.1075
JAN19      ----      ----      ----      ----      ----    UNCH                 -.0975
FEB19      ----      ----      ----      ----      ----    UNCH                 -.0825
MAR19      ----      ----      ----      ----      ----    UNCH                 -.0675
6T In Delivery Month European Union Allowance (EUA) F
DEC18      ----      ----      ----      ----      ----    UNCH                20.9800                    3698
DEC19      ----      ----      ----      ----      ----    UNCH                21.6800
