                PRELIMINARY PRICES AS OF 09/12/17 03:45 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
OCT17      ----      ----      ----      ----     .0550  +.0050                  .0500
NOV17      ----      ----      ----      ----     .0325  +.0025                  .0300
DEC17      ----      ----      ----      ----     .0275  +.0050                  .0225
JAN18      ----      ----      ----      ----    -.0075  +.0025                 -.0100
FEB18      ----      ----      ----      ----    -.0175    UNCH                 -.0175
MAR18      ----      ----      ----      ----    -.0175    UNCH                 -.0175
APR18      ----      ----      ----      ----    -.0125    UNCH                 -.0125
MAY18      ----      ----      ----      ----    -.0050    UNCH                 -.0050
JUN18      ----      ----      ----      ----    -.0025    UNCH                 -.0025
JLY18      ----      ----      ----      ----     .0000    UNCH                  .0000
AUG18      ----      ----      ----      ----     .0000    UNCH                  .0000
SEP18      ----      ----      ----      ----     .0100    UNCH                  .0100
OCT18      ----      ----      ----      ----     .0100    UNCH                  .0100
NOV18      ----      ----      ----      ----     .0100    UNCH                  .0100
2CE Chicago Ethanol (Platts) Calendar Spread Option -
OCT17      ----      ----      ----      ----     .0875  +.0075                  .0800
NOV17      ----      ----      ----      ----     .0600  +.0075                  .0525
DEC17      ----      ----      ----      ----     .0200  +.0075                  .0125
JAN18      ----      ----      ----      ----    -.0250  +.0025                 -.0275
FEB18      ----      ----      ----      ----    -.0350    UNCH                 -.0350
MAR18      ----      ----      ----      ----    -.0300    UNCH                 -.0300
APR18      ----      ----      ----      ----    -.0175    UNCH                 -.0175
MAY18      ----      ----      ----      ----    -.0075    UNCH                 -.0075
JUN18      ----      ----      ----      ----    -.0025    UNCH                 -.0025
JLY18      ----      ----      ----      ----     .0000    UNCH                  .0000
2RB RBOB TAM SYNTHETIC LONDON FUTURE
OCT17      ----      ----      ----      ----    1.6513  +.0422                 1.6091
NOV17      ----      ----      ----      ----    1.5948  +.0338                 1.5610
DEC17      ----      ----      ----      ----    1.5538  +.0279                 1.5259
3A WTI OIL CS12SYNTHT
OCT17      ----      ----      ----      ----     -2.09    +.13                  -2.22
NOV17      ----      ----      ----      ----     -1.60    +.10                  -1.70
DEC17      ----      ----      ----      ----     -1.21    +.07                  -1.28
JAN18      ----      ----      ----      ----      -.90    +.03                   -.93
FEB18      ----      ----      ----      ----      -.66    UNCH                   -.66
MAR18      ----      ----      ----      ----      -.48    -.01                   -.47
APR18      ----      ----      ----      ----      -.36    -.02                   -.34
MAY18      ----      ----      ----      ----      -.27    -.02                   -.25
JUN18      ----      ----      ----      ----      -.23    -.01                   -.22
JLY18      ----      ----      ----      ----      -.20    -.01                   -.19
AUG18      ----      ----      ----      ----      -.17    +.01                   -.18
SEP18      ----      ----      ----      ----      -.15    +.01                   -.16
OCT18      ----      ----      ----      ----      -.14    +.02                   -.16
NOV18      ----      ----      ----      ----      -.15    +.02                   -.17
DEC18      ----      ----      ----      ----      -.17    +.03                   -.20
DEC19      ----      ----      ----      ----      -.36    +.03                   -.39
DEC20      ----      ----      ----      ----      -.61    +.06                   -.67
3CE Chicago Ethanol (Platts) Calendar Spread Option -
OCT17      ----      ----      ----      ----     .1150  +.0125                  .1025
NOV17      ----      ----      ----      ----     .0525  +.0100                  .0425
DEC17      ----      ----      ----      ----     .0025  +.0075                 -.0050
JAN18      ----      ----      ----      ----    -.0425  +.0025                 -.0450
FEB18      ----      ----      ----      ----    -.0475    UNCH                 -.0475
MAR18      ----      ----      ----      ----    -.0350    UNCH                 -.0350
APR18      ----      ----      ----      ----    -.0200    UNCH                 -.0200
MAY18      ----      ----      ----      ----    -.0075    UNCH                 -.0075
JUN18      ----      ----      ----      ----    -.0025    UNCH                 -.0025
4A WTI OIL CS6 SYNTHT
DEC17      ----      ----      ----      ----     -1.03    +.08                  -1.11
JUN18      ----      ----      ----      ----      -.18    -.01                   -.17
DEC18      ----      ----      ----      ----      -.05    UNCH                   -.05
JUN19      ----      ----      ----      ----      -.12    +.03                   -.15
DEC19      ----      ----      ----      ----      -.12    +.01                   -.13
JUN20      ----      ----      ----      ----      -.24    +.02                   -.26
DEC20      ----      ----      ----      ----      -.25    +.03                   -.28
JUN21      ----      ----      ----      ----      -.36    +.03                   -.39
DEC21      ----      ----      ----      ----      -.39    +.05                   -.44
JUN22      ----      ----      ----      ----      -.48    +.05                   -.53
DEC22      ----      ----      ----      ----      -.52    UNCH                   -.52
JUN23      ----      ----      ----      ----      -.56    UNCH                   -.56
4RB RBOB 3:15 2 MINUTE TAM SYNTHETIC LONDON FUTURE
OCT17      ----      ----      ----      ----    1.6569  +.0208                 1.6361
5A WTI OIL CS3 SYNTHT
OCT17      ----      ----      ----      ----     -1.25    +.10                  -1.35
NOV17      ----      ----      ----      ----      -.97    +.10                  -1.07
6A WTI OIL CS2 SYNTHT
OCT17      ----      ----      ----      ----      -.94    +.06                  -1.00
NOV17      ----      ----      ----      ----      -.73    +.07                   -.80
DEC17      ----      ----      ----      ----      -.55    +.07                   -.62
6CE Chicago Ethanol (Platts) Calendar Spread Option -
OCT17      ----      ----      ----      ----     .0725  +.0150                  .0575
NOV17      ----      ----      ----      ----     .0050  +.0100                 -.0050
DEC17      ----      ----      ----      ----    -.0325  +.0075                 -.0400
JAN18      ----      ----      ----      ----    -.0625  +.0025                 -.0650
FEB18      ----      ----      ----      ----    -.0550    UNCH                 -.0550
MAR18      ----      ----      ----      ----    -.0375    UNCH                 -.0375
APR18      ----      ----      ----      ----    -.0100    UNCH                 -.0100
6T In Delivery Month European Union Allowance (EUA) F
SEP17      ----      ----      ----      ----    6.8600  -.0100                 6.8700
DEC17      ----      ----      ----      ----    6.8700  -.0100                 6.8800                    6900
DEC18      ----      ----      ----      ----    6.9000  -.0100                 6.9100                    3698
DEC19      ----      ----      ----      ----    6.9800  -.0100                 6.9900
DEC20      ----      ----      ----      ----    7.0600  -.0100                 7.0700
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                                                    10598
A2 WTI OIL CS1 SYNTHT
OCT17      ----      ----      ----      ----      -.52    +.03                   -.55
NOV17      ----      ----      ----      ----      -.42    +.03                   -.45
DEC17      ----      ----      ----      ----      -.31    +.04                   -.35
JAN18      ----      ----      ----      ----      -.24    +.03                   -.27
FEB18      ----      ----      ----      ----      -.18    +.01                   -.19
MAR18      ----      ----      ----      ----      -.13    +.01                   -.14
APR18      ----      ----      ----      ----      -.10    UNCH                   -.10
MAY18      ----      ----      ----      ----      -.07    -.01                   -.06
JUN18      ----      ----      ----      ----      -.03    UNCH                   -.03
JLY18      ----      ----      ----      ----      -.03    -.01                   -.02
AUG18      ----      ----      ----      ----      -.03    UNCH                   -.03
