                PRELIMINARY PRICES AS OF 02/04/19 02:46 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
JAN19      ----      ----      ----      ----    -.0481  -.0075                 -.0406
FEB19      ----      ----      ----      ----    -.0075  +.0025                 -.0100
MAR19      ----      ----      ----      ----    -.0200  -.0025                 -.0175
APR19      ----      ----      ----      ----    -.0125    UNCH                 -.0125
MAY19      ----      ----      ----      ----    -.0075    UNCH                 -.0075
JUN19      ----      ----      ----      ----    -.0075    UNCH                 -.0075
JLY19      ----      ----      ----      ----    -.0025    UNCH                 -.0025
AUG19      ----      ----      ----      ----     .0000    UNCH                  .0000
SEP19      ----      ----      ----      ----     .0000    UNCH                  .0000
OCT19      ----      ----      ----      ----     .0000    UNCH                  .0000
NOV19      ----      ----      ----      ----     .0025    UNCH                  .0025
2CE Chicago Ethanol (Platts) Calendar Spread Option -
JAN19      ----      ----      ----      ----    -.0556  -.0050                 -.0506
FEB19      ----      ----      ----      ----    -.0275    UNCH                 -.0275
MAR19      ----      ----      ----      ----    -.0325  -.0025                 -.0300
APR19      ----      ----      ----      ----    -.0200    UNCH                 -.0200
MAY19      ----      ----      ----      ----    -.0150    UNCH                 -.0150
JUN19      ----      ----      ----      ----    -.0100    UNCH                 -.0100
JLY19      ----      ----      ----      ----    -.0025    UNCH                 -.0025
AUG19      ----      ----      ----      ----     .0000    UNCH                  .0000
SEP19      ----      ----      ----      ----     .0000    UNCH                  .0000
OCT19      ----      ----      ----      ----     .0025    UNCH                  .0025
2RB RBOB TAM SYNTHETIC LONDON FUTURE
MAR19      ----      ----      ----      ----    1.4351  +.0109                 1.4242
APR19      ----      ----      ----      ----    1.6241  +.0013                 1.6228
MAY19      ----      ----      ----      ----    1.6403  +.0021                 1.6382
3A WTI OIL CS12SYNTHT
MAR19      ----      ----      ----      ----     -1.64    -.71                   -.93
APR19      ----      ----      ----      ----     -1.19    -.69                   -.50
MAY19      ----      ----      ----      ----      -.69    -.63                   -.06
JUN19      ----      ----      ----      ----      -.19    -.57                    .38
JLY19      ----      ----      ----      ----       .29    -.50                    .79
AUG19      ----      ----      ----      ----       .69    -.42                   1.11
SEP19      ----      ----      ----      ----       .96    -.34                   1.30
OCT19      ----      ----      ----      ----      1.12    -.27                   1.39
NOV19      ----      ----      ----      ----      1.19    -.20                   1.39
DEC19      ----      ----      ----      ----      1.20    -.13                   1.33
JAN20      ----      ----      ----      ----      1.23    -.06                   1.29
FEB20      ----      ----      ----      ----      1.22    -.01                   1.23
MAR20      ----      ----      ----      ----      1.19    +.02                   1.17
JUN20      ----      ----      ----      ----      1.14    +.08                   1.06
SEP20      ----      ----      ----      ----       .99    +.06                    .93
DEC20      ----      ----      ----      ----       .89    +.06                    .83
MAR21      ----      ----      ----      ----       .82    +.08                    .74
JUN21      ----      ----      ----      ----       .67    +.09                    .58
SEP21      ----      ----      ----      ----       .54    +.11                    .43
DEC21      ----      ----      ----      ----       .40    +.10                    .30
3CE Chicago Ethanol (Platts) Calendar Spread Option -
JAN19      ----      ----      ----      ----    -.0756  -.0075                 -.0681
FEB19      ----      ----      ----      ----    -.0400    UNCH                 -.0400
MAR19      ----      ----      ----      ----    -.0400  -.0025                 -.0375
APR19      ----      ----      ----      ----    -.0275    UNCH                 -.0275
MAY19      ----      ----      ----      ----    -.0175    UNCH                 -.0175
JUN19      ----      ----      ----      ----    -.0100    UNCH                 -.0100
JLY19      ----      ----      ----      ----    -.0025    UNCH                 -.0025
AUG19      ----      ----      ----      ----     .0000    UNCH                  .0000
SEP19      ----      ----      ----      ----     .0025    UNCH                  .0025
4A WTI OIL CS6 SYNTHT
MAR19      ----      ----      ----      ----     -1.95    -.40                  -1.55
APR19      ----      ----      ----      ----     -1.69    -.42                  -1.27
MAY19      ----      ----      ----      ----     -1.29    -.41                   -.88
JUN19      ----      ----      ----      ----      -.82    -.38                   -.44
JLY19      ----      ----      ----      ----      -.38    -.38                    .00
AUG19      ----      ----      ----      ----       .01    -.36                    .37
SEP19      ----      ----      ----      ----       .31    -.31                    .62
OCT19      ----      ----      ----      ----       .50    -.27                    .77
NOV19      ----      ----      ----      ----       .60    -.22                    .82
DEC19      ----      ----      ----      ----       .63    -.19                    .82
JAN20      ----      ----      ----      ----       .67    -.12                    .79
FEB20      ----      ----      ----      ----       .68    -.06                    .74
MAR20      ----      ----      ----      ----       .65    -.03                    .68
JUN20      ----      ----      ----      ----       .57    +.06                    .51
DEC20      ----      ----      ----      ----       .57    +.02                    .55
JUN21      ----      ----      ----      ----       .32    +.04                    .28
DEC21      ----      ----      ----      ----       .35    +.05                    .30
4RB RBOB 3:15 2 MINUTE TAM SYNTHETIC LONDON FUTURE
MAR19      ----      ----      ----      ----    1.4406  +.0086                 1.4320
5A WTI OIL CS3 SYNTHT
MAR19      ----      ----      ----      ----     -1.14    -.19                   -.95
APR19      ----      ----      ----      ----     -1.16    -.21                   -.95
MAY19      ----      ----      ----      ----     -1.04    -.21                   -.83
JUN19      ----      ----      ----      ----      -.81    -.21                   -.60
JLY19      ----      ----      ----      ----      -.53    -.21                   -.32
AUG19      ----      ----      ----      ----      -.25    -.20                   -.05
SEP19      ----      ----      ----      ----      -.01    -.17                    .16
OCT19      ----      ----      ----      ----       .15    -.17                    .32
NOV19      ----      ----      ----      ----       .26    -.16                    .42
DEC19      ----      ----      ----      ----       .32    -.14                    .46
JAN20      ----      ----      ----      ----       .35    -.10                    .45
FEB20      ----      ----      ----      ----       .34    -.06                    .40
6A WTI OIL CS2 SYNTHT
MAR19      ----      ----      ----      ----      -.73    -.11                   -.62
APR19      ----      ----      ----      ----      -.81    -.15                   -.66
MAY19      ----      ----      ----      ----      -.76    -.14                   -.62
JUN19      ----      ----      ----      ----      -.63    -.13                   -.50
JLY19      ----      ----      ----      ----      -.46    -.15                   -.31
AUG19      ----      ----      ----      ----      -.25    -.14                   -.11
SEP19      ----      ----      ----      ----      -.07    -.12                    .05
OCT19      ----      ----      ----      ----       .06    -.11                    .17
NOV19      ----      ----      ----      ----       .15    -.11                    .26
DEC19      ----      ----      ----      ----       .20    -.11                    .31
JAN20      ----      ----      ----      ----       .23    -.08                    .31
FEB20      ----      ----      ----      ----       .24    -.05                    .29
6CE Chicago Ethanol (Platts) Calendar Spread Option -
JAN19      ----      ----      ----      ----    -.1031  -.0075                 -.0956
FEB19      ----      ----      ----      ----    -.0575    UNCH                 -.0575
MAR19      ----      ----      ----      ----    -.0500  -.0025                 -.0475
APR19      ----      ----      ----      ----    -.0300    UNCH                 -.0300
MAY19      ----      ----      ----      ----    -.0175    UNCH                 -.0175
