W Wheat Futures
SEP17     504'4     508'2     495'0     507'0     505'6    +2'6       65783      503'0       71108      199071
DEC17     528'2     531'4     518'6     530'4     529'2    +2'4       29922      526'6       29023      131313
MAR18     548'0     550'4     538'4     550'4     549'4    +3'0       10242      546'4        9638       51382
MAY18     558'0     560'6B    549'2     560'6B    560'0    +3'0        1834      557'0        2150       16397
JLY18     562'2     565'2B    554'2     565'2B    564'2    +2'4        3340      561'6        3508       26934
SEP18     569'0     573'6B    563'6A    573'6B    572'6    +2'4          93      570'2         186        2190
DEC18     583'2     586'6B    577'0     586'6B    585'4    +2'2         345      583'2         720        8581
MAR19      ----     590'2B     ----     590'2B    593'0    +3'0          19      590'0          15         861
MAY19      ----      ----      ----      ----     590'4    +3'0                  587'4           8          34
JLY19     578'4     580'2B    578'4     580'2B    584'6    +6'0          12      578'6          17         284
SEP19      ----      ----      ----      ----     584'6    +6'0                  578'6
4050       ----      ----      ----      ----     159'2    +2'4                  156'6
4100       ----      ----      ----      ----     154'2    +2'4                  151'6
4150       ----      ----      ----      ----     149'2    +2'4                  146'6
4200       ----      ----      ----      ----     144'2    +2'4                  141'6
4250       ----      ----      ----      ----     139'2    +2'4                  136'6
4300       ----      ----      ----      ----     134'2    +2'4                  131'6
4350       ----      ----      ----      ----     129'3    +2'4                  126'7
4400       ----      ----      ----      ----     124'4    +2'4                  122'0
4450       ----      ----      ----      ----     119'5    +2'4                  117'1
4500       ----      ----      ----      ----     114'7    +2'4                  112'3
4550       ----      ----      ----      ----     110'1    +2'3                  107'6
4600       ----      ----      ----      ----     105'4    +2'3                  103'1
4650       ----      ----      ----      ----     101'0    +2'2                   98'6
4700       ----      ----      ----      ----      96'5    +2'2                   94'3
4750       ----      ----      ----      ----      92'3    +2'2                   90'1
4800       ----      ----      ----      ----      88'1    +2'1                   86'0
4850       ----      ----      ----      ----      84'1    +2'1                   82'0
4900       ----      ----      ----      ----      80'2    +1'7                   78'3
4950       ----      ----      ----      ----      76'5    +2'0                   74'5
5000       ----      ----      ----      ----      73'0    +2'0                   71'0
5050       ----      ----      ----      ----      69'4    +1'7                   67'5
5100       ----      ----      ----      ----      66'1    +1'7                   64'2
5150       ----      ----      ----      ----      63'0    +1'7                   61'1
5200       ----      ----      ----      ----      59'7    +1'7                   58'0
5250       ----      ----      ----      ----      56'6    +1'6                   55'0
5300       ----      ----      ----      ----      53'7    +1'6                   52'1
5350       ----      ----      ----      ----      51'1    +1'5                   49'4
5400       ----      ----      ----      ----      48'4    +1'5                   46'7                       2
5450       ----      ----      ----      ----      45'6    +1'4                   44'2
5500       ----      ----      ----      ----      43'2    +1'3                   41'7                       2
5550       ----      ----      ----      ----      41'0    +1'3                   39'5
5600       ----      ----      ----      ----      38'5    +1'2                   37'3
5650       ----      ----      ----      ----      36'3    +1'1                   35'2
5700       ----      ----      ----      ----      34'2    +1'1                   33'1                       1
5750       ----      ----      ----      ----      32'2    +1'0                   31'2
5800       ----      ----      ----      ----      30'3    +1'0                   29'3                       1
5850       ----      ----      ----      ----      28'4    +1'0                   27'4
5900       ----      ----      ----      ----      26'6    +1'0                   25'6
5950       ----      ----      ----      ----      25'0     +'7                   24'1                       4
6000       ----      ----      ----      ----      23'3     +'7                   22'4
6050       ----      ----      ----      ----      21'7     +'7                   21'0
6100       ----      ----      ----      ----      20'3     +'6           1       19'5
6150       ----      ----      ----      ----      19'0     +'6                   18'2
6200       ----      ----      ----      ----      17'6     +'6                   17'0
6250       ----      ----      ----      ----      16'4     +'5                   15'7
6300       ----      ----      ----      ----      15'3     +'5                   14'6
6350       ----      ----      ----      ----      14'3     +'5                   13'6
6400       ----      ----      ----      ----      13'3     +'4                   12'7
6450       ----      ----      ----      ----      12'4     +'4                   12'0
6500       ----      ----      ----      ----      11'5     +'4                   11'1
6550       ----      ----      ----      ----      10'7     +'4                   10'3
6600       ----      ----      ----      ----      10'1     +'3                    9'6
6650       ----      ----      ----      ----       9'4     +'3                    9'1
6700       ----      ----      ----      ----       8'7     +'3                    8'4
6750       ----      ----      ----      ----       8'2     +'3                    7'7
6800       ----      ----      ----      ----       7'6     +'3                    7'3
6850       ----      ----      ----      ----       7'2     +'3                    6'7
6900       ----      ----      ----      ----       6'6     +'3                    6'3
6950       ----      ----      ----      ----       6'2     +'2                    6'0
7000       ----      ----      ----      ----       5'7     +'2                    5'5
7050       ----      ----      ----      ----       5'4     +'2                    5'2
7100       ----      ----      ----      ----       5'1     +'2                    4'7
7150       ----      ----      ----      ----       4'6     +'2                    4'4
7200       ----      ----      ----      ----       4'3     +'2                    4'1
7250       ----      ----      ----      ----       4'0     +'2                    3'6
7300       ----      ----      ----      ----       3'6     +'2                    3'4
7350       ----      ----      ----      ----       3'4     +'2                    3'2
7400       ----      ----      ----      ----       3'2     +'2                    3'0
7450       ----      ----      ----      ----       3'0     +'2                    2'6
7500       ----      ----      ----      ----       2'6     +'1                    2'5
7550       ----      ----      ----      ----       2'5     +'2                    2'3
WDF MAY18 Short-Dated New Crop Wheat Option CALL
3600       ----      ----      ----      ----     204'2    +2'4                  201'6
3650       ----      ----      ----      ----     199'2    +2'4                  196'6
3700       ----      ----      ----      ----     194'2    +2'4                  191'6
3750       ----      ----      ----      ----     189'2    +2'4                  186'6
3800       ----      ----      ----      ----     184'2    +2'4                  181'6
3850       ----      ----      ----      ----     179'2    +2'4                  176'6
3900       ----      ----      ----      ----     174'2    +2'4                  171'6
3950       ----      ----      ----      ----     169'2    +2'4                  166'6
4000       ----      ----      ----      ----     164'2    +2'4                  161'6
4050       ----      ----      ----      ----     159'2    +2'4                  156'6
4100       ----      ----      ----      ----     154'2    +2'4                  151'6
4150       ----      ----      ----      ----     149'3    +2'4                  146'7
4200       ----      ----      ----      ----     144'3    +2'4                  141'7
4250       ----      ----      ----      ----     139'4    +2'4                  137'0
4300       ----      ----      ----      ----     134'5    +2'3                  132'2
4350       ----      ----      ----      ----     129'7    +2'3                  127'4
4400       ----      ----      ----      ----     125'1    +2'3                  122'6
4450       ----      ----      ----      ----     120'3    +2'3                  118'0
4500       ----      ----      ----      ----     115'6    +2'3                  113'3
4550       ----      ----      ----      ----     111'1    +2'2                  108'7
4600       ----      ----      ----      ----     106'4    +2'1                  104'3
4650       ----      ----      ----      ----     102'1    +2'2                   99'7
4700       ----      ----      ----      ----      97'6    +2'1                   95'5
4750       ----      ----      ----      ----      93'4    +2'0                   91'4
4800       ----      ----      ----      ----      89'4    +2'1                   87'3
4850       ----      ----      ----      ----      85'4    +2'0                   83'4
4900       ----      ----      ----      ----      81'7    +2'0                   79'7
4950       ----      ----      ----      ----      78'2    +1'7                   76'3
5000       ----      ----      ----      ----      74'7    +2'0                   72'7
5050       ----      ----      ----      ----      71'4    +1'7                   69'5
5100       ----      ----      ----      ----      68'4    +1'7                   66'5
5150       ----      ----      ----      ----      65'4    +1'7                   63'5
5200       ----      ----      ----      ----      62'4    +1'6                   60'6
