C Corn Futures
DEC16     339'2     341'4     334'6     336'2     336'6    -3'2      112766      340'0      101255      754124
4600       ----      ----      ----      ----       1'3     -'2                    1'5
4650       ----      ----      ----      ----       1'2     -'2                    1'4
4700       ----      ----      ----      ----       1'1     -'2                    1'3
4750       ----      ----      ----      ----       1'0     -'2                    1'2
4800       ----      ----      ----      ----        '7     -'2                    1'1
4850       ----      ----      ----      ----        '7     -'1                    1'0
4900       ----      ----      ----      ----        '6     -'2                    1'0
4950       ----      ----      ----      ----        '6     -'1                     '7
5000       ----      ----      ----      ----        '5     -'2                     '7
5050       ----      ----      ----      ----        '5     -'1                     '6
5100       ----      ----      ----      ----        '5     -'1                     '6
5150       ----      ----      ----      ----        '4     -'2                     '6
5200       ----      ----      ----      ----        '4     -'1                     '5
5250       ----      ----      ----      ----        '4     -'1                     '5
CDF MAR17 Short-Dated New Crop Corn Option CALL
2700       ----      ----      ----      ----     106'5    -3'0                  109'5
2750       ----      ----      ----      ----     101'5    -3'0                  104'5
2800       ----      ----      ----      ----      96'5    -3'0                   99'5
2850       ----      ----      ----      ----      91'6    -3'0                   94'6
2900       ----      ----      ----      ----      86'6    -3'0                   89'6
2950       ----      ----      ----      ----      81'7    -3'0                   84'7
3000       ----      ----      ----      ----      77'0    -3'0                   80'0
3050       ----      ----      ----      ----      72'3    -2'7                   75'2
3100       ----      ----      ----      ----      67'5    -2'7                   70'4
3150       ----      ----      ----      ----      62'7    -3'0                   65'7
3200       ----      ----      ----      ----      58'2    -2'7                   61'1
3250       ----      ----      ----      ----      53'6    -2'6                   56'4
3300       ----      ----      ----      ----      49'2    -2'6                   52'0
3350       ----      ----      ----      ----      44'7    -2'6                   47'5
3400       ----      ----      ----      ----      40'5    -2'5                   43'2
3450       ----      ----      ----      ----      36'5    -2'4                   39'1
3500       ----      ----      ----      ----      32'6    -2'3                   35'1
3550       ----      ----      ----      ----      29'1    -2'1                   31'2
3600       ----      ----      ----      ----      25'7    -1'7                   27'6
3650       ----      ----      ----      ----      22'6    -1'7                   24'5
3700       ----      ----      ----      ----      19'7    -1'7                   21'6                      23
3750       ----      ----      18'0A     ----      17'2    -1'6                   19'0                       8
3800       ----      ----      15'6A     ----      15'0    -1'5                   16'5                      42
3850       ----      ----      13'6A     ----      13'0    -1'4                   14'4
3900       ----      ----      12'0A     ----      11'2    -1'2                   12'4                      25
3950       ----      ----      10'4A     ----       9'6    -1'1                   10'7
4000        9'2       9'2       9'2      ----       8'3    -1'0           9        9'3                     997
4050       ----      ----      ----      ----       7'2     -'7                    8'1
4100       ----      ----      ----      ----       6'3     -'5                    7'0                     130
4150       ----      ----      ----      ----       5'4     -'5                    6'1                      11
4200       ----      ----      ----      ----       4'7     -'4                    5'3                      20
4250       ----      ----      ----      ----       4'2     -'4                    4'6                     135
4300       ----      ----      ----      ----       3'6     -'4                    4'2                       8
4350       ----      ----      ----      ----       3'3     -'4                    3'7
4400       ----      ----      ----      ----       3'0     -'4                    3'4                     500
4450       ----      ----      ----      ----       2'6     -'3                    3'1
4500       ----      ----      ----      ----       2'4     -'3                    2'7                     100
4550       ----      ----      ----      ----       2'2     -'3                    2'5
4600       ----      ----      ----      ----       2'0     -'3                    2'3                       2
4650       ----      ----      ----      ----       1'7     -'2                    2'1
4700       ----      ----      ----      ----       1'6     -'2                    2'0
4750       ----      ----      ----      ----       1'5     -'2                    1'7
4800       ----      ----      ----      ----       1'4     -'2                    1'6
4850       ----      ----      ----      ----       1'3     -'2                    1'5
4900       ----      ----      ----      ----       1'2     -'2                    1'4
4950       ----      ----      ----      ----       1'1     -'2                    1'3
5000       ----      ----      ----      ----       1'1     -'2                    1'3
5050       ----      ----      ----      ----       1'0     -'2                    1'2
5100       ----      ----      ----      ----       1'0     -'1                    1'1
5150       ----      ----      ----      ----       1'0     -'1                    1'1
5200       ----      ----      ----      ----        '7     -'1                    1'0
5250       ----      ----      ----      ----        '7     -'1                    1'0
CDF APR17 Short-Dated New Crop Corn Option CALL
2700       ----      ----      ----      ----     106'5    -3'0                  109'5
2750       ----      ----      ----      ----     101'6    -3'0                  104'6
2800       ----      ----      ----      ----      96'7    -2'7                   99'6
2850       ----      ----      ----      ----      92'0    -2'7                   94'7
2900       ----      ----      ----      ----      87'1    -2'7                   90'0
2950       ----      ----      ----      ----      82'2    -2'7                   85'1
3000       ----      ----      ----      ----      77'4    -2'7                   80'3
3050       ----      ----      ----      ----      72'6    -2'7                   75'5
3100       ----      ----      ----      ----      68'0    -2'7                   70'7
3150       ----      ----      ----      ----      63'2    -2'7                   66'1
3200       ----      ----      ----      ----      58'5    -2'6                   61'3
3250       ----      ----      ----      ----      54'1    -2'5                   56'6
3300       ----      ----      ----      ----      49'5    -2'5                   52'2
3350       ----      ----      ----      ----      45'2    -2'4                   47'6
3400       ----      ----      ----      ----      41'0    -2'3                   43'3
3450       ----      ----      ----      ----      36'7    -2'3                   39'2
3500       ----      ----      ----      ----      33'0    -2'3                   35'3
3550       ----      ----      ----      ----      29'4    -2'1                   31'5
3600       ----      ----      ----      ----      26'2    -2'0                   28'2
3650       ----      ----      ----      ----      23'3    -2'0                   25'3
3700       ----      ----      ----      ----      20'6    -1'7                   22'5
3750       ----      ----      ----      ----      18'3    -1'6                   20'1
3800       ----      ----      ----      ----      16'2    -1'5                   17'7
3850       ----      ----      ----      ----      14'3    -1'4                   15'7
3900       ----      ----      ----      ----      12'6    -1'3                   14'1
3950       ----      ----      ----      ----      11'2    -1'2                   12'4
4000       ----      ----      ----      ----      10'0    -1'1                   11'1
4050       ----      ----      ----      ----       8'7    -1'0                    9'7
4100       ----      ----      ----      ----       7'7     -'6                    8'5
4150       ----      ----       6'6A     ----       7'0     -'5                    7'5
4200       ----      ----       5'7A     ----       6'2     -'4                    6'6
4250       ----      ----       5'3A     ----       5'4     -'4                    6'0
4300       ----      ----      ----      ----       4'7     -'3                    5'2
4350       ----      ----      ----      ----       4'3     -'2                    4'5
4400       ----      ----      ----      ----       4'0     -'1                    4'1
4450       ----      ----      ----      ----       3'5     -'1                    3'6
4500       ----      ----      ----      ----       3'2     -'1                    3'3
4550       ----      ----      ----      ----       2'7     -'1                    3'0
4600       ----      ----      ----      ----       2'5     -'1                    2'6
4650       ----      ----      ----      ----       2'3     -'1                    2'4
4700       ----      ----      ----      ----       2'1     -'1                    2'2
4750       ----      ----      ----      ----       1'7     -'1                    2'0
4800       ----      ----      ----      ----       1'6     -'1                    1'7
4850       ----      ----      ----      ----       1'5     -'1                    1'6
4900       ----      ----      ----      ----       1'4     -'1                    1'5
4950       ----      ----      ----      ----       1'3     -'1                    1'4
5000       ----      ----      ----      ----       1'2     -'1                    1'3
5050       ----      ----      ----      ----       1'1     -'1                    1'2
5100       ----      ----      ----      ----       1'1     -'1                    1'2
5150       ----      ----      ----      ----       1'0     -'1                    1'1
5200       ----      ----      ----      ----       1'0    UNCH                    1'0
5250       ----      ----      ----      ----        '7     -'1                    1'0
CDF MAY17 Short-Dated New Crop Corn Option CALL
2700       ----      ----      ----      ----     106'6    -3'0                  109'6
2750       ----      ----      ----      ----     101'7    -3'0                  104'7
2800       ----      ----      ----      ----      97'0    -3'0                  100'0
2850       ----      ----      ----      ----      92'1    -3'0                   95'1
2900       ----      ----      ----      ----      87'3    -2'7                   90'2
2950       ----      ----      ----      ----      82'5    -2'7                   85'4
3000       ----      ----      ----      ----      77'7    -2'7                   80'6
3050       ----      ----      ----      ----      73'2    -2'6                   76'0
3100       ----      ----      ----      ----      68'5    -2'6                   71'3
3150       ----      ----      ----      ----      64'0    -2'6                   66'6
3200       ----      ----      ----      ----      59'5    -2'5                   62'2
3250       ----      ----      ----      ----      55'2    -2'4                   57'6
3300       ----      ----      ----      ----      51'0    -2'4                   53'4
3350       ----      ----      ----      ----      47'0    -2'2                   49'2
3400       ----      ----      ----      ----      43'0    -2'2                   45'2
3450       ----      ----      ----      ----      39'1    -2'2                   41'3
3500       ----      ----      ----      ----      35'3    -2'2                   37'5
3550       ----      ----      ----      ----      31'7    -2'1                   34'0
3600       ----      ----      ----      ----      28'5    -2'0                   30'5
3650       ----      ----      ----      ----      25'5    -1'7                   27'4
3700       ----      ----      ----      ----      22'6    -1'7                   24'5
3750       ----      ----      ----      ----      20'2    -1'6                   22'0
3800       ----      ----      ----      ----      18'0    -1'5                   19'5
3850       ----      ----      ----      ----      16'1    -1'3                   17'4
3900       ----      ----      ----      ----      14'3    -1'2                   15'5
3950       ----      ----      ----      ----      12'7    -1'1                   14'0
4000       12'0      12'0      12'0      12'0      11'4    -1'1          50       12'5           8          11
4050       ----      ----      ----      ----      10'2    -1'1                   11'3
4100       ----      ----      ----      ----       9'2    -1'0                   10'2
4150       ----      ----      ----      ----       8'2    -1'1                    9'3
4200       ----      ----      ----      ----       7'3    -1'1                    8'4
4250       ----      ----       6'6A     ----       6'5    -1'1                    7'6
4300       ----      ----       6'1A     ----       6'0    -1'1                    7'1
4350       ----      ----      ----      ----       5'3    -1'1                    6'4
4400       ----      ----      ----      ----       4'7    -1'1                    6'0
4450       ----      ----      ----      ----       4'4    -1'0                    5'4
4500       ----      ----      ----      ----       4'1     -'7                    5'0
4550       ----      ----      ----      ----       3'6     -'7                    4'5
4600       ----      ----      ----      ----       3'3     -'7                    4'2
4650       ----      ----      ----      ----       3'1     -'6                    3'7
4700       ----      ----      ----      ----       2'7     -'6                    3'5
4750       ----      ----      ----      ----       2'5     -'6                    3'3
4800       ----      ----      ----      ----       2'4     -'5                    3'1
4850       ----      ----      ----      ----       2'3     -'4                    2'7
4900       ----      ----      ----      ----       2'2     -'3                    2'5
4950       ----      ----      ----      ----       2'1     -'2                    2'3
5000       ----      ----      ----      ----       2'0     -'2                    2'2
5050       ----      ----      ----      ----       1'7     -'2                    2'1
5100       ----      ----      ----      ----       1'6     -'2                    2'0
5150       ----      ----      ----      ----       1'5     -'2                    1'7
5200       ----      ----      ----      ----       1'5     -'1                    1'6
5250       ----      ----      ----      ----       1'4     -'1                    1'5
CDF JUN17 Short-Dated New Crop Corn Option CALL
2700       ----      ----      ----      ----     106'7    -2'7                  109'6
2750       ----      ----      ----      ----     102'0    -2'7                  104'7
2800       ----      ----      ----      ----      97'1    -2'7                  100'0
2850       ----      ----      ----      ----      92'2    -2'7                   95'1
2900       ----      ----      ----      ----      87'4    -2'7                   90'3
2950       ----      ----      ----      ----      82'6    -2'7                   85'5
