                PRELIMINARY PRICES AS OF 10/03/17 09:30 AM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
NOV17      ----      ----      ----      ----      ----    UNCH                  .0200
DEC17      ----      ----      ----      ----      ----    UNCH                  .0175
JAN18      ----      ----      ----      ----      ----    UNCH                 -.0150
FEB18      ----      ----      ----      ----      ----    UNCH                 -.0225
MAR18      ----      ----      ----      ----      ----    UNCH                 -.0225
APR18      ----      ----      ----      ----      ----    UNCH                 -.0125
MAY18      ----      ----      ----      ----      ----    UNCH                 -.0075
JUN18      ----      ----      ----      ----      ----    UNCH                 -.0075
JLY18      ----      ----      ----      ----      ----    UNCH                 -.0025
AUG18      ----      ----      ----      ----      ----    UNCH                 -.0025
SEP18      ----      ----      ----      ----      ----    UNCH                  .0100
OCT18      ----      ----      ----      ----      ----    UNCH                  .0125
NOV18      ----      ----      ----      ----      ----    UNCH                  .0125
2CE Chicago Ethanol (Platts) Calendar Spread Option -
NOV17      ----      ----      ----      ----      ----    UNCH                  .0375
DEC17      ----      ----      ----      ----      ----    UNCH                  .0025
JAN18      ----      ----      ----      ----      ----    UNCH                 -.0375
FEB18      ----      ----      ----      ----      ----    UNCH                 -.0450
MAR18      ----      ----      ----      ----      ----    UNCH                 -.0350
APR18      ----      ----      ----      ----      ----    UNCH                 -.0200
MAY18      ----      ----      ----      ----      ----    UNCH                 -.0150
JUN18      ----      ----      ----      ----      ----    UNCH                 -.0100
JLY18      ----      ----      ----      ----      ----    UNCH                 -.0050
AUG18      ----      ----      ----      ----      ----    UNCH                  .0075
2RB RBOB TAM SYNTHETIC LONDON FUTURE
NOV17      ----      ----      ----      ----      ----    UNCH                 1.5474
DEC17      ----      ----      ----      ----      ----    UNCH                 1.5417
JAN18      ----      ----      ----      ----      ----    UNCH                 1.5426
3A WTI OIL CS12SYNTHT
NOV17      ----      ----      ----      ----      ----    UNCH                   -.23
DEC17      ----      ----      ----      ----      ----    UNCH                    .14
JAN18      ----      ----      ----      ----      ----    UNCH                    .48
FEB18      ----      ----      ----      ----      ----    UNCH                    .70
MAR18      ----      ----      ----      ----      ----    UNCH                    .85
APR18      ----      ----      ----      ----      ----    UNCH                    .93
MAY18      ----      ----      ----      ----      ----    UNCH                    .95
JUN18      ----      ----      ----      ----      ----    UNCH                    .91
JLY18      ----      ----      ----      ----      ----    UNCH                    .88
AUG18      ----      ----      ----      ----      ----    UNCH                    .85
SEP18      ----      ----      ----      ----      ----    UNCH                    .82
OCT18      ----      ----      ----      ----      ----    UNCH                    .78
NOV18      ----      ----      ----      ----      ----    UNCH                    .74
DEC18      ----      ----      ----      ----      ----    UNCH                    .70
DEC19      ----      ----      ----      ----      ----    UNCH                    .09
DEC20      ----      ----      ----      ----      ----    UNCH                   -.20
3CE Chicago Ethanol (Platts) Calendar Spread Option -
NOV17      ----      ----      ----      ----      ----    UNCH                  .0225
DEC17      ----      ----      ----      ----      ----    UNCH                 -.0200
JAN18      ----      ----      ----      ----      ----    UNCH                 -.0600
FEB18      ----      ----      ----      ----      ----    UNCH                 -.0575
MAR18      ----      ----      ----      ----      ----    UNCH                 -.0425
APR18      ----      ----      ----      ----      ----    UNCH                 -.0275
MAY18      ----      ----      ----      ----      ----    UNCH                 -.0175
JUN18      ----      ----      ----      ----      ----    UNCH                 -.0125
JLY18      ----      ----      ----      ----      ----    UNCH                  .0050
4A WTI OIL CS6 SYNTHT
DEC17      ----      ----      ----      ----      ----    UNCH                   -.34
JUN18      ----      ----      ----      ----      ----    UNCH                    .48
DEC18      ----      ----      ----      ----      ----    UNCH                    .43
JUN19      ----      ----      ----      ----      ----    UNCH                    .27
DEC19      ----      ----      ----      ----      ----    UNCH                    .18
JUN20      ----      ----      ----      ----      ----    UNCH                   -.09
DEC20      ----      ----      ----      ----      ----    UNCH                   -.05
JUN21      ----      ----      ----      ----      ----    UNCH                   -.15
DEC21      ----      ----      ----      ----      ----    UNCH                   -.16
JUN22      ----      ----      ----      ----      ----    UNCH                   -.20
DEC22      ----      ----      ----      ----      ----    UNCH                   -.25
JUN23      ----      ----      ----      ----      ----    UNCH                   -.30
4RB RBOB 3:15 2 MINUTE TAM SYNTHETIC LONDON FUTURE
NOV17      ----      ----      ----      ----      ----    UNCH                 1.5552
5A WTI OIL CS3 SYNTHT
NOV17      ----      ----      ----      ----      ----    UNCH                   -.69
6A WTI OIL CS2 SYNTHT
NOV17      ----      ----      ----      ----      ----    UNCH                   -.56
DEC17      ----      ----      ----      ----      ----    UNCH                   -.37
6CE Chicago Ethanol (Platts) Calendar Spread Option -
NOV17      ----      ----      ----      ----      ----    UNCH                 -.0350
DEC17      ----      ----      ----      ----      ----    UNCH                 -.0625
JAN18      ----      ----      ----      ----      ----    UNCH                 -.0875
FEB18      ----      ----      ----      ----      ----    UNCH                 -.0750
MAR18      ----      ----      ----      ----      ----    UNCH                 -.0550
APR18      ----      ----      ----      ----      ----    UNCH                 -.0225
MAY18      ----      ----      ----      ----      ----    UNCH                  .0025
6T In Delivery Month European Union Allowance (EUA) F
DEC17      ----      ----      ----      ----      ----    UNCH                 6.9400                    6900
DEC18      ----      ----      ----      ----      ----    UNCH                 6.9700                    3698
DEC19      ----      ----      ----      ----      ----    UNCH                 7.0500
DEC20      ----      ----      ----      ----      ----    UNCH                 7.1300
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                                                    10598
A2 WTI OIL CS1 SYNTHT
NOV17      ----      ----      ----      ----      ----    UNCH                   -.32
DEC17      ----      ----      ----      ----      ----    UNCH                   -.24
JAN18      ----      ----      ----      ----      ----    UNCH                   -.13
FEB18      ----      ----      ----      ----      ----    UNCH                   -.06
MAR18      ----      ----      ----      ----      ----    UNCH                   -.02
APR18      ----      ----      ----      ----      ----    UNCH                    .04
MAY18      ----      ----      ----      ----      ----    UNCH                    .07
JUN18      ----      ----      ----      ----      ----    UNCH                    .10
JLY18      ----      ----      ----      ----      ----    UNCH                    .10
AUG18      ----      ----      ----      ----      ----    UNCH                    .09
SEP18      ----      ----      ----      ----      ----    UNCH                    .08
OCT18      ----      ----      ----      ----      ----    UNCH                    .06
NOV18      ----      ----      ----      ----      ----    UNCH                    .05
DEC18      ----      ----      ----      ----      ----    UNCH                    .10
JAN19      ----      ----      ----      ----      ----    UNCH                    .09
FEB19      ----      ----      ----      ----      ----    UNCH                    .09
MAR19      ----      ----      ----      ----      ----    UNCH                    .06
APR19      ----      ----      ----      ----      ----    UNCH                    .06
MAY19      ----      ----      ----      ----      ----    UNCH                    .03
JUN19      ----      ----      ----      ----      ----    UNCH                    .07
