                PRELIMINARY PRICES AS OF 03/07/18 01:32 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
0UL TEST EUA FUTURE
MAR18      ----      ----      ----      ----      ----    UNCH                 5.5200
APR18      ----      ----      ----      ----      ----    UNCH                 5.5200
MAY18      ----      ----      ----      ----      ----    UNCH                 5.5200
JUN18      ----      ----      ----      ----      ----    UNCH                 5.5200
1CE Chicago Ethanol (Platts) Calendar Spread Option -
APR18      ----      ----      ----      ----      ----    UNCH                 -.0050
MAY18      ----      ----      ----      ----      ----    UNCH                  .0025
JUN18      ----      ----      ----      ----      ----    UNCH                  .0025
JLY18      ----      ----      ----      ----      ----    UNCH                  .0025
AUG18      ----      ----      ----      ----      ----    UNCH                  .0050
SEP18      ----      ----      ----      ----      ----    UNCH                  .0100
OCT18      ----      ----      ----      ----      ----    UNCH                  .0150
NOV18      ----      ----      ----      ----      ----    UNCH                  .0150
DEC18      ----      ----      ----      ----      ----    UNCH                  .0150
2CE Chicago Ethanol (Platts) Calendar Spread Option -
APR18      ----      ----      ----      ----      ----    UNCH                 -.0025
MAY18      ----      ----      ----      ----      ----    UNCH                  .0050
JUN18      ----      ----      ----      ----      ----    UNCH                  .0050
JLY18      ----      ----      ----      ----      ----    UNCH                  .0075
AUG18      ----      ----      ----      ----      ----    UNCH                  .0150
SEP18      ----      ----      ----      ----      ----    UNCH                  .0250
OCT18      ----      ----      ----      ----      ----    UNCH                  .0300
NOV18      ----      ----      ----      ----      ----    UNCH                  .0300
2RB RBOB TAM SYNTHETIC LONDON FUTURE
APR18      ----      ----      ----      ----    1.9292  +.0121                 1.9171
MAY18      ----      ----      ----      ----    1.9409  +.0095                 1.9314
JUN18      ----      ----      ----      ----    1.9375  +.0077                 1.9298
3A WTI OIL CS12SYNTHT
APR18      ----      ----      ----      ----      ----    UNCH                   4.95
MAY18      ----      ----      ----      ----      ----    UNCH                   5.16
JUN18      ----      ----      ----      ----      ----    UNCH                   5.20
JLY18      ----      ----      ----      ----      ----    UNCH                   5.11
AUG18      ----      ----      ----      ----      ----    UNCH                   4.92
SEP18      ----      ----      ----      ----      ----    UNCH                   4.66
OCT18      ----      ----      ----      ----      ----    UNCH                   4.38
NOV18      ----      ----      ----      ----      ----    UNCH                   4.13
DEC18      ----      ----      ----      ----      ----    UNCH                   3.90
JAN19      ----      ----      ----      ----      ----    UNCH                   3.75
FEB19      ----      ----      ----      ----      ----    UNCH                   3.56
MAR19      ----      ----      ----      ----      ----    UNCH                   3.40
APR19      ----      ----      ----      ----      ----    UNCH                   3.27
JUN19      ----      ----      ----      ----      ----    UNCH                   3.00
SEP19      ----      ----      ----      ----      ----    UNCH                   2.65
DEC19      ----      ----      ----      ----      ----    UNCH                   2.43
MAR20      ----      ----      ----      ----      ----    UNCH                   2.13
JUN20      ----      ----      ----      ----      ----    UNCH                   1.84
SEP20      ----      ----      ----      ----      ----    UNCH                   1.59
DEC20      ----      ----      ----      ----      ----    UNCH                   1.23
MAR21      ----      ----      ----      ----      ----    UNCH                    .96
3CE Chicago Ethanol (Platts) Calendar Spread Option -
APR18      ----      ----      ----      ----      ----    UNCH                  .0000
MAY18      ----      ----      ----      ----      ----    UNCH                  .0075
JUN18      ----      ----      ----      ----      ----    UNCH                  .0100
JLY18      ----      ----      ----      ----      ----    UNCH                  .0175
AUG18      ----      ----      ----      ----      ----    UNCH                  .0300
SEP18      ----      ----      ----      ----      ----    UNCH                  .0400
OCT18      ----      ----      ----      ----      ----    UNCH                  .0450
4A WTI OIL CS6 SYNTHT
APR18      ----      ----      ----      ----      2.18    -.24                   2.42
MAY18      ----      ----      ----      ----      2.49    -.26                   2.75
JUN18      ----      ----      ----      ----      2.63    -.27                   2.90
JLY18      ----      ----      ----      ----      2.64    -.25                   2.89
AUG18      ----      ----      ----      ----      ----    UNCH                   2.81
SEP18      ----      ----      ----      ----      ----    UNCH                   2.68
OCT18      ----      ----      ----      ----      ----    UNCH                   2.53
NOV18      ----      ----      ----      ----      ----    UNCH                   2.41
DEC18      ----      ----      ----      ----      ----    UNCH                   2.30
JAN19      ----      ----      ----      ----      ----    UNCH                   2.22
FEB19      ----      ----      ----      ----      ----    UNCH                   2.11
MAR19      ----      ----      ----      ----      ----    UNCH                   1.98
APR19      ----      ----      ----      ----      ----    UNCH                   1.85
JUN19      ----      ----      ----      ----      ----    UNCH                   1.60
DEC19      ----      ----      ----      ----      ----    UNCH                   1.40
JUN20      ----      ----      ----      ----      ----    UNCH                   1.03
DEC20      ----      ----      ----      ----      ----    UNCH                    .81
4RB RBOB 3:15 2 MINUTE TAM SYNTHETIC LONDON FUTURE
APR18      ----      ----      ----      ----      ----    UNCH                 1.9330
5A WTI OIL CS3 SYNTHT
APR18      ----      ----      ----      ----       .78    -.09                    .87
MAY18      ----      ----      ----      ----      1.09    -.13                   1.22
JUN18      ----      ----      ----      ----      1.30    -.16                   1.46
JLY18      ----      ----      ----      ----      1.40    -.15                   1.55
AUG18      ----      ----      ----      ----      1.40    -.13                   1.53
SEP18      ----      ----      ----      ----      1.33    -.11                   1.44
OCT18      ----      ----      ----      ----      1.24    -.10                   1.34
NOV18      ----      ----      ----      ----      ----    UNCH                   1.28
DEC18      ----      ----      ----      ----      ----    UNCH                   1.24
JAN19      ----      ----      ----      ----      ----    UNCH                   1.19
FEB19      ----      ----      ----      ----      ----    UNCH                   1.13
MAR19      ----      ----      ----      ----      ----    UNCH                   1.06
6A WTI OIL CS2 SYNTHT
APR18      ----      ----      ----      ----       .40    -.04                    .44
MAY18      ----      ----      ----      ----       .65    -.07                    .72
JUN18      ----      ----      ----      ----       .82    -.11                    .93
JLY18      ----      ----      ----      ----       .92    -.11                   1.03
AUG18      ----      ----      ----      ----       .96    -.09                   1.05
SEP18      ----      ----      ----      ----       .92    -.08                   1.00
OCT18      ----      ----      ----      ----       .85    -.07                    .92
NOV18      ----      ----      ----      ----       .80    -.06                    .86
DEC18      ----      ----      ----      ----      ----    UNCH                    .84
JAN19      ----      ----      ----      ----      ----    UNCH                    .82
FEB19      ----      ----      ----      ----      ----    UNCH                    .77
MAR19      ----      ----      ----      ----      ----    UNCH                    .73
6CE Chicago Ethanol (Platts) Calendar Spread Option -
APR18      ----      ----      ----      ----      ----    UNCH                  .0175
MAY18      ----      ----      ----      ----      ----    UNCH                  .0375
JUN18      ----      ----      ----      ----      ----    UNCH                  .0500
JLY18      ----      ----      ----      ----      ----    UNCH                  .0625
6T In Delivery Month European Union Allowance (EUA) F
DEC18      ----      ----      ----      ----   10.6400  +.1700                10.4700                    3698
DEC19      ----      ----      ----      ----   10.7000  +.1700                10.5300
