                PRELIMINARY PRICES AS OF 01/08/18 09:30 AM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
MAR18      ----      ----      ----      ----      ----    UNCH                 -.0825
APR18      ----      ----      ----      ----      ----    UNCH                 -.0400
MAY18      ----      ----      ----      ----      ----    UNCH                 -.0075
JUN18      ----      ----      ----      ----      ----    UNCH                  .0150
6T In Delivery Month European Union Allowance (EUA) F
DEC18      ----      ----      ----      ----      ----    UNCH                 7.7800                    3698
DEC19      ----      ----      ----      ----      ----    UNCH                 7.8400
DEC20      ----      ----      ----      ----      ----    UNCH                 7.9400
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                                                     3698
A2 WTI OIL CS1 SYNTHT
FEB18      ----      ----      ----      ----      ----    UNCH                    .03
MAR18      ----      ----      ----      ----      ----    UNCH                    .11
APR18      ----      ----      ----      ----      ----    UNCH                    .15
MAY18      ----      ----      ----      ----      ----    UNCH                    .22
JUN18      ----      ----      ----      ----      ----    UNCH                    .31
JLY18      ----      ----      ----      ----      ----    UNCH                    .35
AUG18      ----      ----      ----      ----      ----    UNCH                    .34
SEP18      ----      ----      ----      ----      ----    UNCH                    .35
OCT18      ----      ----      ----      ----      ----    UNCH                    .34
NOV18      ----      ----      ----      ----      ----    UNCH                    .31
DEC18      ----      ----      ----      ----      ----    UNCH                    .32
JAN19      ----      ----      ----      ----      ----    UNCH                    .34
FEB19      ----      ----      ----      ----      ----    UNCH                    .34
MAR19      ----      ----      ----      ----      ----    UNCH                    .32
APR19      ----      ----      ----      ----      ----    UNCH                    .30
MAY19      ----      ----      ----      ----      ----    UNCH                    .26
JUN19      ----      ----      ----      ----      ----    UNCH                    .30
JLY19      ----      ----      ----      ----      ----    UNCH                    .28
AUG19      ----      ----      ----      ----      ----    UNCH                    .24
SEP19      ----      ----      ----      ----      ----    UNCH                    .22
OCT19      ----      ----      ----      ----      ----    UNCH                    .19
NOV19      ----      ----      ----      ----      ----    UNCH                    .15
DEC19      ----      ----      ----      ----      ----    UNCH                    .21
JAN20      ----      ----      ----      ----      ----    UNCH                    .21
FEB20      ----      ----      ----      ----      ----    UNCH                    .20
MAR20      ----      ----      ----      ----      ----    UNCH                    .21
APR20      ----      ----      ----      ----      ----    UNCH                    .21
MAY20      ----      ----      ----      ----      ----    UNCH                    .17
JUN20      ----      ----      ----      ----      ----    UNCH                    .20
JLY20      ----      ----      ----      ----      ----    UNCH                    .16
AUG20      ----      ----      ----      ----      ----    UNCH                    .15
SEP20      ----      ----      ----      ----      ----    UNCH                    .14
OCT20      ----      ----      ----      ----      ----    UNCH                    .15
NOV20      ----      ----      ----      ----      ----    UNCH                    .14
DEC20      ----      ----      ----      ----      ----    UNCH                    .20
JAN21      ----      ----      ----      ----      ----    UNCH                    .21
FEB21      ----      ----      ----      ----      ----    UNCH                    .08
MAR21      ----      ----      ----      ----      ----    UNCH                    .14
APR21      ----      ----      ----      ----      ----    UNCH                    .11
MAY21      ----      ----      ----      ----      ----    UNCH                    .04
JUN21      ----      ----      ----      ----      ----    UNCH                    .10
JLY21      ----      ----      ----      ----      ----    UNCH                    .07
AUG21      ----      ----      ----      ----      ----    UNCH                    .07
SEP21      ----      ----      ----      ----      ----    UNCH                    .13
OCT21      ----      ----      ----      ----      ----    UNCH                    .08
NOV21      ----      ----      ----      ----      ----    UNCH                    .06
DEC21      ----      ----      ----      ----      ----    UNCH                    .07
JAN22      ----      ----      ----      ----      ----    UNCH                    .06
FEB22      ----      ----      ----      ----      ----    UNCH                    .02
MAR22      ----      ----      ----      ----      ----    UNCH                    .03
APR22      ----      ----      ----      ----      ----    UNCH                    .02
MAY22      ----      ----      ----      ----      ----    UNCH                    .04
JUN22      ----      ----      ----      ----      ----    UNCH                    .10
AUG22      ----      ----      ----      ----      ----    UNCH                   -.07
SEP22      ----      ----      ----      ----      ----    UNCH                    .06
OCT22      ----      ----      ----      ----      ----    UNCH                    .03
NOV22      ----      ----      ----      ----      ----    UNCH                    .04
DEC22      ----      ----      ----      ----      ----    UNCH                    .01
JAN23      ----      ----      ----      ----      ----    UNCH                    .02
FEB23      ----      ----      ----      ----      ----    UNCH                   -.01
MAR23      ----      ----      ----      ----      ----    UNCH                    .02
APR23      ----      ----      ----      ----      ----    UNCH                    .04
MAY23      ----      ----      ----      ----      ----    UNCH                   -.04
JUN23      ----      ----      ----      ----      ----    UNCH                    .01
