        FINAL POST-CLEARING PRICES AS OF 09/14/17 10:33 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE  ACTUAL VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
-20        ----      ----      ----      ----       .07    UNCH                    .07                     100
-25        ----       .10B     ----       .10B      .09    UNCH                    .09                     600
-30        ----      ----      ----      ----       .11    UNCH                    .11                     200
-35        ----       .15B     ----       .15B      .14    +.01                    .13
-40        ----       .18B     ----       .18B      .17    +.01                    .16
-5         ----      ----      ----      ----       .04    UNCH                    .04                     500
-50        ----       .26B     ----       .26B      .24    +.01                    .23                    1500
-75        ----      ----      ----      ----       .47    +.01                    .46
WA DEC17 WTI Calendar Spread Option - 1 Month CALL
0          ----      ----      ----      ----       .06    UNCH                    .06         100       45617
10         ----      ----      ----      ----       .05    +.01                    .04                    5000
100        ----      ----      ----      ----       .01    UNCH                    .01                    2075
15         ----      ----      ----      ----       .04    +.01                    .03                     200
20          .04       .04       .04       .04       .04    +.01         100        .03                     100
25          .03       .03       .03       .03       .03    +.01         100        .02                    5760
5          ----      ----      ----      ----       .06    +.01                    .05                     200
50         ----      ----      ----      ----       .01    UNCH                    .01                    1850
-15         .13       .13       .10       .10       .10    UNCH         900        .10         200        6200
-25        ----      ----      ----      ----       .16    +.01                    .15                     725
-30        ----      ----      ----      ----       .19    +.01                    .18                     150
-5         ----      ----      ----      ----       .08    +.01                    .07                     500
-50        ----      ----      ----      ----       .35    +.02                    .33                    1500
WA JAN18 WTI Calendar Spread Option - 1 Month CALL
0          ----       .10B     ----       .10B      .11    +.02         500        .09         900       10425
100        ----      ----      ----      ----       .01    UNCH                    .01                    1050
15         ----      ----      ----      ----       .07    +.01                    .06                    5200
25         ----      ----      ----      ----       .05    +.01                    .04                     450
50         ----      ----      ----      ----       .02    UNCH                    .02                    2650
-10        ----      ----      ----      ----       .14    +.01                    .13
-100       ----      ----      ----      ----       .85    +.01                    .84
-15        ----      ----      ----      ----       .15    UNCH                    .15                     500
-150       ----      ----      ----      ----      1.34    +.01                   1.33
-20        ----      ----      ----      ----       .17    UNCH                    .17                     250
-25        ----       .20B     ----       .20B      .20    +.01                    .19
-40        ----      ----      ----      ----       .30    +.01                    .29
-50        ----      ----      ----      ----       .38    +.01                    .37
WA FEB18 WTI Calendar Spread Option - 1 Month CALL
0          ----      ----      ----      ----       .12    UNCH         500        .12         800       11225
100        ----      ----      ----      ----       .02    UNCH                    .02                    1050
25         ----      ----      ----      ----       .05    UNCH                    .05                     450
50         ----      ----      ----      ----       .03    UNCH                    .03                    2650
-20        ----      ----      ----      ----       .22    +.01                    .21                     250
-25        ----      ----      ----      ----       .25    +.01                    .24                     100
WA MAR18 WTI Calendar Spread Option - 1 Month CALL
0          ----      ----      ----      ----       .16    +.01         500        .15        1000       10400
100        ----      ----      ----      ----       .02    UNCH                    .02                    1050
25         ----      ----      ----      ----       .07    UNCH                    .07                     450
50         ----      ----      ----      ----       .04    UNCH                    .04                    2650
-20        ----      ----      ----      ----       .26    +.01                    .25                     250
WA APR18 WTI Calendar Spread Option - 1 Month CALL
0          ----       .17B     ----       .17B      .17    +.02                    .15                    3300
100        ----      ----      ----      ----       .03    +.01                    .02                    1050
25         ----      ----      ----      ----       .09    +.02                    .07                     325
50         ----      ----      ----      ----       .05    UNCH                    .05                    2650
WA MAY18 WTI Calendar Spread Option - 1 Month CALL
0          ----       .18B     ----       .18B      .18    +.01                    .17                    3000
100        ----      ----      ----      ----       .03    UNCH                    .03                    1050
25         ----      ----      ----      ----       .11    +.01                    .10                     325
50         ----      ----      ----      ----       .07    +.01                    .06                    2650
WA JUN18 WTI Calendar Spread Option - 1 Month CALL
0          ----       .19B     ----       .19B      .19    +.01                    .18                    3000
100        ----      ----      ----      ----       .03    UNCH                    .03                    1050
25         ----       .10B     ----       .10B      .10    +.01                    .09                     325
50         ----      ----      ----      ----       .06    UNCH                    .06                    2650
WA JLY18 WTI Calendar Spread Option - 1 Month CALL
0          ----       .19B     ----       .19B      .19    +.01                    .18                    2650
100        ----      ----      ----      ----       .03    UNCH                    .03                    1050
25         ----      ----      ----      ----       .11    +.01                    .10                     325
50         ----      ----      ----      ----       .07    +.01                    .06                    2150
-25        ----       .34B     ----       .34B      .34    +.02                    .32
WA AUG18 WTI Calendar Spread Option - 1 Month CALL
0          ----      ----      ----      ----       .19    UNCH                    .19                    2250
100        ----      ----      ----      ----       .05    UNCH                    .05                    1050
25         ----      ----      ----      ----       .12    +.01                    .11                     325
50         ----      ----      ----      ----       .08    UNCH                    .08                    2150
WA SEP18 WTI Calendar Spread Option - 1 Month CALL
0          ----      ----      ----      ----       .20    UNCH                    .20                    2350
100        ----      ----      ----      ----       .05    UNCH                    .05                    1050
25         ----      ----      ----      ----       .11    UNCH                    .11                     325
50         ----      ----      ----      ----       .07    UNCH                    .07                    2150
WA OCT18 WTI Calendar Spread Option - 1 Month CALL
0          ----      ----      ----      ----       .20    +.01                    .19                    2250
100        ----      ----      ----      ----       .05    UNCH                    .05                    1050
25         ----      ----      ----      ----       .11    UNCH                    .11                     325
50         ----      ----      ----      ----       .08    +.01                    .07                    2150
WA NOV18 WTI Calendar Spread Option - 1 Month CALL
0          ----       .19B     ----       .19B      .19    +.01                    .18                    2150
100        ----      ----      ----      ----       .05    UNCH                    .05                    1050
25         ----      ----      ----      ----       .12    UNCH                    .12                     325
50         ----      ----      ----      ----       .08    UNCH                    .08                    2150
WA DEC18 WTI Calendar Spread Option - 1 Month CALL
0          ----      ----      ----      ----       .21    UNCH                    .21                    2250
100        ----      ----      ----      ----       .05    UNCH                    .05                    1050
25         ----      ----      ----      ----       .12    UNCH                    .12                     325
50         ----      ----      ----      ----       .08    UNCH                    .08                    2150
TOTAL                                                            ACTUAL VOL                 VOLUME    OPEN INT
TOTAL                                                                  3350                   3200      311481
WA OCT17 WTI Calendar Spread Option - 1 Month PUT
0          ----      ----      ----      ----       .47    +.01                    .46                    2650
-10        ----      ----      ----      ----       .37    +.01                    .36                    2500
-100       ----      ----      ----      ----       .01    UNCH                    .01         350        7850
-125       ----      ----      ----      ----       .01    UNCH                    .01                    1700
-15        ----      ----      ----      ----       .32    +.01                    .31                    4350
-150       ----      ----      ----      ----       .01    UNCH                    .01                    1250
-25        ----      ----       .19A      .19A      .22    UNCH                    .22        1000       25550
-30        ----      ----       .16A      .16A      .18    UNCH                    .18                    1225
-40        ----      ----       .11A      .11A      .10    -.02                    .12                     600
-45        ----      ----      ----      ----       .08    -.01                    .09                     100
-50        ----      ----       .06A      .06A      .06    -.01                    .07        2600        9600
-60        ----      ----       .04A      .04A      .03    -.02                    .05                      50
-75        ----      ----      ----      ----       .02    -.01                    .03                    4925
-80        ----      ----      ----      ----       .02    -.01                    .03
WA NOV17 WTI Calendar Spread Option - 1 Month PUT
0          ----      ----      ----      ----       .34    -.04                    .38                   10700
-10        ----      ----      ----      ----       .25    -.05                    .30                    1000
-100       ----      ----      ----      ----       .02    -.02                    .04                    8200
-15        ----      ----      ----      ----       .21    -.05                    .26                    4850
-150       ----      ----      ----      ----       .01    UNCH                    .01                    1000
-25        ----      ----       .16A      .16A      .15    -.04                    .19        1500       27500
-30        ----      ----       .14A      .14A      .12    -.04                    .16                    1250
-35        ----      ----       .12A      .12A      .10    -.03                    .13                     250
-40        ----      ----      ----      ----       .08    -.03                    .11                     250
-50        ----      ----      ----      ----       .05    -.03                    .08        1500        8425
-75        ----      ----      ----      ----       .03    -.03                    .06                    2000
WA DEC17 WTI Calendar Spread Option - 1 Month PUT
0          ----      ----       .29A      .29A      .29    -.02                    .31                   15850
-10        ----      ----       .21A      .21A      .22    -.01                    .23                    1000
-100       ----      ----      ----      ----       .04    -.01        3500        .05                   13000
-15        ----      ----       .19A      .19A      .18    -.02                    .20                    4850
-150       ----      ----      ----      ----       .02    -.01                    .03                    1000
-20        ----      ----       .16A      .16A      .16    -.01                    .17                     100
-25        ----      ----       .13A      .13A      .14    -.01         500        .15        1000       28350
-30        ----      ----       .12A      .12A      .12    -.01                    .13                    1850
-300       ----      ----      ----      ----      ----    UNCH                    .01
-35        ----      ----       .11A      .11A      .11    -.01                    .12                     150
-40        ----      ----       .09A      .09A      .09    -.01                    .10                     400
-45        ----      ----       .08A      .08A      .08    -.01                    .09                     300
-50        ----      ----      ----      ----       .08    UNCH        3000        .08        1000       18180
-75        ----      ----      ----      ----       .05    -.01                    .06                    1800
WA JAN18 WTI Calendar Spread Option - 1 Month PUT
0          ----      ----       .25A      .25A      .28    +.01                    .27                   10000
-10        ----      ----      ----      ----       .21    UNCH                    .21                     250
-100       ----      ----      ----      ----       .02    UNCH                    .02                    2150
-15        ----      ----      ----      ----       .17    -.01                    .18                     500
-150       ----      ----      ----      ----       .01    UNCH                    .01                     250
-20        ----      ----       .13A      .13A      .14    -.01                    .15                     350
-25        ----      ----      ----      ----       .12    UNCH         100        .12         200        8050
-40        ----      ----      ----      ----       .07    UNCH                    .07                    1300
-50        ----      ----      ----      ----       .05    UNCH                    .05         100        7975
WA FEB18 WTI Calendar Spread Option - 1 Month PUT
0          ----      ----       .24A      .24A      .23    -.02                    .25                    5800
-10        ----      ----      ----      ----       .18    -.01                    .19                     250
-100       ----      ----      ----      ----       .02    -.01                    .03                    2150
-150       ----      ----      ----      ----       .01    UNCH                    .01                     250
-20        ----      ----      ----      ----       .13    -.01                    .14                     250
-25        ----      ----       .11A      .11A      .11    -.01         100        .12         200        6850
-40        ----      ----      ----      ----       .07    -.01                    .08                    1300
-50        ----      ----       .05A      .05A      .05    -.01                    .06                    8350
WA MAR18 WTI Calendar Spread Option - 1 Month PUT
0          ----      ----      ----      ----       .22    -.01                    .23                    5900
-10        ----      ----      ----      ----       .16    -.02                    .18                     250
-100       ----      ----      ----      ----       .02    UNCH                    .02                    2150
-150       ----      ----      ----      ----       .01    UNCH                    .01                     250
-20        ----      ----      ----      ----       .12    -.01                    .13                     250
-25        ----      ----       .11A      .11A      .11    -.01         100        .12         200       10650
-40        ----      ----      ----      ----       .07    -.01                    .08                    1300
-50         .05       .05       .05       .05       .05    -.01         100        .06         100        8550
WA APR18 WTI Calendar Spread Option - 1 Month PUT
0          ----      ----      ----      ----       .20    +.01                    .19                    1500
-100       ----      ----      ----      ----       .03    +.01                    .02                    2150
-150       ----      ----      ----      ----       .02    +.01                    .01                     250
-25        ----      ----      ----      ----       .10    +.01                    .09                    1125
-40        ----      ----      ----      ----       .06    +.01                    .05                    1100
-50        ----      ----      ----      ----       .05    +.01                    .04                     100
WA MAY18 WTI Calendar Spread Option - 1 Month PUT
0          ----      ----      ----      ----       .19    UNCH                    .19                    1500
-100       ----      ----      ----      ----       .03    UNCH                    .03                    2150
-150       ----      ----      ----      ----       .02    +.01                    .01                     250
-25        ----      ----      ----      ----       .09    +.01                    .08                    1025
-40        ----      ----      ----      ----       .06    UNCH                    .06                    1200
-50        ----      ----      ----      ----       .05    UNCH                    .05                     100
WA JUN18 WTI Calendar Spread Option - 1 Month PUT
0          ----      ----      ----      ----       .18    UNCH                    .18                    1500
-100       ----      ----      ----      ----       .02    UNCH                    .02                    2150
-150       ----      ----      ----      ----       .01    UNCH                    .01                     250
-25        ----      ----      ----      ----       .09    UNCH                    .09                    1225
-40        ----      ----      ----      ----       .06    UNCH                    .06                    1100
-50        ----      ----      ----      ----       .05    UNCH                    .05                     100
WA JLY18 WTI Calendar Spread Option - 1 Month PUT
0          ----      ----      ----      ----       .18    -.01                    .19                    1000
-100       ----      ----      ----      ----       .02    UNCH                    .02                    2150
-150       ----      ----      ----      ----       .01    UNCH                    .01                     250
-25        ----      ----      ----      ----       .08    UNCH                    .08         250        1025
-40        ----      ----      ----      ----       .05    -.01                    .06                    1100
WA AUG18 WTI Calendar Spread Option - 1 Month PUT
0          ----      ----      ----      ----       .19    -.01                    .20                    1000
-100       ----      ----      ----      ----       .03    UNCH                    .03                    2150
-150       ----      ----      ----      ----       .01    UNCH                    .01                     250
-25        ----      ----      ----      ----       .10    UNCH                    .10         250        1025
-40        ----      ----      ----      ----       .07    UNCH                    .07                    1100
WA SEP18 WTI Calendar Spread Option - 1 Month PUT
0          ----      ----      ----      ----       .20    -.01                    .21                    1000
-100       ----      ----      ----      ----       .04    UNCH                    .04                    2150
-150       ----      ----      ----      ----       .02    UNCH                    .02                     250
-25        ----      ----      ----      ----       .10    UNCH                    .10         250         925
-40        ----      ----      ----      ----       .07    UNCH                    .07                    1100
WA OCT18 WTI Calendar Spread Option - 1 Month PUT
0          ----      ----      ----      ----       .20    UNCH                    .20                    1000
-100       ----      ----      ----      ----       .03    UNCH                    .03                    2150
-150       ----      ----      ----      ----       .01    UNCH                    .01                     250
-25        ----      ----      ----      ----       .11    +.01                    .10         250        1125
-40        ----      ----      ----      ----       .08    +.01                    .07                    1100
WA NOV18 WTI Calendar Spread Option - 1 Month PUT
0          ----      ----      ----      ----       .19    -.01                    .20                    1000
-100       ----      ----      ----      ----       .03    UNCH                    .03                    2150
-150       ----      ----      ----      ----       .01    UNCH                    .01                     250
-25        ----       .10B     ----       .10B      .09    UNCH                    .09         250         825
-40        ----      ----      ----      ----       .07    UNCH                    .07                    1100
WA DEC18 WTI Calendar Spread Option - 1 Month PUT
0          ----      ----      ----      ----       .18    -.01                    .19                    1000
-100       ----      ----      ----      ----       .03    UNCH                    .03                    2150
-150       ----      ----      ----      ----       .02    UNCH                    .02                     250
-25        ----      ----      ----      ----       .09    UNCH                    .09         250         825
-40        ----      ----      ----      ----       .07    UNCH                    .07                    1100
WA JAN19 WTI Calendar Spread Option - 1 Month PUT
-40        ----      ----      ----      ----       .06    -.01                    .07                     100
WA FEB19 WTI Calendar Spread Option - 1 Month PUT
-40        ----      ----      ----      ----       .09    UNCH                    .09                     100
WA MAR19 WTI Calendar Spread Option - 1 Month PUT
-40        ----      ----      ----      ----       .09    UNCH                    .09                     100
TOTAL                                                            ACTUAL VOL                 VOLUME    OPEN INT
TOTAL                                                                  7400                  11250      351755
CD  SEP 17 14  DAILY CRUDE OIL      CALL
4200       ----      ----      ----      ----      7.89    ----                   ----
4250       ----      ----      ----      ----      7.39    ----                   ----
4300       ----      ----      ----      ----      6.89    ----                   ----
4350       ----      ----      ----      ----      6.39    ----                   ----
4400       ----      ----      ----      ----      5.89    ----                   ----
4450       ----      ----      ----      ----      5.39    ----                   ----
4500       ----      ----      ----      ----      4.89    ----                   ----
4550       ----      ----      ----      ----      4.39    ----                   ----
4600       ----      ----      ----      ----      3.89    ----                   ----
4650       ----      ----      ----      ----      3.39    ----                   ----
4700       ----      ----      ----      ----      2.89    ----                   ----
4750       ----      ----      ----      ----      2.39    ----                   ----
4800       ----      ----      ----      ----      1.89    ----                   ----
4850       ----      ----      ----      ----      1.39    ----                   ----
4900       ----      ----      ----      ----       .89    ----                   ----
4950       ----      ----      ----      ----       .39    ----                   ----
5000       ----      ----      ----      ----       .00    ----                   ----
5050       ----      ----      ----      ----       .00    ----                   ----
5100       ----      ----      ----      ----       .00    ----                   ----
5150       ----      ----      ----      ----       .00    ----                   ----
5200       ----      ----      ----      ----       .00    ----                   ----
5250       ----      ----      ----      ----       .00    ----                   ----
TOTAL                                                            ACTUAL VOL                 VOLUME    OPEN INT
TOTAL
CD  SEP 17 14  DAILY CRUDE OIL      PUT
4200       ----      ----      ----      ----       .00    ----                   ----
4250       ----      ----      ----      ----       .00    ----                   ----
4300       ----      ----      ----      ----       .00    ----                   ----
4350       ----      ----      ----      ----       .00    ----                   ----
4400       ----      ----      ----      ----       .00    ----                   ----
4450       ----      ----      ----      ----       .00    ----                   ----
4500       ----      ----      ----      ----       .00    ----                   ----
4550       ----      ----      ----      ----       .00    ----                   ----
4600       ----      ----      ----      ----       .00    ----                   ----
4650       ----      ----      ----      ----       .00    ----                   ----
4700       ----      ----      ----      ----       .00    ----                   ----
4750       ----      ----      ----      ----       .00    ----                   ----
4800       ----      ----      ----      ----       .00    ----                   ----
4850       ----      ----      ----      ----       .00    ----                   ----
4900       ----      ----      ----      ----       .00    ----                   ----
4950       ----      ----      ----      ----       .00    ----                   ----
5000       ----      ----      ----      ----       .11    ----         330       ----
5050       ----      ----      ----      ----       .61    ----                   ----
5100       ----      ----      ----      ----      1.11    ----                   ----
5150       ----      ----      ----      ----      1.61    ----                   ----
5200       ----      ----      ----      ----      2.11    ----                   ----
5250       ----      ----      ----      ----      2.61    ----                   ----
TOTAL                                                            ACTUAL VOL                 VOLUME    OPEN INT
TOTAL                                                                   330
LO OCT17 Light Sweet Crude Oil Option CALL
10000      ----      ----      ----      ----       .01    UNCH                    .01                      35
11000      ----      ----      ----      ----       .01    UNCH                    .01                     100
2150       ----      ----      ----      ----     28.39    +.59                  27.80                       1
2900       ----      ----      ----      ----     20.89    +.59                  20.30                       1
2950       ----      ----      ----      ----     20.39    +.59                  19.80                       2
3300       ----      ----      ----      ----     16.89    +.59                  16.30                       2
3350       ----     16.92B     ----     16.17B    16.39    +.59                  15.80                       3
3400       ----     16.42B     ----     15.67B    15.89    +.59                  15.30                      22
3450       ----     15.92B     ----     15.17B    15.39    +.59                  14.80                       2
3500      14.79     15.47B    14.61A    14.70A    14.89    +.59           1      14.30                       5
3550      14.29     14.97B    14.11A    14.20A    14.39    +.59           1      13.80                       2
3600      13.79     14.47B    13.61A    13.70A    13.89    +.59           1      13.30                       7
3650       ----      ----      ----      ----     13.39    +.59                  12.80                       1
3700       ----      ----      ----      ----     12.89    +.59                  12.30                       2
3750       ----      ----      ----      ----     12.39    +.59                  11.80                       1
3800       ----      ----      ----      ----     11.89    +.59                  11.30                       3
3850       ----      ----      ----      ----     11.39    +.59                  10.80
3900       ----      ----      ----      ----     10.89    +.59                  10.30                       2
3950       ----      9.84B     9.76A     9.84B    10.39    +.59                   9.80
4000       ----      9.44B     9.26A     9.44B     9.89    +.59                   9.30                     206
4050       ----      9.23B     8.76A     9.23B     9.39    +.59                   8.80                       3
4100       ----      8.76B     8.26A     8.76B     8.89    +.59                   8.30                     122
4150       ----      8.26B     7.76A     8.26B     8.39    +.59                   7.80                      13
4200       ----      7.76B     7.26A     7.76B     7.89    +.59                   7.30                    1614
4250       ----      7.26B     6.76A     7.26B     7.39    +.59                   6.80                     121
4300       ----      6.76B     6.26A     6.76B     6.89    +.59                   6.30           2         426
4350       ----      6.26B     5.76A     6.26B     6.39    +.59                   5.80                     356
4400       ----      5.76B     5.23A     5.76B     5.89    +.59                   5.30                    2361
4450       ----      5.26B     4.73A     5.26B     5.39    +.59                   4.80                     419
4500       5.34      5.39B     4.23A     4.69A     4.89    +.59           5       4.30          66        5835
4550       4.74      4.89B     3.73A     4.19A     4.39    +.59           5       3.80           6        2261
4600       4.09      4.42B     3.23A     3.68B     3.89    +.59         264       3.30          27        2589
4650       ----      3.92B     2.73A     3.18B     3.39    +.58          57       2.81         513        2383
4700       2.25      3.42B     2.24A     2.69B     2.90    +.58         333       2.32        1382        6840
4750       1.68      2.94      1.68      2.19B     2.40    +.57         191       1.83         551        4610
4800       1.33      2.46      1.26      1.74      1.91    +.54         992       1.37        1843       13329
4850        .88      1.96       .81      1.21B     1.42    +.48        1921        .94        2367        5482
4900        .55      1.50       .52       .79B      .95    +.36        1337        .59        4704        7368
4950        .28      1.02B      .26       .40       .53    +.20        2253        .33        3114        6039
5000        .16       .64       .12       .14       .24    +.07       19486        .17        6195       28322
5050        .07       .33       .03       .05       .09    UNCH        5743        .09        2962        5193
5100        .03       .15       .02       .02       .04    -.01        5601        .05        1808        9533
5150        .02       .07       .01       .01       .02    -.01        4375        .03        3424        9269
5200        .01       .04       .01       .01       .01    -.01        5511        .02         763       12526
5250        .01       .02       .01       .01       .01    UNCH         382        .01         282        5440
5300        .01       .02       .01       .01       .01    UNCH         586        .01         352       12935
5350        .01       .01       .01       .01       .01    UNCH         188        .01         510        3420
5400        .01       .01       .01       .01       .01    UNCH          29        .01           7        7070
5450        .01       .01       .01       .01       .01    UNCH           4        .01           1        3078
5500        .01       .01       .01       .01       .01    UNCH          39        .01         323       39178
5550        .01       .01       .01       .01       .01    UNCH          21        .01          10        2907
5600        .01       .01       .01       .01       .01    UNCH           8        .01           5        5275
5650       ----      ----      ----      ----       .01    UNCH                    .01          15        3738
5700       ----      ----      ----      ----       .01    UNCH          13        .01                    9688
5750       ----      ----      ----      ----       .01    UNCH                    .01           1        3763
5800       ----      ----      ----      ----       .01    UNCH           4        .01                    4108
5850       ----      ----      ----      ----       .01    UNCH                    .01                    2424
5900       ----      ----      ----      ----       .01    UNCH                    .01                    7128
5950       ----      ----      ----      ----       .01    UNCH                    .01                    5742
6000       ----      ----      ----      ----       .01    UNCH                    .01           4       14190
6050       ----      ----      ----      ----       .01    UNCH                    .01                    4990
6100       ----      ----      ----      ----       .01    UNCH                    .01                    3115
6150       ----      ----      ----      ----       .01    UNCH                    .01                    3431
6200       ----      ----      ----      ----       .01    UNCH                    .01                    3903
6250       ----      ----      ----      ----       .01    UNCH                    .01                    1393
6300       ----      ----      ----      ----       .01    UNCH                    .01                     872
6350       ----      ----      ----      ----       .01    UNCH                    .01                    1869
6400       ----      ----      ----      ----       .01    UNCH                    .01                     690
6450       ----      ----      ----      ----       .01    UNCH                    .01                    1257
6500       ----      ----      ----      ----       .01    UNCH                    .01                    7635
6550       ----      ----      ----      ----       .01    UNCH                    .01                    1180
6600       ----      ----      ----      ----       .01    UNCH                    .01                     347
6650       ----      ----      ----      ----       .01    UNCH                    .01                    4725
6700       ----      ----      ----      ----       .01    UNCH                    .01                    1972
6750       ----      ----      ----      ----       .01    UNCH                    .01                     810
6800       ----      ----      ----      ----       .01    UNCH                    .01                    4420
6850       ----      ----      ----      ----       .01    UNCH                    .01                     355
6900       ----      ----      ----      ----       .01    UNCH                    .01                     441
6950       ----      ----      ----      ----       .01    UNCH                    .01                       6
7000       ----      ----      ----      ----       .01    UNCH                    .01                    4509
7050       ----      ----      ----      ----       .01    UNCH                    .01                      21
7100       ----      ----      ----      ----       .01    UNCH                    .01                     173
7150       ----      ----      ----      ----       .01    UNCH                    .01                      96
7200       ----      ----      ----      ----       .01    UNCH                    .01                     349
7250       ----      ----      ----      ----       .01    UNCH                    .01                      45
7300       ----      ----      ----      ----       .01    UNCH                    .01                     145
7400       ----      ----      ----      ----       .01    UNCH                    .01                       9
7450       ----      ----      ----      ----       .01    UNCH                    .01                      16
7500       ----      ----      ----      ----       .01    UNCH                    .01                     245
7600       ----      ----      ----      ----       .01    UNCH                    .01                       2
7650       ----      ----      ----      ----       .01    UNCH                    .01                       1
7700       ----      ----      ----      ----       .01    UNCH                    .01                       4
7800       ----      ----      ----      ----       .01    UNCH                    .01                       6
7900       ----      ----      ----      ----       .01    UNCH                    .01                       8
8000       ----      ----      ----      ----       .01    UNCH                    .01                     203
8100       ----      ----      ----      ----       .01    UNCH                    .01                      25
8200       ----      ----      ----      ----       .01    UNCH                    .01                      93
8300       ----      ----      ----      ----       .01    UNCH                    .01                     150
8400       ----      ----      ----      ----       .01    UNCH                    .01                       2
8500       ----      ----      ----      ----       .01    UNCH                    .01                     100
8800       ----      ----      ----      ----       .01    UNCH                    .01                       3
8850       ----      ----      ----      ----       .01    UNCH                    .01                       4
8900       ----      ----      ----      ----       .01    UNCH                    .01                       3
9000       ----      ----      ----      ----       .01    UNCH                    .01                     611
LO NOV17 Light Sweet Crude Oil Option CALL
10000      ----      ----      ----      ----       .01    UNCH                    .01                       2
1750       ----      ----      ----      ----     32.85    +.60                  32.25                       1
2350       ----      ----      ----      ----     26.85    +.60                  26.25                       1
2800       ----      ----      ----      ----     22.35    +.60                  21.75                       1
2950       ----      ----      ----      ----     20.85    +.60                  20.25
3150       ----      ----      ----      ----     18.85    +.60                  18.25                       1
3450       ----      ----      ----      ----     15.85    +.60                  15.25                       1
3500       ----      ----      ----      ----     15.35    +.60                  14.75                       2
3700       ----     13.86B     ----     13.19B    13.35    +.60                  12.75                       1
3750       ----     13.36B     ----     12.69A    12.86    +.60                  12.26                       2
3800       ----     12.86B     ----     12.19A    12.36    +.60                  11.76                      65
3850       ----     11.81B     ----     11.64B    11.86    +.60                  11.26                       2
3900       ----     11.74B     ----     11.14B    11.36    +.60                  10.76                       3
3950       ----     11.34B     ----     10.64B    10.86    +.59                  10.27                       2
4000       ----     10.84B     9.69A    10.15B    10.37    +.60                   9.77                       8
4050       ----     10.35B     9.20A     9.65B     9.87    +.59                   9.28                       5
4100       ----      9.85B     8.71A     9.16B     9.38    +.59                   8.79                       3
4150       ----      9.36B     8.19A     8.67B     8.89    +.59                   8.30                      13
4200       ----      8.86B     7.70A     8.18B     8.40    +.59                   7.81                     450
4250       ----      8.37B     7.22A     7.69B     7.91    +.59                   7.32                      65
4300       ----      7.88B     6.73A     7.20B     7.43    +.59                   6.84           4         475
4350       ----      7.39B     6.26A     6.72B     6.95    +.59          10       6.36                     289
4400       ----      6.91B     5.79A     6.25B     6.47    +.58                   5.89                    3089
4450       ----      6.43B     5.33A     5.78B     6.00    +.57                   5.43                     464
4500       5.32      5.96B     4.87A     5.36      5.54    +.56          10       4.98           3        1609
4550       ----      5.49B     4.43A     4.91B     5.08    +.54           1       4.54                     373
4600       4.66      5.04B     4.01A     4.47B     4.64    +.53         114       4.11           2         584
4650       4.20      4.59B     3.60A     4.05B     4.21    +.51          11       3.70           1        1578
4700       3.81      4.16B     3.21A     3.65B     3.79    +.48          15       3.31         153        4847
4750       3.37      3.74B     2.84A     3.25B     3.39    +.46          17       2.93          18        1641
4800       2.50      3.34B     2.49A     2.87B     3.01    +.43          49       2.58         156        3467
4850       2.55      2.96B     2.16A     2.52B     2.65    +.40         416       2.25          81        3336
4900       1.85      2.60B     1.85      2.19B     2.31    +.37         396       1.94        3837        4659
4950       1.60      2.27B     1.56      1.91B     2.00    +.34         143       1.66         316        1946
5000       1.35      1.99      1.31      1.62A     1.71    +.30        1631       1.41        3254       11221
5050       1.09      1.70      1.09      1.37B     1.45    +.27        2323       1.18         166        1607
5100        .95      1.43B      .92      1.15      1.21    +.23        3090        .98         972       11031
5150        .81      1.20B      .75       .95B     1.00    +.19         428        .81        2865        5583
5200        .68      1.00       .61A      .78B      .82    +.16        2599        .66        1520        6490
5250        .54       .81B      .50       .64       .67    +.13         902        .54         595        2695
5300        .40       .67       .40       .51       .54    +.10        2616        .44         845        5791
5350        .34       .53       .33       .41B      .44    +.08        1700        .36         155        1687
5400        .25       .43       .25       .33       .35    +.06        1937        .29        3037        8028
5450        .26       .35       .22A      .27B      .28    +.04         963        .24         227        2353
5500        .19       .29       .17       .22       .23    +.03        2319        .20        5025       21141
5550        .16       .23       .15A      .17       .19    +.03         381        .16          93        1872
5600        .13       .19       .13       .14       .15    +.01         843        .14        2296        4107
5650        .13       .15       .11       .11       .13    +.01        3185        .12         228        2538
5700        .07       .13       .07       .10       .11    +.01         629        .10         120        3265
5750        .09       .11       .08       .08       .09    +.01         478        .08         121        2233
5800        .07       .09       .07       .07       .07    UNCH        1221        .07         123        2661
