        FINAL POST-CLEARING PRICES AS OF 09/14/17 10:33 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE  ACTUAL VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
FEB18      ----      ----      ----      ----      -.11    +.02                   -.13
MAR18      ----      ----      ----      ----      -.06    +.02                   -.08
APR18      ----      ----      ----      ----      -.03    +.01                   -.04
MAY18      ----      ----      ----      ----      -.01    +.01                   -.02
JUN18      ----      ----      ----      ----       .01    +.01                    .00
JLY18      ----      ----      ----      ----       .01    +.02                   -.01
AUG18      ----      ----      ----      ----       .00    +.01                   -.01
SEP18      ----      ----      ----      ----       .00    +.01                   -.01
OCT18      ----      ----      ----      ----       .00    +.01                   -.01
NOV18      ----      ----      ----      ----       .00    +.02                   -.02
DEC18      ----      ----      ----      ----       .03    +.01                    .02
JAN19      ----      ----      ----      ----       .03    +.01                    .02
FEB19      ----      ----      ----      ----       .03    +.01                    .02
MAR19      ----      ----      ----      ----       .01    +.01                    .00
APR19      ----      ----      ----      ----       .02    +.02                    .00
MAY19      ----      ----      ----      ----       .00    +.01                   -.01
JUN19      ----      ----      ----      ----       .04    +.02                    .02
JLY19      ----      ----      ----      ----       .02    +.01                    .01
AUG19      ----      ----      ----      ----       .02    +.01                    .01
SEP19      ----      ----      ----      ----       .00    +.01                   -.01
OCT19      ----      ----      ----      ----      -.02    UNCH                   -.02
NOV19      ----      ----      ----      ----      -.02    +.01                   -.03
DEC19      ----      ----      ----      ----       .03    +.01                    .02
JAN20      ----      ----      ----      ----       .01    +.01                    .00
FEB20      ----      ----      ----      ----       .00    +.01                   -.01
MAR20      ----      ----      ----      ----       .00    UNCH                    .00
APR20      ----      ----      ----      ----       .00    +.01                   -.01
MAY20      ----      ----      ----      ----      -.02    +.01                   -.03
JUN20      ----      ----      ----      ----       .02    +.01                    .01
JLY20      ----      ----      ----      ----      -.01    UNCH                   -.01
AUG20      ----      ----      ----      ----      -.02    UNCH                   -.02
SEP20      ----      ----      ----      ----      -.02    +.01                   -.03
OCT20      ----      ----      ----      ----      -.05    UNCH                   -.05
NOV20      ----      ----      ----      ----      -.07    UNCH                   -.07
DEC20      ----      ----      ----      ----       .01    +.01                    .00
JAN21      ----      ----      ----      ----      -.01    +.01                   -.02
FEB21      ----      ----      ----      ----      -.01    +.01                   -.02
MAR21      ----      ----      ----      ----      -.02    +.01                   -.03
APR21      ----      ----      ----      ----      -.04    +.01                   -.05
MAY21      ----      ----      ----      ----      -.07    +.01                   -.08
JUN21      ----      ----      ----      ----       .00    UNCH                    .00
JLY21      ----      ----      ----      ----      -.02    UNCH                   -.02
AUG21      ----      ----      ----      ----      -.04    +.01                   -.05
SEP21      ----      ----      ----      ----      -.06    UNCH                   -.06
OCT21      ----      ----      ----      ----      -.08    UNCH                   -.08
NOV21      ----      ----      ----      ----      -.10    +.01                   -.11
DEC21      ----      ----      ----      ----      -.01    UNCH                   -.01
JAN22      ----      ----      ----      ----      -.03    UNCH                   -.03
FEB22      ----      ----      ----      ----      -.04    UNCH                   -.04
MAR22      ----      ----      ----      ----      -.06    UNCH                   -.06
APR22      ----      ----      ----      ----      -.07    UNCH                   -.07
MAY22      ----      ----      ----      ----      -.10    UNCH                   -.10
JUN22      ----      ----      ----      ----      -.02    UNCH                   -.02
JLY22      ----      ----      ----      ----      -.04    UNCH                   -.04
AUG22      ----      ----      ----      ----      -.06    UNCH                   -.06
SEP22      ----      ----      ----      ----      -.07    UNCH                   -.07
OCT22      ----      ----      ----      ----      -.09    UNCH                   -.09
BH NY Harbor ULSD Bullet Futures
OCT17      ----      ----      ----      ----    1.7775  +.0090                 1.7685                      19
NOV17      ----      ----      ----      ----    1.7716  +.0077                 1.7639                      69
DEC17      ----      ----      ----      ----    1.7640  +.0068          50     1.7572                      19
JAN18      ----      ----      ----      ----    1.7576  +.0063                 1.7513                      18
FEB18      ----      ----      ----      ----    1.7450  +.0056                 1.7394                      18
MAR18      ----      ----      ----      ----    1.7281  +.0046                 1.7235                      18
APR18      ----      ----      ----      ----    1.7074  +.0047                 1.7027                      18
MAY18      ----      ----      ----      ----    1.6942  +.0051                 1.6891                      18
JUN18      ----      ----      ----      ----    1.6866  +.0055                 1.6811                      18
JLY18      ----      ----      ----      ----    1.6869  +.0060                 1.6809                      18
AUG18      ----      ----      ----      ----    1.6898  +.0063                 1.6835                      18
SEP18      ----      ----      ----      ----    1.6947  +.0062                 1.6885                      18
OCT18      ----      ----      ----      ----    1.6997  +.0056                 1.6941                      18
NOV18      ----      ----      ----      ----    1.7047  +.0050                 1.6997                      18
DEC18      ----      ----      ----      ----    1.7091  +.0050                 1.7041                      18
JAN19      ----      ----      ----      ----    1.7136  +.0047                 1.7089
FEB19      ----      ----      ----      ----    1.7121  +.0044                 1.7077
MAR19      ----      ----      ----      ----    1.7051  +.0040                 1.7011
APR19      ----      ----      ----      ----    1.6941  +.0035                 1.6906
MAY19      ----      ----      ----      ----    1.6896  +.0030                 1.6866
JUN19      ----      ----      ----      ----    1.6891  +.0025                 1.6866
JLY19      ----      ----      ----      ----    1.6916  +.0020                 1.6896
AUG19      ----      ----      ----      ----    1.6956  +.0015                 1.6941
SEP19      ----      ----      ----      ----    1.7021  +.0010                 1.7011
OCT19      ----      ----      ----      ----    1.7096  +.0010                 1.7086
NOV19      ----      ----      ----      ----    1.7161  +.0010                 1.7151
DEC19      ----      ----      ----      ----    1.7216  +.0005                 1.7211
TOTAL                                                            ACTUAL VOL                 VOLUME    OPEN INT
TOTAL                                                                    50                                323
BZ1 Brent Crude Oil TAM Singapore Future
NOV17      ----      ----      ----      ----     55.12    +.71                  54.41
DEC17      ----      ----      ----      ----     54.80    +.64                  54.16
JAN18      ----      ----      ----      ----     54.61    +.56                  54.05
BZ2 Brent Crude Oil TAM LONDON Future
NOV17      ----      ----      ----      ----     55.84    +.83                  55.01
DEC17      ----      ----      ----      ----     55.52    +.81                  54.71
JAN18      ----      ----      ----      ----     55.34    +.77                  54.57
BZL BZ TAM LONDON FUTURE
NOV17      ----      ----      ----      ----       .00    UNCH                    .00
DEC17      ----      ----      ----      ----       .00    UNCH                    .00
JAN18      ----      ----      ----      ----       .00    UNCH                    .00
BZS BZ TAM SINGAPORE FUTURE
NOV17      ----      ----      ----      ----       .00    UNCH                    .00
DEC17      ----      ----      ----      ----       .00    UNCH                    .00
JAN18      ----      ----      ----      ----       .00    UNCH                    .00
CAY CRUDE OIL CS1 SYNTHT
OCT17      ----      ----      ----      ----      -.46    -.01                   -.45
NOV17      ----      ----      ----      ----      -.31    +.04                   -.35
DEC17      ----      ----      ----      ----      -.23    +.02                   -.25
JAN18      ----      ----      ----      ----      -.17    +.01                   -.18
FEB18      ----      ----      ----      ----      -.11    +.02                   -.13
MAR18      ----      ----      ----      ----      -.06    +.02                   -.08
APR18      ----      ----      ----      ----      -.03    +.01                   -.04
MAY18      ----      ----      ----      ----      -.01    +.01                   -.02
JUN18      ----      ----      ----      ----       .01    +.01                    .00
JLY18      ----      ----      ----      ----       .01    +.02                   -.01
AUG18      ----      ----      ----      ----       .00    +.01                   -.01
SEP18      ----      ----      ----      ----       .00    +.01                   -.01
OCT18      ----      ----      ----      ----       .00    +.01                   -.01
NOV18      ----      ----      ----      ----       .00    +.02                   -.02
DEC18      ----      ----      ----      ----       .03    +.01                    .02
JAN19      ----      ----      ----      ----       .03    +.01                    .02
FEB19      ----      ----      ----      ----       .03    +.01                    .02
MAR19      ----      ----      ----      ----       .01    +.01                    .00
APR19      ----      ----      ----      ----       .02    +.02                    .00
MAY19      ----      ----      ----      ----       .00    +.01                   -.01
JUN19      ----      ----      ----      ----       .04    +.02                    .02
JLY19      ----      ----      ----      ----       .02    +.01                    .01
AUG19      ----      ----      ----      ----       .02    +.01                    .01
SEP19      ----      ----      ----      ----       .00    +.01                   -.01
OCT19      ----      ----      ----      ----      -.02    UNCH                   -.02
NOV19      ----      ----      ----      ----      -.02    +.01                   -.03
DEC19      ----      ----      ----      ----       .03    +.01                    .02
JAN20      ----      ----      ----      ----       .01    +.01                    .00
FEB20      ----      ----      ----      ----       .00    +.01                   -.01
MAR20      ----      ----      ----      ----       .00    UNCH                    .00
APR20      ----      ----      ----      ----       .00    +.01                   -.01
MAY20      ----      ----      ----      ----      -.02    +.01                   -.03
JUN20      ----      ----      ----      ----       .02    +.01                    .01
JLY20      ----      ----      ----      ----      -.01    UNCH                   -.01
AUG20      ----      ----      ----      ----      -.02    UNCH                   -.02
SEP20      ----      ----      ----      ----      -.02    +.01                   -.03
OCT20      ----      ----      ----      ----      -.05    UNCH                   -.05
NOV20      ----      ----      ----      ----      -.07    UNCH                   -.07
DEC20      ----      ----      ----      ----       .01    +.01                    .00
JAN21      ----      ----      ----      ----      -.01    +.01                   -.02
FEB21      ----      ----      ----      ----      -.01    +.01                   -.02
MAR21      ----      ----      ----      ----      -.02    +.01                   -.03
APR21      ----      ----      ----      ----      -.04    +.01                   -.05
MAY21      ----      ----      ----      ----      -.07    +.01                   -.08
JUN21      ----      ----      ----      ----       .00    UNCH                    .00
JLY21      ----      ----      ----      ----      -.02    UNCH                   -.02
AUG21      ----      ----      ----      ----      -.04    +.01                   -.05
SEP21      ----      ----      ----      ----      -.06    UNCH                   -.06
OCT21      ----      ----      ----      ----      -.08    UNCH                   -.08
NOV21      ----      ----      ----      ----      -.10    +.01                   -.11
DEC21      ----      ----      ----      ----      -.01    UNCH                   -.01
JAN22      ----      ----      ----      ----      -.03    UNCH                   -.03
FEB22      ----      ----      ----      ----      -.04    UNCH                   -.04
MAR22      ----      ----      ----      ----      -.06    UNCH                   -.06
APR22      ----      ----      ----      ----      -.07    UNCH                   -.07
MAY22      ----      ----      ----      ----      -.10    UNCH                   -.10
JUN22      ----      ----      ----      ----      -.02    UNCH                   -.02
JLY22      ----      ----      ----      ----      -.04    UNCH                   -.04
AUG22      ----      ----      ----      ----      -.06    UNCH                   -.06
SEP22      ----      ----      ----      ----      -.07    UNCH                   -.07
OCT22      ----      ----      ----      ----      -.09    UNCH                   -.09
NOV22      ----      ----      ----      ----      -.11    UNCH                   -.11
CL Light Sweet Crude Oil Futures
OCT17     49.31     50.50     49.15     49.72     49.89    +.59      709035      49.30      706925      243183
NOV17     49.76     50.88     49.57     50.18     50.35    +.60      463265      49.75      346440      473285
DEC17     50.08     51.15     49.90     50.50     50.66    +.56      209688      50.10      176401      343915
JAN18     50.32     51.32     50.12     50.75B    50.89    +.54       97619      50.35       81864      201254
FEB18     50.39     51.42     50.30     50.94A    51.06    +.53       56935      50.53       39002       76050
MAR18     50.52     51.48B    50.40     51.05B    51.17    +.51       77156      50.66       47911      151927
APR18     50.52     51.51     50.46     51.03     51.23    +.49       20453      50.74       16767       45753
MAY18     50.60     51.50     50.53     51.06     51.26    +.48       12906      50.78        8598       45978
JUN18     50.91     51.49B    50.52     51.12A    51.27    +.47       66267      50.80       44963      172573
JLY18     50.62     51.42     50.56A    51.06     51.26    +.46        5193      50.80        5178       36823
AUG18     50.68     51.41     50.56     51.11B    51.25    +.44        3421      50.81        8394       26056
SEP18     50.68     51.38B    50.58A    51.06B    51.25    +.43       10856      50.82        8712       59092
OCT18     51.00     51.01B    51.00     51.01B    51.25    +.42        3149      50.83        4173       26409
NOV18     51.00     51.27     51.00     51.26     51.25    +.41        5611      50.84        3963       28571
DEC18     50.67     51.47     50.60     51.09B    51.25    +.39       78687      50.86       47886      211532
JAN19     51.24     51.24     51.23     51.24     51.22    +.38        1382      50.84        1612       25389
FEB19      ----      ----      ----      ----     51.19    +.37        1843      50.82        2631       10473
MAR19      ----      ----      ----      ----     51.16    +.36        4251      50.80        3398       21675
APR19      ----      ----      ----      ----     51.15    +.35        1576      50.80         401        6684
MAY19      ----      ----      ----      ----     51.13    +.33        1734      50.80         361        9571
JUN19     50.63     51.31     50.60A    50.93     51.13    +.32        6087      50.81        3212       40015
JLY19      ----      ----      ----      ----     51.09    +.30          60      50.79         112        5752
AUG19      ----      ----      ----      ----     51.07    +.29          94      50.78         106        1344
SEP19      ----      ----      ----      ----     51.05    +.28         132      50.77         106        7097
OCT19      ----      ----      ----      ----     51.05    +.27         132      50.78         104        2688
NOV19      ----      ----      ----      ----     51.07    +.27         258      50.80         204        2310
DEC19     50.60     51.25     50.58     50.91     51.09    +.26       10850      50.83        7570       52535
JAN20      ----      ----      ----      ----     51.06    +.25          77      50.81         200        2064
FEB20      ----      ----      ----      ----     51.05    +.24                  50.81         100        1225
MAR20      ----      ----      ----      ----     51.05    +.23                  50.82         100        1926
APR20      ----      ----      ----      ----     51.05    +.23                  50.82         100         510
MAY20      ----      ----      ----      ----     51.05    +.22                  50.83         100         153
JUN20     51.01     51.14     51.01     51.06     51.07    +.21         395      50.86         126        5077
JLY20      ----      ----      ----      ----     51.05    +.20                  50.85         100         263
AUG20      ----      ----      ----      ----     51.06    +.20                  50.86         100         520
SEP20      ----      ----      ----      ----     51.08    +.20                  50.88         100        1499
OCT20      ----      ----      ----      ----     51.10    +.19                  50.91         100         112
NOV20      ----      ----      ----      ----     51.15    +.19                  50.96         100         154
DEC20     50.89     51.36     50.80A    51.02A    51.22    +.19        1296      51.03        1192       25349
JAN21      ----      ----      ----      ----     51.21    +.18                  51.03
FEB21      ----      ----      ----      ----     51.22    +.17                  51.05
MAR21      ----      ----      ----      ----     51.23    +.16                  51.07
APR21      ----      ----      ----      ----     51.25    +.15                  51.10
MAY21      ----      ----      ----      ----     51.29    +.14                  51.15
JUN21      ----      ----      ----      ----     51.36    +.13                  51.23                     400
JLY21      ----      ----      ----      ----     51.36    +.13                  51.23
AUG21      ----      ----      ----      ----     51.38    +.13                  51.25
SEP21      ----      ----      ----      ----     51.42    +.12                  51.30
OCT21      ----      ----      ----      ----     51.48    +.12                  51.36                       1
NOV21      ----      ----      ----      ----     51.56    +.12                  51.44
DEC21      ----      ----      ----      ----     51.66    +.11         299      51.55         264        6449
JAN22      ----      ----      ----      ----     51.67    +.11                  51.56
FEB22      ----      ----      ----      ----     51.70    +.11                  51.59
MAR22      ----      ----      ----      ----     51.74    +.11                  51.63
APR22      ----      ----      ----      ----     51.80    +.11                  51.69
MAY22      ----      ----      ----      ----     51.87    +.11                  51.76
JUN22      ----      ----      ----      ----     51.97    +.11                  51.86
JLY22      ----      ----      ----      ----     51.99    +.11                  51.88
AUG22      ----      ----      ----      ----     52.03    +.11                  51.92
SEP22      ----      ----      ----      ----     52.09    +.11                  51.98
OCT22      ----      ----      ----      ----     52.16    +.11                  52.05
NOV22      ----      ----      ----      ----     52.25    +.11                  52.14
DEC22     52.50     52.50     52.50     52.50     52.36    +.11          22      52.25           9         550
JUN23      ----      ----      ----      ----     52.79    +.07                  52.72
DEC23      ----      ----      ----      ----     53.27    +.04                  53.23           1         146
JUN24      ----      ----      ----      ----     53.72    +.04                  53.68
DEC24      ----      ----      ----      ----     54.19    +.04                  54.15                       7
JUN25      ----      ----      ----      ----     54.54    +.04                  54.50
DEC25      ----      ----      ----      ----     54.89    +.04                  54.85                      11
TOTAL                                                            ACTUAL VOL                 VOLUME    OPEN INT
TOTAL                                                               1850729                1569686     2374350
CL1 WTI Crude Oil TAM Singapore Future
OCT17      ----      ----      ----      ----     49.35   +1.03                  48.32
NOV17      ----      ----      ----      ----     49.77    +.95                  48.82
DEC17      ----      ----      ----      ----     50.09    +.86                  49.23
CL2 WTI Crude Oil TAM LONDON Future
OCT17      ----      ----      ----      ----     50.26   +1.21                  49.05
NOV17      ----      ----      ----      ----     50.66   +1.17                  49.49
DEC17      ----      ----      ----      ----     50.94   +1.11                  49.83
CLL CRUDE OIL TAM LONDON FUTURE
OCT17      ----      ----      ----      ----       .00    UNCH                    .00
NOV17      ----      ----      ----      ----       .00    UNCH                    .00
DEC17      ----      ----      ----      ----       .00    UNCH                    .00
CLS CRUDE OIL TAM SINGAPORE FUTURE
OCT17      ----      ----      ----      ----       .00    UNCH                    .00
NOV17      ----      ----      ----      ----       .00    UNCH                    .00
DEC17      ----      ----      ----      ----       .00    UNCH                    .00
CLT CRUDE OIL TAS FUTURES
OCT17       .00       .01       .00       .00       .00    UNCH                    .00
NOV17       .00       .01      -.01       .00       .00    UNCH                    .00
