W Wheat Futures
DEC16     420'4     422'2     413'0     420'2     420'2     +'2       59981      420'0       60252      284442
MAR17     440'2     442'4     433'0     441'4     440'6     +'6       22713      440'0       22212      104419
MAY17     453'6     456'0     447'2     455'4     455'2    +1'2        5264      454'0        5751       25619
JLY17     465'4     467'2     458'4     466'2     467'0    +1'4        3391      465'4        3939       44814
SEP17     479'6     481'4B    473'4A    481'0     481'0    +1'2         971      479'6         867        5512
DEC17     496'4     498'4     490'6     497'4     497'4    +1'0         761      496'4         868        9461
MAR18      ----      ----     506'6A    509'4B    510'4     +'4          13      510'0          16        2214
3900       ----      ----      ----      ----      77'5    +1'3                   76'2
3950       ----      ----      ----      ----      73'0    +1'3                   71'5
4000       ----      ----      ----      ----      68'4    +1'3                   67'1
4050       ----      ----      ----      ----      64'1    +1'3                   62'6
4100       ----      ----      ----      ----      60'0    +1'3                   58'5
4150       ----      ----      ----      ----      55'7    +1'2                   54'5
4200       ----      ----      ----      ----      52'0    +1'2                   50'6
4250       ----      ----      ----      ----      48'2    +1'1                   47'1
4300       ----      ----      ----      ----      44'5    +1'0                   43'5
4350       ----      ----      ----      ----      41'2    +1'0                   40'2
4400       ----      ----      ----      ----      38'0     +'7                   37'1
4450       ----      ----      ----      ----      35'1     +'7                   34'2
4500       ----      ----      ----      ----      32'3     +'7                   31'4
4550       ----      ----      ----      ----      29'6     +'7                   28'7
4600       ----      ----      ----      ----      27'3     +'7                   26'4
4650       ----      ----      ----      ----      25'0     +'5                   24'3
4700       ----      ----      ----      ----      23'0     +'6                   22'2
4750       ----      ----      ----      ----      21'0     +'5                   20'3
4800       ----      ----      ----      ----      19'1     +'4                   18'5
4850       ----      ----      ----      ----      17'4     +'4                   17'0
4900       ----      ----      ----      ----      16'0     +'4                   15'4
4950       ----      ----      ----      ----      14'4     +'3                   14'1
5000       ----      ----      ----      ----      13'2     +'3                   12'7
5050       ----      ----      ----      ----      12'1     +'3                   11'6
5100       ----      ----      ----      ----      11'0     +'2                   10'6
5150       ----      ----      ----      ----      10'0     +'2                    9'6
5200       ----      ----      ----      ----       9'1     +'2                    8'7
5250       ----      ----      ----      ----       8'3     +'2                    8'1
5300       ----      ----      ----      ----       7'5     +'1                    7'4
5350       ----      ----      ----      ----       7'0     +'1                    6'7
5400       ----      ----      ----      ----       6'4     +'1                    6'3
5450       ----      ----      ----      ----       6'0     +'1                    5'7
5500       ----      ----      ----      ----       5'4     +'1                    5'3
5550       ----      ----      ----      ----       5'1     +'1                    5'0
5600       ----      ----      ----      ----       4'6     +'1                    4'5
5650       ----      ----      ----      ----       4'3     +'1                    4'2
5700       ----      ----      ----      ----       4'1     +'1                    4'0
5750       ----      ----      ----      ----       3'7     +'1                    3'6
5800       ----      ----      ----      ----       3'5     +'1                    3'4
5850       ----      ----      ----      ----       3'3     +'1                    3'2
5900       ----      ----      ----      ----       3'1    UNCH                    3'1
5950       ----      ----      ----      ----       3'0    UNCH                    3'0
6000       ----      ----      ----      ----       2'7     +'1                    2'6
6050       ----      ----      ----      ----       2'6     +'1                    2'5
6100       ----      ----      ----      ----       2'4    UNCH                    2'4
6150       ----      ----      ----      ----       2'3    UNCH                    2'3
6200       ----      ----      ----      ----       2'2    UNCH                    2'2
6250       ----      ----      ----      ----       2'1    UNCH                    2'1
6300       ----      ----      ----      ----       2'0    UNCH                    2'0
6350       ----      ----      ----      ----       1'7    UNCH                    1'7
6400       ----      ----      ----      ----       1'6    UNCH                    1'6
6450       ----      ----      ----      ----       1'6     +'1                    1'5
6500       ----      ----      ----      ----       1'5     +'1                    1'4
6550       ----      ----      ----      ----       1'4    UNCH                    1'4
6600       ----      ----      ----      ----       1'4     +'1                    1'3
6650       ----      ----      ----      ----       1'3    UNCH                    1'3
6700       ----      ----      ----      ----       1'2    UNCH                    1'2
6750       ----      ----      ----      ----       1'2     +'1                    1'1
