                PRELIMINARY PRICES AS OF 05/15/19 03:16 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
MAY19      ----      ----      ----      ----    -.0025  +.0050                 -.0075
JUN19      ----      ----      ----      ----    -.0100    UNCH                 -.0100
JLY19      ----      ----      ----      ----    -.0100    UNCH                 -.0100
AUG19      ----      ----      ----      ----    -.0075    UNCH                 -.0075
SEP19      ----      ----      ----      ----    -.0025    UNCH                 -.0025
OCT19      ----      ----      ----      ----    -.0025    UNCH                 -.0025
NOV19      ----      ----      ----      ----    -.0025    UNCH                 -.0025
DEC19      ----      ----      ----      ----    -.0025    UNCH                 -.0025
JAN20      ----      ----      ----      ----    -.0100    UNCH                 -.0100
FEB20      ----      ----      ----      ----    -.0100    UNCH                 -.0100
2CE Chicago Ethanol (Platts) Calendar Spread Option -
MAY19      ----      ----      ----      ----    -.0125  +.0050                 -.0175
JUN19      ----      ----      ----      ----    -.0200    UNCH                 -.0200
JLY19      ----      ----      ----      ----    -.0175    UNCH                 -.0175
AUG19      ----      ----      ----      ----    -.0100    UNCH                 -.0100
SEP19      ----      ----      ----      ----    -.0050    UNCH                 -.0050
OCT19      ----      ----      ----      ----    -.0050    UNCH                 -.0050
NOV19      ----      ----      ----      ----    -.0050    UNCH                 -.0050
DEC19      ----      ----      ----      ----    -.0125    UNCH                 -.0125
JAN20      ----      ----      ----      ----    -.0200    UNCH                 -.0200
2RB RBOB TAM SYNTHETIC LONDON FUTURE
JUN19      ----      ----      ----      ----    2.0205  +.0391                 1.9814
JLY19      ----      ----      ----      ----    1.9899  +.0352                 1.9547
AUG19      ----      ----      ----      ----    1.9591  +.0324                 1.9267
3A WTI OIL CS12SYNTHT
JUN19      ----      ----      ----      ----      1.96    -.19                   2.15
JLY19      ----      ----      ----      ----      2.57    -.13                   2.70
AUG19      ----      ----      ----      ----      3.08    -.09                   3.17
SEP19      ----      ----      ----      ----      3.49    -.04                   3.53
OCT19      ----      ----      ----      ----      3.77    UNCH                   3.77
NOV19      ----      ----      ----      ----      3.91    +.04                   3.87
DEC19      ----      ----      ----      ----      3.97    +.08                   3.89
JAN20      ----      ----      ----      ----      4.04    +.11                   3.93
FEB20      ----      ----      ----      ----      4.05    +.14                   3.91
MAR20      ----      ----      ----      ----      3.99    +.15                   3.84
APR20      ----      ----      ----      ----      3.88    +.14                   3.74
MAY20      ----      ----      ----      ----      3.74    +.12                   3.62
JUN20      ----      ----      ----      ----      3.60    +.11                   3.49
JLY20      ----      ----      ----      ----      3.45    +.09                   3.36
SEP20      ----      ----      ----      ----      3.18    +.08                   3.10
DEC20      ----      ----      ----      ----      2.82    +.06                   2.76
MAR21      ----      ----      ----      ----      2.40    +.05                   2.35
JUN21      ----      ----      ----      ----      2.15    +.05                   2.10
SEP21      ----      ----      ----      ----      1.79    +.03                   1.76
DEC21      ----      ----      ----      ----      1.50    +.06                   1.44
MAR22      ----      ----      ----      ----      1.24    +.04                   1.20
JUN22      ----      ----      ----      ----       .93    +.06                    .87
3CE Chicago Ethanol (Platts) Calendar Spread Option -
MAY19      ----      ----      ----      ----    -.0225  +.0050                 -.0275
JUN19      ----      ----      ----      ----    -.0275    UNCH                 -.0275
JLY19      ----      ----      ----      ----    -.0200    UNCH                 -.0200
AUG19      ----      ----      ----      ----    -.0125    UNCH                 -.0125
SEP19      ----      ----      ----      ----    -.0075    UNCH                 -.0075
OCT19      ----      ----      ----      ----    -.0075    UNCH                 -.0075
NOV19      ----      ----      ----      ----    -.0150    UNCH                 -.0150
DEC19      ----      ----      ----      ----    -.0225    UNCH                 -.0225
4A WTI OIL CS6 SYNTHT
JUN19      ----      ----      ----      ----      -.06    -.19                    .13
JLY19      ----      ----      ----      ----       .42    -.17                    .59
AUG19      ----      ----      ----      ----       .88    -.16                   1.04
SEP19      ----      ----      ----      ----      1.29    -.12                   1.41
OCT19      ----      ----      ----      ----      1.62    -.08                   1.70
NOV19      ----      ----      ----      ----      1.87    -.03                   1.90
DEC19      ----      ----      ----      ----      2.02    UNCH                   2.02
JAN20      ----      ----      ----      ----      2.15    +.04                   2.11
FEB20      ----      ----      ----      ----      2.20    +.07                   2.13
MAR20      ----      ----      ----      ----      2.20    +.08                   2.12
APR20      ----      ----      ----      ----      2.15    +.08                   2.07
MAY20      ----      ----      ----      ----      2.04    +.07                   1.97
JUN20      ----      ----      ----      ----      1.95    +.08                   1.87
JLY20      ----      ----      ----      ----      1.89    +.07                   1.82
DEC20      ----      ----      ----      ----      1.65    +.03                   1.62
JUN21      ----      ----      ----      ----      1.17    +.03                   1.14
DEC21      ----      ----      ----      ----       .98    +.02                    .96
JUN22      ----      ----      ----      ----       .52    +.04                    .48
4RB RBOB 3:15 2 MINUTE TAM SYNTHETIC LONDON FUTURE
JUN19      ----      ----      ----      ----    2.0207  +.0450                 1.9757
5A WTI OIL CS3 SYNTHT
JUN19      ----      ----      ----      ----      -.43    -.11                   -.32
JLY19      ----      ----      ----      ----      -.17    -.10                   -.07
AUG19      ----      ----      ----      ----       .11    -.10                    .21
SEP19      ----      ----      ----      ----       .37    -.08                    .45
OCT19      ----      ----      ----      ----       .59    -.07                    .66
NOV19      ----      ----      ----      ----       .77    -.06                    .83
DEC19      ----      ----      ----      ----       .92    -.04                    .96
JAN20      ----      ----      ----      ----      1.03    -.01                   1.04
FEB20      ----      ----      ----      ----      1.10    +.03                   1.07
MAR20      ----      ----      ----      ----      1.10    +.04                   1.06
APR20      ----      ----      ----      ----      1.12    +.05                   1.07
MAY20      ----      ----      ----      ----      1.10    +.04                   1.06
JUN20      ----      ----      ----      ----      1.10    +.04                   1.06
6A WTI OIL CS2 SYNTHT
JUN19      ----      ----      ----      ----      -.37    -.07                   -.30
JLY19      ----      ----      ----      ----      -.21    -.07                   -.14
AUG19      ----      ----      ----      ----      -.02    -.07                    .05
SEP19      ----      ----      ----      ----       .17    -.06                    .23
OCT19      ----      ----      ----      ----       .33    -.05                    .38
NOV19      ----      ----      ----      ----       .46    -.04                    .50
DEC19      ----      ----      ----      ----       .57    -.04                    .61
JAN20      ----      ----      ----      ----       .66    -.02                    .68
FEB20      ----      ----      ----      ----       .72    +.01                    .71
MAR20      ----      ----      ----      ----       .75    +.03                    .72
APR20      ----      ----      ----      ----       .73    +.03                    .70
MAY20      ----      ----      ----      ----       .74    +.03                    .71
JUN20      ----      ----      ----      ----       .75    +.03                    .72
6CE Chicago Ethanol (Platts) Calendar Spread Option -
MAY19      ----      ----      ----      ----    -.0350  +.0050                 -.0400
JUN19      ----      ----      ----      ----    -.0350    UNCH                 -.0350
