                PRELIMINARY PRICES AS OF 01/22/19 09:30 AM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
APR19      ----      ----      ----      ----      ----    UNCH                 -.0325
MAY19      ----      ----      ----      ----      ----    UNCH                 -.0150
JUN19      ----      ----      ----      ----      ----    UNCH                 -.0050
6T In Delivery Month European Union Allowance (EUA) F
DEC19      ----      ----      ----      ----      ----    UNCH                24.8600
DEC20      ----      ----      ----      ----      ----    UNCH                25.3300
A2 WTI OIL CS1 SYNTHT
MAR19      ----      ----      ----      ----      ----    UNCH                   -.26
APR19      ----      ----      ----      ----      ----    UNCH                   -.34
MAY19      ----      ----      ----      ----      ----    UNCH                   -.35
JUN19      ----      ----      ----      ----      ----    UNCH                   -.28
JLY19      ----      ----      ----      ----      ----    UNCH                   -.16
AUG19      ----      ----      ----      ----      ----    UNCH                   -.08
SEP19      ----      ----      ----      ----      ----    UNCH                   -.02
OCT19      ----      ----      ----      ----      ----    UNCH                    .02
NOV19      ----      ----      ----      ----      ----    UNCH                    .06
DEC19      ----      ----      ----      ----      ----    UNCH                    .08
JAN20      ----      ----      ----      ----      ----    UNCH                    .07
FEB20      ----      ----      ----      ----      ----    UNCH                    .06
MAR20      ----      ----      ----      ----      ----    UNCH                    .07
APR20      ----      ----      ----      ----      ----    UNCH                    .06
MAY20      ----      ----      ----      ----      ----    UNCH                    .07
JUN20      ----      ----      ----      ----      ----    UNCH                    .11
JLY20      ----      ----      ----      ----      ----    UNCH                    .09
AUG20      ----      ----      ----      ----      ----    UNCH                    .07
SEP20      ----      ----      ----      ----      ----    UNCH                    .07
OCT20      ----      ----      ----      ----      ----    UNCH                    .05
NOV20      ----      ----      ----      ----      ----    UNCH                    .03
DEC20      ----      ----      ----      ----      ----    UNCH                    .10
JAN21      ----      ----      ----      ----      ----    UNCH                    .12
FEB21      ----      ----      ----      ----      ----    UNCH                    .09
MAR21      ----      ----      ----      ----      ----    UNCH                    .10
APR21      ----      ----      ----      ----      ----    UNCH                    .06
MAY21      ----      ----      ----      ----      ----    UNCH                    .05
JUN21      ----      ----      ----      ----      ----    UNCH                    .08
JLY21      ----      ----      ----      ----      ----    UNCH                    .03
AUG21      ----      ----      ----      ----      ----    UNCH                    .04
SEP21      ----      ----      ----      ----      ----    UNCH                    .06
OCT21      ----      ----      ----      ----      ----    UNCH                    .03
NOV21      ----      ----      ----      ----      ----    UNCH                    .04
DEC21      ----      ----      ----      ----      ----    UNCH                    .09
JAN22      ----      ----      ----      ----      ----    UNCH                    .04
FEB22      ----      ----      ----      ----      ----    UNCH                    .07
MAR22      ----      ----      ----      ----      ----    UNCH                    .05
APR22      ----      ----      ----      ----      ----    UNCH                    .08
MAY22      ----      ----      ----      ----      ----    UNCH                    .00
JUN22      ----      ----      ----      ----      ----    UNCH                    .05
JLY22      ----      ----      ----      ----      ----    UNCH                    .01
AUG22      ----      ----      ----      ----      ----    UNCH                    .01
SEP22      ----      ----      ----      ----      ----    UNCH                    .00
OCT22      ----      ----      ----      ----      ----    UNCH                    .02
NOV22      ----      ----      ----      ----      ----    UNCH                    .01
DEC22      ----      ----      ----      ----      ----    UNCH                    .04
JAN23      ----      ----      ----      ----      ----    UNCH                    .03
FEB23      ----      ----      ----      ----      ----    UNCH                    .02
MAR23      ----      ----      ----      ----      ----    UNCH                    .01
APR23      ----      ----      ----      ----      ----    UNCH                    .02
MAY23      ----      ----      ----      ----      ----    UNCH                    .00
JUN23      ----      ----      ----      ----      ----    UNCH                    .02
JLY23      ----      ----      ----      ----      ----    UNCH                    .00
AUG23      ----      ----      ----      ----      ----    UNCH                    .01
SEP23      ----      ----      ----      ----      ----    UNCH                   -.02
OCT23      ----      ----      ----      ----      ----    UNCH                    .01
NOV23      ----      ----      ----      ----      ----    UNCH                   -.02
DEC23      ----      ----      ----      ----      ----    UNCH                    .00
JAN24      ----      ----      ----      ----      ----    UNCH                    .01
FEB24      ----      ----      ----      ----      ----    UNCH                    .07
MAR24      ----      ----      ----      ----      ----    UNCH                    .01
APR24      ----      ----      ----      ----      ----    UNCH                   -.01
MAY24      ----      ----      ----      ----      ----    UNCH                   -.02
JUN24      ----      ----      ----      ----      ----    UNCH                   -.01
JLY24      ----      ----      ----      ----      ----    UNCH                    .01
AUG24      ----      ----      ----      ----      ----    UNCH                    .02
SEP24      ----      ----      ----      ----      ----    UNCH                    .00
OCT24      ----      ----      ----      ----      ----    UNCH                   -.04
NOV24      ----      ----      ----      ----      ----    UNCH                   -.04
BH NY Harbor ULSD Bullet Futures
FEB19      ----      ----      ----      ----      ----    UNCH                 1.9160                      13
MAR19      ----      ----      ----      ----      ----    UNCH                 1.9085                      13
APR19      ----      ----      ----      ----      ----    UNCH                 1.8938                      13
MAY19      ----      ----      ----      ----      ----    UNCH                 1.8889                      13
JUN19      ----      ----      ----      ----      ----    UNCH                 1.8915                      13
JLY19      ----      ----      ----      ----      ----    UNCH                 1.8990                      13
AUG19      ----      ----      ----      ----      ----    UNCH                 1.9067                      13
SEP19      ----      ----      ----      ----      ----    UNCH                 1.9155                      13
OCT19      ----      ----      ----      ----      ----    UNCH                 1.9244                      13
NOV19      ----      ----      ----      ----      ----    UNCH                 1.9327                      13
DEC19      ----      ----      ----      ----      ----    UNCH                 1.9397                      13
JAN20      ----      ----      ----      ----      ----    UNCH                 1.9460                       2
FEB20      ----      ----      ----      ----      ----    UNCH                 1.9462                       2
MAR20      ----      ----      ----      ----      ----    UNCH                 1.9423                       2
APR20      ----      ----      ----      ----      ----    UNCH                 1.9330                       2
MAY20      ----      ----      ----      ----      ----    UNCH                 1.9306                       2
JUN20      ----      ----      ----      ----      ----    UNCH                 1.9303                       2
JLY20      ----      ----      ----      ----      ----    UNCH                 1.9325                       2
AUG20      ----      ----      ----      ----      ----    UNCH                 1.9341                       2
SEP20      ----      ----      ----      ----      ----    UNCH                 1.9361                       2
OCT20      ----      ----      ----      ----      ----    UNCH                 1.9384                       2
NOV20      ----      ----      ----      ----      ----    UNCH                 1.9395                       2
DEC20      ----      ----      ----      ----      ----    UNCH                 1.9382                       2
JAN21      ----      ----      ----      ----      ----    UNCH                 1.9399
FEB21      ----      ----      ----      ----      ----    UNCH                 1.9383
MAR21      ----      ----      ----      ----      ----    UNCH                 1.9347
APR21      ----      ----      ----      ----      ----    UNCH                 1.9294
MAY21      ----      ----      ----      ----      ----    UNCH                 1.9311
JUN21      ----      ----      ----      ----      ----    UNCH                 1.9369
JLY21      ----      ----      ----      ----      ----    UNCH                 1.9428
AUG21      ----      ----      ----      ----      ----    UNCH                 1.9449
SEP21      ----      ----      ----      ----      ----    UNCH                 1.9449
OCT21      ----      ----      ----      ----      ----    UNCH                 1.9439
NOV21      ----      ----      ----      ----      ----    UNCH                 1.9414
DEC21      ----      ----      ----      ----      ----    UNCH                 1.9388
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                                                      167
BZ1 Brent Crude Oil TAM Singapore Future
MAR19      ----      ----      ----      ----     62.08    +.51                  61.57
APR19      ----      ----      ----      ----     61.91    +.40                  61.51
MAY19      ----      ----      ----      ----     62.01    +.39                  61.62
BZ2 Brent Crude Oil TAM LONDON Future
MAR19      ----      ----      ----      ----      ----    UNCH                  62.58
APR19      ----      ----      ----      ----      ----    UNCH                  62.44
MAY19      ----      ----      ----      ----      ----    UNCH                  62.53
BZL BZ TAM LONDON FUTURE
MAR19      ----      ----      ----      ----      ----    UNCH                    .00
APR19      ----      ----      ----      ----      ----    UNCH                    .00
MAY19      ----      ----      ----      ----      ----    UNCH                    .00
