W Wheat Futures
DEC16     384'2     391'4     380'0     380'0     380'4    -3'4        4908      384'0       40687        5490
MAR17     408'6     414'0     402'2     405'0     402'6    -6'0       71479      408'6       95009      277225
MAY17     423'0     427'2     415'0     415'2     415'4    -6'6       18018      422'2       15711       61924
JLY17     438'4     443'0     430'4     430'6     431'2    -6'4       11967      437'6       11582       64064
SEP17     453'4     457'6     446'6     446'6     447'2    -5'6        3641      453'0        1580       10857
DEC17     471'6     475'6     465'0     465'6     465'4    -5'6        2208      471'2        1985       20122
MAR18     484'0     486'2     478'6     478'6     478'4    -4'6         409      483'2         242        3348
MAY18     500'0     500'0     494'0A    494'0A    488'0    -4'0          61      492'0         153         334
JLY18     502'2     502'2     500'0     500'0     497'2    -5'0         134      502'2         232         382
SEP18     520'0     520'0     520'0     520'0     513'0    -4'6          48      517'6         124         266
DEC18     536'0     536'0     535'0     535'0     533'6    -1'4          67      535'2          78         280
MAR19     555'0     555'0     549'0     549'0     547'6    -8'4          20      556'2          27          48
MAY19      ----      ----      ----      ----     547'6    -8'4                  556'2
3850       ----      ----      ----      ----       1'7     +'3                    1'4
3900       ----      ----      ----      ----       2'5     +'5                    2'0
3950       ----      ----      ----      ----       3'5     +'7                    2'6
4000       ----      ----      ----      ----       4'6    +1'1                    3'5
4050       ----      ----      ----      ----       6'1    +1'3                    4'6
4100       ----      ----      ----      ----       7'5    +1'4                    6'1
4150       ----      ----      ----      ----       9'4    +1'7                    7'5
4200       ----      ----      ----      ----      11'4    +2'1                    9'3
4250       ----      ----      ----      ----      13'6    +2'3                   11'3
4300       ----      ----      ----      ----      16'2    +2'6                   13'4
4350       ----      ----      ----      ----      19'1    +3'1                   16'0
4400       ----      ----      ----      ----      22'1    +3'3                   18'6
4450       ----      ----      ----      ----      25'3    +3'6                   21'5
4500       ----      ----      ----      ----      28'7    +4'0                   24'7
4550       ----      ----      ----      ----      32'4    +4'2                   28'2
4600       ----      ----      ----      ----      36'2    +4'3                   31'7
4650       ----      ----      ----      ----      40'1    +4'4                   35'5
4700       ----      ----      ----      ----      44'2    +4'7                   39'3
4750       ----      ----      ----      ----      48'3    +5'0                   43'3
4800       ----      ----      ----      ----      52'6    +5'2                   47'4
4850       ----      ----      ----      ----      57'1    +5'3                   51'6
4900       ----      ----      ----      ----      61'5    +5'4                   56'1
4950       ----      ----      ----      ----      66'1    +5'5                   60'4
5000       ----      ----      ----      ----      70'6    +5'6                   65'0
5050       ----      ----      ----      ----      75'4    +5'7                   69'5
5100       ----      ----      ----      ----      80'2    +6'0                   74'2
5150       ----      ----      ----      ----      85'0    +6'1                   78'7
5200       ----      ----      ----      ----      89'6    +6'1                   83'5
5250       ----      ----      ----      ----      94'5    +6'2                   88'3
5300       ----      ----      ----      ----      99'4    +6'3                   93'1                      50
5350       ----      ----      ----      ----     104'3    +6'3                   98'0
5400       ----      ----      ----      ----     109'2    +6'3                  102'7                      26
5450       ----      ----      ----      ----     114'1    +6'3                  107'6
5500       ----      ----      ----      ----     119'0    +6'2                  112'6
5550       ----      ----      ----      ----     124'0    +6'3                  117'5
5600       ----      ----      ----      ----     129'0    +6'4                  122'4
5650       ----      ----      ----      ----     133'7    +6'3                  127'4
5700       ----      ----      ----      ----     138'7    +6'3                  132'4
5750       ----      ----      ----      ----     143'7    +6'4                  137'3
5800       ----      ----      ----      ----     148'7    +6'4                  142'3
5850       ----      ----      ----      ----     153'6    +6'3                  147'3
5900       ----      ----      ----      ----     158'6    +6'3                  152'3
5950       ----      ----      ----      ----     163'6    +6'3                  157'3
6000       ----      ----      ----      ----     168'6    +6'4                  162'2
6050       ----      ----      ----      ----     173'6    +6'4                  167'2
6100       ----      ----      ----      ----     178'6    +6'4                  172'2
6150       ----      ----      ----      ----     183'6    +6'4                  177'2
6200       ----      ----      ----      ----     188'6    +6'4                  182'2
6250       ----      ----      ----      ----     193'6    +6'4                  187'2
6300       ----      ----      ----      ----     198'6    +6'4                  192'2
6350       ----      ----      ----      ----     203'6    +6'4                  197'2
6400       ----      ----      ----      ----     208'6    +6'4                  202'2
6450       ----      ----      ----      ----     213'6    +6'4                  207'2
6500       ----      ----      ----      ----     218'6    +6'4                  212'2
6550       ----      ----      ----      ----     223'6    +6'4                  217'2
6600       ----      ----      ----      ----     228'6    +6'4                  222'2
6650       ----      ----      ----      ----     233'6    +6'4                  227'2
6700       ----      ----      ----      ----     238'6    +6'4                  232'2
6750       ----      ----      ----      ----     243'6    +6'4                  237'2
6800       ----      ----      ----      ----     248'6    +6'4                  242'2
6850       ----      ----      ----      ----     253'6    +6'4                  247'2
6900       ----      ----      ----      ----     258'6    +6'4                  252'2
6950       ----      ----      ----      ----     263'6    +6'4                  257'2
7000       ----      ----      ----      ----     268'6    +6'4                  262'2
7050       ----      ----      ----      ----     273'6    +6'4                  267'2
7100       ----      ----      ----      ----     278'6    +6'4                  272'2
7150       ----      ----      ----      ----     283'6    +6'4                  277'2
7200       ----      ----      ----      ----     288'6    +6'4                  282'2
7250       ----      ----      ----      ----     293'6    +6'4                  287'2
7300       ----      ----      ----      ----     298'6    +6'4                  292'2

WZ JAN17 Wheat Options CALL
3100       ----     101'6B     93'7A     ----      92'7    -6'0                   98'7
3150       ----      96'6B     88'7A     ----      87'7    -6'0                   93'7
3200       ----      91'6B     83'7A     ----      82'7    -6'0                   88'7
3250       ----      86'6B     78'7A     ----      77'7    -6'0                   83'7
3300       ----      81'6B     73'7A     ----      72'7    -6'0                   78'7
3350       ----      76'6B     68'7A     ----      67'7    -6'0                   73'7
3400       ----      71'6B     63'7A     ----      62'7    -6'0                   68'7
3450       ----      66'6B     58'7A     ----      57'7    -6'0                   63'7
3500       ----      61'6B     53'7A     ----      52'7    -6'0                   58'7
3550       ----      56'6B     48'7A     ----      47'7    -6'0                   53'7
3600       ----      51'6B     43'7A     ----      43'0    -5'7                   48'7
3650       ----      46'6B     39'0A     ----      38'0    -5'7                   43'7
3700       ----      41'6B     34'0A     ----      33'1    -5'7                   39'0
3750       ----      37'5B     29'2A     ----      28'2    -5'7                   34'1
3800       ----      32'6B     24'5A     ----      23'5    -5'5                   29'2
3850       ----      27'7B     20'1A     ----      19'2    -5'3                   24'5
3900       ----      23'2B     15'4A     ----      15'2    -5'0          24       20'2
3950       ----      18'7B     12'0A     ----      11'7    -4'2                   16'1
4000       ----      15'2B      9'0A     ----       9'0    -3'4         105       12'4          22          26
4050       10'4      12'0B      6'6A     ----       6'5    -2'7          84        9'4          12          12
4100        8'6       9'3B      4'7      ----       4'7    -2'2        1320        7'1        1118         895
4150        5'1       7'0B      3'4A     ----       3'4    -1'6         757        5'2          77         234
4200        4'5       5'1B      2'5      ----       2'5    -1'2         599        3'7         341         754
4250        3'2       3'6       1'7      ----       1'7     -'7         216        2'6         185         519
4300        2'5       2'6       1'3      ----       1'3     -'5         507        2'0        1115        1728
4350        2'1       2'1       1'0      ----       1'0     -'4          66        1'4         269         903
4400        1'2       1'3        '6      ----        '6     -'2         574        1'0        1300        2892
4450        1'0       1'0        '5A     ----        '4     -'2          14         '6         275         918
4500         '6        '6        '4      ----        '3     -'2         246         '5         136        1451
4550         '4        '4        '2      ----        '2     -'2           3         '4          36         553
4600       ----      ----      ----      ----        '2     -'1           6         '3         849        1451
4650         '2        '2        '2      ----        '2     -'1          50         '3          11         173
4700       ----      ----      ----      ----        '1     -'1                     '2         190         158
4750       ----      ----      ----      ----        '1     -'1                     '2          25         222
4800         '2        '2        '1      ----        '1     -'1          99         '2         100         849
4850         '1        '1        '1      ----        '1     -'1          51         '2          89         149
4900       ----      ----        '1A     ----        '1     -'1                     '2         100         251
4950       ----      ----      ----      ----        '1    UNCH                     '1           1          57
5000       ----      ----      ----      ----        '1    UNCH                     '1          23         423
5050       ----      ----      ----      ----        '1    UNCH                     '1                      57
5100       ----      ----      ----      ----        '1    UNCH                     '1          30          90
5150       ----      ----      ----      ----        '1    UNCH                     '1                      92
5200       ----      ----      ----      ----        '1    UNCH                     '1                      22
5250       ----      ----      ----      ----        '1    UNCH                     '1                       8
5300       ----      ----      ----      ----        '1    UNCH                     '1                      46
5350       ----      ----      ----      ----        '1    UNCH                     '1                      78
5400       ----      ----      ----      ----        '1    UNCH                     '1                       1
5450       ----      ----      ----      ----        '1    UNCH                     '1                       9
5500       ----      ----      ----      ----        '1    UNCH                     '1                      22
WZ FEB17 Wheat Options CALL
3100       ----     101'6B     93'7A     ----      92'6    -6'0                   98'6
3150       ----      96'6B     88'7A     ----      87'6    -6'0                   93'6
3200       ----      91'6B     83'7A     ----      82'6    -6'0                   88'6
3250       ----      86'6B     78'7A     ----      77'7    -5'7                   83'6
3300       ----      81'6B     73'7A     ----      72'7    -6'0                   78'7
3350       ----      76'6B     68'7A     ----      67'7    -6'0                   73'7
3400       ----      71'6B     64'0A     ----      63'0    -5'7                   68'7
3450       ----      66'7B     59'1A     ----      58'1    -5'7                   64'0
3500       ----      61'7B     54'2A     ----      53'2    -5'7                   59'1
3550       ----      57'0B     49'3A     ----      48'4    -5'6                   54'2
3600       ----      52'2B     44'6A     ----      43'7    -5'4                   49'3
3650       ----      47'4B     40'1A     ----      39'2    -5'4                   44'6
3700       ----      42'6B     35'5A     ----      34'7    -5'2                   40'1
3750       ----      38'7B     31'4A     ----      30'5    -5'0                   35'5
3800       ----      34'4B     27'0A     ----      26'5    -4'7                   31'4
3850       ----      30'3B     23'3A     ----      23'0    -4'4                   27'4
3900       24'3      26'6B     20'1A     ----      19'7    -4'1           4       24'0
3950       ----      23'2B     17'0A     ----      17'0    -3'6                   20'6
4000       ----      20'0B     14'4A     ----      14'3    -3'3           2       17'6                       1
4050       ----      17'2B     12'3A     ----      12'1    -3'0           1       15'1
4100       ----      14'6B     10'3A     ----      10'1    -2'6          28       12'7           5           6
4150       11'0      12'4B      8'7A     ----       8'4    -2'3         423       10'7          50          50
4200       10'1      10'5B      7'4      ----       7'1    -2'0           5        9'1          82        1326
4250        8'3       8'7B      6'2A     ----       6'0    -1'5          62        7'5          29          86
4300        7'3       7'4B      5'2A     ----       5'0    -1'3         620        6'3         146        1551
4350        5'5       6'2B      4'3A     ----       4'2    -1'0         263        5'2          46        2231
4400        5'1       5'2B      3'6A     ----       3'5     -'6         100        4'3         832        1975
4450        3'0       4'3B      3'0      ----       3'0     -'5          97        3'5          19          92
4500        3'2       3'5B      2'4      ----       2'4     -'4         167        3'0         102         631
4550        2'6       3'0B      2'1A     ----       2'1     -'3          15        2'4           3          28
4600       ----       2'4B      1'7A     ----       1'6     -'3                    2'1          22         182
4650        1'6       2'0B      1'4A     ----       1'4     -'2          10        1'6                      31
4700       ----       1'5B      1'2A     ----       1'2     -'2           2        1'4           1        1801
4750        1'2       1'3B      1'1      ----       1'0     -'2          32        1'2           1          10
4800       ----       1'1B     ----      ----        '7     -'1                    1'0                     542
4850       ----      ----      ----      ----        '6     -'1                     '7           2          18
4900       ----      ----      ----      ----        '5     -'1                     '6                     508
4950       ----      ----      ----      ----        '4     -'1                     '5                      75
5000       ----      ----      ----      ----        '3     -'1                     '4                      29
5050       ----      ----      ----      ----        '3     -'1                     '4                      19
5100       ----      ----      ----      ----        '3    UNCH                     '3                      34
5150       ----      ----      ----      ----        '3    UNCH                     '3                      94
5200       ----      ----      ----      ----        '2     -'1                     '3          21          31
5250       ----      ----      ----      ----        '2     -'1                     '3                      15
5300       ----      ----      ----      ----        '2    UNCH                     '2                      28
5350       ----      ----      ----      ----        '2    UNCH                     '2                      10
5400       ----      ----      ----      ----        '2    UNCH                     '2                      12
WZ MAR17 Wheat Options CALL
2100       ----     201'2B    194'3A     ----     192'6    -6'0                  198'6
2200       ----     191'2B    184'3A     ----     182'6    -6'0                  188'6
2300       ----     181'2B    174'3A     ----     172'6    -6'0                  178'6
2400       ----     171'2B    164'3A     ----     162'6    -6'0                  168'6
2500       ----     161'2B    154'3A     ----     152'6    -6'0                  158'6
2600       ----     151'2B    144'3A     ----     142'6    -6'0                  148'6
2700       ----     141'2B    134'3A     ----     132'6    -6'0                  138'6
2800       ----     131'2B    124'3A     ----     122'6    -6'0                  128'6
2900       ----     121'2B    114'3A     ----     112'6    -6'0                  118'6
3000       ----     111'2B    104'3A     ----     102'6    -6'0                  108'6
3100       ----     100'7B     94'3A     ----      92'7    -6'0                   98'7
3150       ----      96'2B     89'3A     ----      87'7    -6'0                   93'7
3200       ----      91'2B     84'4A     ----      83'0    -5'7                   88'7
3250       ----      86'2B     79'4A     ----      78'0    -6'0                   84'0
3300       ----      81'3B     74'5A     ----      73'1    -5'7                   79'0
3350       ----      76'3B     69'6A     ----      68'3    -5'6                   74'1
3400       ----      71'5B     64'7A     ----      63'4    -5'6                   69'2
3450       ----      66'6B     60'1A     ----      58'6    -5'6                   64'4
3500       ----      62'0B     55'4A     ----      54'1    -5'4                   59'5
3550       ----      57'1B     50'7A     ----      49'4    -5'4                   55'0
3600       ----      52'4B     46'3A     ----      45'1    -5'2                   50'3
3650       ----      48'0B     42'1A     ----      40'6    -5'2                   46'0
3700       ----      43'4B     37'5A     ----      36'5    -5'0                   41'5
3750       ----      39'2B     33'0A     ----      32'7    -4'6                   37'5
3800       ----      36'4B     29'4A     ----      29'2    -4'4                   33'6                      16
3850       ----      32'6B     26'1A     ----      25'7    -4'1                   30'0
3900       ----      29'2B     23'1A     ----      22'7    -3'7                   26'6                       2
3950       ----      26'1B     20'0A     ----      20'1    -3'4                   23'5
4000       23'4      23'4      17'5A     ----      17'4    -3'3           2       20'7          28         227
4050       18'1      20'5B     15'4A     ----      15'3    -3'0          23       18'3
4100       15'7      18'1B     13'4A     ----      13'4    -2'5        1699       16'1         483        1110
4150       13'6      16'0B     12'0A     ----      11'7    -2'2          53       14'1          19          25
4200       13'0      14'1      10'3A     ----      10'3    -1'7        3509       12'2        5346        8213
4250       12'1      12'2B      9'0A     ----       9'0    -1'5         129       10'5         200         190
4300        9'4      10'6       8'0A     ----       7'7    -1'3         455        9'2        7062        9408
4350        9'1       9'2B      7'0A     ----       6'7    -1'1         402        8'0         385         345
4400        8'0       8'0       6'0A     ----       6'0    -1'0         249        7'0         304        4476
4450        6'7       7'0B      5'2A     ----       5'2     -'7          52        6'1                       8
4500        6'1       6'1       4'4      ----       4'5     -'5         260        5'2        6546        6328
4550        4'4       5'1B      4'0A     ----       4'0     -'5          24        4'5           5           5
4600        4'1       4'4B      3'3      ----       3'4     -'4        2257        4'0          77        3494
4650        3'5       3'7B      3'0A     ----       3'0     -'4           3        3'4          39          27
4700        3'1       3'2B      2'5A     ----       2'5     -'3         111        3'0        1524        5939
4750       ----       2'7B      2'3A     ----       2'2     -'3          24        2'5          12          12
4800        2'4       2'4       2'1       2'4       2'0     -'2         551        2'2         159        3429
4850        2'1       2'1       1'7A     ----       1'6     -'2           1        2'0          50          52
4900        1'7       1'7       1'5      ----       1'5     -'1          84        1'6         167        4259
4950        1'5       1'5       1'4      ----       1'3     -'1          30        1'4          24          46
5000        1'4       1'5       1'3       1'3       1'2     -'1         324        1'3         219        4919
5050       ----      ----      ----      ----       1'1     -'1                    1'2          16          30
5100       ----      ----      ----      ----       1'0     -'1         230        1'1                    2068
5150       ----      ----      ----      ----       1'0    UNCH                    1'0          21          71
5200       ----      ----      ----      ----        '7    UNCH         508         '7          61        3409
5250         '7        '7        '6A     ----        '6     -'1           3         '7
5300       ----      ----      ----      ----        '6    UNCH         690         '6                     425
5400       ----      ----      ----      ----        '5    UNCH                     '5         452         950
5500         '5        '5        '5      ----        '4    UNCH         100         '4          34        2050
5600         '4        '4        '4      ----        '4     +'1          54         '3                     338
5700         '3        '3        '3      ----        '3    UNCH           2         '3          85         229
5800       ----      ----      ----      ----        '3     +'1                     '2                     158
5900       ----      ----      ----      ----        '2    UNCH                     '2                     103
6000       ----      ----      ----      ----        '2    UNCH                     '2                    2398
6100       ----        '2B     ----      ----        '1    UNCH                     '1                     180
6200       ----      ----      ----      ----        '1    UNCH                     '1                     142
6300       ----      ----      ----      ----        '1    UNCH                     '1                     154
6400       ----      ----      ----      ----        '1    UNCH                     '1                     109
6500       ----      ----      ----      ----        '1    UNCH                     '1          54        2169
6600       ----      ----      ----      ----        '1    UNCH                     '1                     115
6700       ----      ----      ----      ----        '1    UNCH                     '1                      30
6800       ----      ----      ----      ----        '1    UNCH                     '1                     104
6900       ----      ----      ----      ----        '1    UNCH                     '1                      24
7000       ----      ----      ----      ----        '1    UNCH                     '1                      70
7100       ----      ----      ----      ----        '1    UNCH                     '1
7200       ----      ----      ----      ----        '1    UNCH                     '1
7300       ----      ----      ----      ----        '1    UNCH                     '1
7400       ----      ----      ----      ----        '1    UNCH                     '1                      20
