W Wheat Futures
DEC16     404'0     414'0     402'6     411'2     411'4    +7'2       69000      404'2       61130      292474
MAR17     426'4     434'4     424'4     431'6     432'0    +5'2       26930      426'6       25073      108979
MAY17     441'4     449'4     440'0     447'0     447'2    +4'4        6174      442'6        6520       28323
JLY17     454'6     462'4     452'6     460'4B    460'4    +4'6        8597      455'6        7190       47346
SEP17     471'0     476'2B    469'0A    476'0     476'0    +5'2        1249      470'6        1982        6855
DEC17     487'0     494'0B    485'2     493'0     493'2    +5'6         798      487'4         801       10717
MAR18     507'2     507'6     507'2     507'6     506'6    +5'6          21      501'0          62        2306
MAY18      ----      ----      ----      ----     511'4    +5'6                  505'6                      30
3850       ----      ----      ----      ----      75'7    +4'5                   71'2
3900       ----      ----      ----      ----      71'1    +4'5                   66'4
3950       ----      ----      ----      ----      66'4    +4'4                   62'0
4000       ----      ----      ----      ----      61'7    +4'3                   57'4
4050       ----      ----      ----      ----      57'4    +4'2                   53'2
4100       ----      ----      ----      ----      53'3    +4'1                   49'2
4150       ----      ----      ----      ----      49'2    +3'7                   45'3
4200       ----      ----      ----      ----      45'4    +3'6                   41'6
4250       ----      ----      ----      ----      41'6    +3'4                   38'2
4300       ----      ----      ----      ----      38'2    +3'3                   34'7
4350       ----      ----      ----      ----      34'7    +2'7                   32'0
4400       ----      ----      ----      ----      32'0    +3'0                   29'0
4450       ----      ----      ----      ----      29'1    +2'7                   26'2
4500       ----      ----      ----      ----      26'3    +2'5                   23'6
4550       ----      ----      ----      ----      23'7    +2'4                   21'3
4600       ----      ----      ----      ----      21'5    +2'3                   19'2
4650       ----      ----      ----      ----      19'4    +2'1                   17'3
4700       ----      ----      ----      ----      17'5    +2'1                   15'4
4750       ----      ----      ----      ----      15'7    +1'7                   14'0
4800       ----      ----      ----      ----      14'2    +1'6                   12'4
4850       ----      ----      ----      ----      12'6    +1'4                   11'2
4900       ----      ----      ----      ----      11'4    +1'3                   10'1
4950       ----      ----      ----      ----      10'3    +1'3                    9'0
5000       ----      ----      ----      ----       9'2    +1'1                    8'1
5050       ----      ----      ----      ----       8'3    +1'1                    7'2
5100       ----      ----      ----      ----       7'4     +'7                    6'5
5150       ----      ----      ----      ----       6'6     +'6                    6'0
5200       ----      ----      ----      ----       6'1     +'6                    5'3
5250       ----      ----      ----      ----       5'5     +'6                    4'7
5300       ----      ----      ----      ----       5'1     +'5                    4'4
5350       ----      ----      ----      ----       4'5     +'4                    4'1
5400       ----      ----      ----      ----       4'2     +'4                    3'6
5450       ----      ----      ----      ----       3'7     +'4                    3'3
5500       ----      ----      ----      ----       3'4     +'3                    3'1
5550       ----      ----      ----      ----       3'2     +'3                    2'7
5600       ----      ----      ----      ----       3'0     +'3                    2'5
5650       ----      ----      ----      ----       2'6     +'3                    2'3
5700       ----      ----      ----      ----       2'4     +'3                    2'1
5750       ----      ----      ----      ----       2'3     +'3                    2'0
5800       ----      ----      ----      ----       2'2     +'3                    1'7
5850       ----      ----      ----      ----       2'0     +'2                    1'6
5900       ----      ----      ----      ----       1'7     +'2                    1'5
5950       ----      ----      ----      ----       1'6     +'2                    1'4
6000       ----      ----      ----      ----       1'5     +'2                    1'3
6050       ----      ----      ----      ----       1'4     +'2                    1'2
6100       ----      ----      ----      ----       1'3     +'2                    1'1
6150       ----      ----      ----      ----       1'2     +'1                    1'1
6200       ----      ----      ----      ----       1'2     +'2                    1'0
6250       ----      ----      ----      ----       1'1     +'1                    1'0
6300       ----      ----      ----      ----       1'0     +'1                     '7
6350       ----      ----      ----      ----        '7    UNCH                     '7
6400       ----      ----      ----      ----        '7     +'1                     '6
6450       ----      ----      ----      ----        '7     +'1                     '6
6500       ----      ----      ----      ----        '7     +'2                     '5
6550       ----      ----      ----      ----        '6     +'1                     '5
6600       ----      ----      ----      ----        '5    UNCH                     '5
6650       ----      ----      ----      ----        '5    UNCH                     '5
6700       ----      ----      ----      ----        '5     +'1                     '4
6750       ----      ----      ----      ----        '5     +'1                     '4
6800       ----      ----      ----      ----        '4    UNCH                     '4
6850       ----      ----      ----      ----        '4    UNCH                     '4
6900       ----      ----      ----      ----        '4     +'1                     '3
6950       ----      ----      ----      ----        '3    UNCH                     '3
7000       ----      ----      ----      ----        '3    UNCH                     '3
7050       ----      ----      ----      ----        '3    UNCH                     '3
7100       ----      ----      ----      ----        '3    UNCH                     '3
7150       ----      ----      ----      ----        '3    UNCH                     '3
7200       ----      ----      ----      ----        '2    UNCH                     '2
7250       ----      ----      ----      ----        '2    UNCH                     '2
7300       ----      ----      ----      ----        '2    UNCH                     '2

WDF DEC16 Short-Dated New Crop Wheat Option PUT
3300       ----      ----      ----      ----        '1    UNCH                     '1
3350       ----      ----      ----      ----        '1    UNCH                     '1
3400       ----      ----      ----      ----        '1    UNCH                     '1
3450       ----      ----      ----      ----        '1    UNCH                     '1
3500       ----      ----      ----      ----        '1    UNCH                     '1
3550       ----      ----      ----      ----        '1    UNCH                     '1
3600       ----      ----      ----      ----        '1    UNCH                     '1
3650       ----      ----      ----      ----        '1    UNCH                     '1
3700       ----      ----      ----      ----        '1    UNCH                     '1
3750       ----      ----      ----      ----        '1    UNCH                     '1
3800       ----      ----      ----      ----        '1    UNCH                     '1
3850       ----      ----      ----      ----        '1    UNCH                     '1
3900       ----      ----      ----      ----        '1    UNCH                     '1
3950       ----      ----      ----      ----        '2     +'1                     '1
4000       ----      ----      ----      ----        '2    UNCH                     '2
4050       ----      ----      ----      ----        '2     -'1                     '3
4100       ----      ----      ----      ----        '3     -'1                     '4
4150       ----      ----      ----      ----        '4     -'1                     '5
4200       ----      ----      ----      ----        '5     -'2                     '7
4250       ----      ----      ----      ----       1'0     -'3                    1'3
4300       ----      ----      ----      ----       1'3     -'5                    2'0
4350       ----      ----      ----      ----       2'1     -'6                    2'7
4400       ----      ----      ----      ----       3'1    -1'0                    4'1
4450       ----      ----      ----      ----       4'2    -1'4                    5'6
4500       ----      ----      ----      ----       6'0    -1'6          25        7'6                      80
4550       ----      ----      ----      ----       8'1    -2'0                   10'1
4600       ----      ----      ----      ----      10'5    -2'2                   12'7
4650       ----      ----      ----      ----      13'4    -2'4                   16'0
4700       ----      ----      ----      ----      16'5    -2'7                   19'4
4750       ----      ----      ----      ----      20'1    -3'1                   23'2
4800       ----      ----      ----      ----      23'7    -3'4                   27'3
4850       ----      ----      ----      ----      27'7    -3'6                   31'5
4900       ----      ----      ----      ----      32'0    -4'0                   36'0
4950       ----      ----      ----      ----      36'4    -4'1                   40'5
5000       ----      ----      ----      ----      41'0    -4'2                   45'2
5050       ----      ----      ----      ----      45'5    -4'3                   50'0
5100       ----      ----      ----      ----      50'3    -4'4                   54'7
5150       ----      ----      ----      ----      55'1    -4'5                   59'6
5200       ----      ----      ----      ----      60'0    -4'5                   64'5
5250       ----      ----      ----      ----      64'7    -4'5                   69'4
5300       ----      ----      ----      ----      69'6    -4'6                   74'4
5350       ----      ----      ----      ----      74'6    -4'6                   79'4
5400       ----      ----      ----      ----      79'6    -4'6                   84'4
5450       ----      ----      ----      ----      84'5    -4'6                   89'3
5500       ----      ----      ----      ----      89'5    -4'6                   94'3
5550       ----      ----      ----      ----      94'5    -4'6                   99'3
5600       ----      ----      ----      ----      99'5    -4'6                  104'3
5650       ----      ----      ----      ----     104'5    -4'6                  109'3
5700       ----      ----      ----      ----     109'5    -4'6                  114'3
5750       ----      ----      ----      ----     114'5    -4'6                  119'3
5800       ----      ----      ----      ----     119'5    -4'6                  124'3
