W Wheat Futures
DEC16     403'0     410'0     400'2     407'0     408'0    +5'0       51687      403'0       60284      136793
MAR17     419'4     427'4     416'6     424'2     425'2    +5'2       46657      420'0       55704      236385
MAY17     433'0     440'2     430'2     438'4     439'0    +5'6       11987      433'2       11508       49188
JLY17     447'4     454'4     444'6     452'6B    453'6    +5'4        5864      448'2        5781       58817
SEP17     462'0     469'0     460'4     467'6     468'4    +4'4         879      464'0         629       10507
DEC17     482'0     488'2     480'0     486'4     487'2    +3'2        1909      484'0         939       18657
MAR18     497'6     497'6     495'6A    497'2     498'4    +2'2          73      496'2          31        3165
MAY18     505'4     506'4     505'4     506'4     506'2    +2'4          36      503'6                     236
JLY18     512'4     512'4     512'4     512'4     510'2    +4'6           2      505'4                     197
SEP18     525'0     527'0     525'0     527'0     524'2    +5'2           2      519'0                     169
DEC18     543'4     543'4     543'4     543'4     543'0    +2'2           5      540'6           5         118
MAR19      ----     556'0B     ----     556'0B    550'4    +9'6                  540'6
3850       ----      ----      ----      ----      69'3    +5'2                   64'1
3900       ----      ----      ----      ----      64'5    +5'1                   59'4
3950       ----      ----      ----      ----      60'1    +5'1                   55'0
4000       ----      ----      ----      ----      55'6    +5'0                   50'6
4050       ----      ----      ----      ----      51'3    +4'6                   46'5
4100       ----      ----      ----      ----      47'2    +4'5                   42'5
4150       ----      ----      ----      ----      43'3    +4'4                   38'7
4200       ----      ----      ----      ----      39'5    +4'1                   35'4
4250       ----      ----      ----      ----      36'1    +4'0                   32'1
4300       ----      ----      ----      ----      32'7    +3'7                   29'0
4350       ----      ----      ----      ----      29'5    +3'4                   26'1
4400       ----      ----      ----      ----      26'6    +3'3                   23'3
4450       ----      ----      ----      ----      24'0    +3'1                   20'7
4500       ----      ----      ----      ----      21'3    +2'6                   18'5
4550       ----      ----      ----      ----      19'1    +2'5                   16'4
4600       ----      ----      ----      ----      17'0    +2'3                   14'5
4650       ----      ----      ----      ----      15'1    +2'1                   13'0
4700       ----      ----      ----      ----      13'3    +1'7                   11'4
4750       ----      ----      ----      ----      11'7    +1'6                   10'1
4800       ----      ----      ----      ----      10'4    +1'5                    8'7
4850       ----      ----      ----      ----       9'2    +1'3                    7'7
4900       ----      ----      ----      ----       8'1    +1'2                    6'7
4950       ----      ----      ----      ----       7'1    +1'1                    6'0
5000       ----      ----      ----      ----       6'2    +1'0                    5'2
5050       ----      ----      ----      ----       5'4     +'7                    4'5
5100       ----      ----      ----      ----       4'7     +'6                    4'1
5150       ----      ----      ----      ----       4'2     +'5                    3'5
5200       ----      ----      ----      ----       3'6     +'5                    3'1
5250       ----      ----      ----      ----       3'2     +'4                    2'6
5300       ----      ----      ----      ----       2'7     +'3                    2'4
5350       ----      ----      ----      ----       2'4     +'2                    2'2
5400       ----      ----      ----      ----       2'2     +'2                    2'0
5450       ----      ----      ----      ----       2'0     +'2                    1'6
5500       ----      ----      ----      ----       1'6     +'2                    1'4
5550       ----      ----      ----      ----       1'4     +'2                    1'2
5600       ----      ----      ----      ----       1'3     +'2                    1'1
5650       ----      ----      ----      ----       1'2     +'2                    1'0
5700       ----      ----      ----      ----       1'0     +'1                     '7
5750       ----      ----      ----      ----        '7    UNCH                     '7
5800       ----      ----      ----      ----        '7     +'1                     '6
5850       ----      ----      ----      ----        '6     +'1                     '5
5900       ----      ----      ----      ----        '5     +'1                     '4
5950       ----      ----      ----      ----        '4    UNCH                     '4
6000       ----      ----      ----      ----        '4    UNCH                     '4
6050       ----      ----      ----      ----        '3    UNCH                     '3
