                PRELIMINARY PRICES AS OF 03/22/19 02:16 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
APR19      ----      ----      ----      ----      ----    UNCH                  .0000
MAY19      ----      ----      ----      ----      ----    UNCH                  .0075
JUN19      ----      ----      ----      ----      ----    UNCH                  .0050
JLY19      ----      ----      ----      ----      ----    UNCH                  .0050
AUG19      ----      ----      ----      ----      ----    UNCH                  .0050
SEP19      ----      ----      ----      ----      ----    UNCH                  .0075
OCT19      ----      ----      ----      ----      ----    UNCH                  .0075
NOV19      ----      ----      ----      ----      ----    UNCH                  .0050
DEC19      ----      ----      ----      ----      ----    UNCH                  .0000
JAN20      ----      ----      ----      ----      ----    UNCH                 -.0050
FEB20      ----      ----      ----      ----      ----    UNCH                 -.0100
2CE Chicago Ethanol (Platts) Calendar Spread Option -
APR19      ----      ----      ----      ----      ----    UNCH                  .0075
MAY19      ----      ----      ----      ----      ----    UNCH                  .0125
JUN19      ----      ----      ----      ----      ----    UNCH                  .0100
JLY19      ----      ----      ----      ----      ----    UNCH                  .0100
AUG19      ----      ----      ----      ----      ----    UNCH                  .0125
SEP19      ----      ----      ----      ----      ----    UNCH                  .0150
OCT19      ----      ----      ----      ----      ----    UNCH                  .0125
NOV19      ----      ----      ----      ----      ----    UNCH                  .0050
DEC19      ----      ----      ----      ----      ----    UNCH                 -.0050
JAN20      ----      ----      ----      ----      ----    UNCH                 -.0150
2RB RBOB TAM SYNTHETIC LONDON FUTURE
APR19      ----      ----      ----      ----    1.9054  -.0151                 1.9205
MAY19      ----      ----      ----      ----    1.8742  -.0223                 1.8965
JUN19      ----      ----      ----      ----    1.8543  -.0248                 1.8791
3A WTI OIL CS12SYNTHT
MAY19      ----      ----      ----      ----       .30    -.25                    .55
JUN19      ----      ----      ----      ----       .72    -.26                    .98
JLY19      ----      ----      ----      ----      1.19    -.25                   1.44
AUG19      ----      ----      ----      ----      1.61    -.23                   1.84
SEP19      ----      ----      ----      ----      1.94    -.22                   2.16
OCT19      ----      ----      ----      ----      2.17    -.20                   2.37
NOV19      ----      ----      ----      ----      2.26    -.19                   2.45
DEC19      ----      ----      ----      ----      2.28    -.19                   2.47
JAN20      ----      ----      ----      ----      2.33    -.19                   2.52
FEB20      ----      ----      ----      ----      2.36    -.17                   2.53
MAR20      ----      ----      ----      ----      2.35    -.16                   2.51
APR20      ----      ----      ----      ----      2.32    -.14                   2.46
MAY20      ----      ----      ----      ----      2.29    -.14                   2.43
JUN20      ----      ----      ----      ----      2.27    -.11                   2.38
SEP20      ----      ----      ----      ----      2.16    -.10                   2.26
DEC20      ----      ----      ----      ----      2.01    -.10                   2.11
MAR21      ----      ----      ----      ----      1.86    -.10                   1.96
JUN21      ----      ----      ----      ----      1.68    -.09                   1.77
SEP21      ----      ----      ----      ----      1.45    -.09                   1.54
DEC21      ----      ----      ----      ----      1.25    -.10                   1.35
MAR22      ----      ----      ----      ----       .97    -.07                   1.04
3CE Chicago Ethanol (Platts) Calendar Spread Option -
APR19      ----      ----      ----      ----      ----    UNCH                  .0125
MAY19      ----      ----      ----      ----      ----    UNCH                  .0175
JUN19      ----      ----      ----      ----      ----    UNCH                  .0150
JLY19      ----      ----      ----      ----      ----    UNCH                  .0175
AUG19      ----      ----      ----      ----      ----    UNCH                  .0200
SEP19      ----      ----      ----      ----      ----    UNCH                  .0200
OCT19      ----      ----      ----      ----      ----    UNCH                  .0125
NOV19      ----      ----      ----      ----      ----    UNCH                  .0000
DEC19      ----      ----      ----      ----      ----    UNCH                 -.0150
4A WTI OIL CS6 SYNTHT
MAY19      ----      ----      ----      ----      -.81    -.14                   -.67
JUN19      ----      ----      ----      ----      -.44    -.12                   -.32
JLY19      ----      ----      ----      ----      -.04    -.13                    .09
AUG19      ----      ----      ----      ----       .37    -.13                    .50
SEP19      ----      ----      ----      ----       .73    -.11                    .84
OCT19      ----      ----      ----      ----       .97    -.10                   1.07
NOV19      ----      ----      ----      ----      1.11    -.11                   1.22
DEC19      ----      ----      ----      ----      1.16    -.14                   1.30
JAN20      ----      ----      ----      ----      1.23    -.12                   1.35
FEB20      ----      ----      ----      ----      1.24    -.10                   1.34
MAR20      ----      ----      ----      ----      1.21    -.11                   1.32
APR20      ----      ----      ----      ----      1.20    -.10                   1.30
MAY20      ----      ----      ----      ----      1.15    -.08                   1.23
JUN20      ----      ----      ----      ----      1.12    -.05                   1.17
DEC20      ----      ----      ----      ----      1.15    -.06                   1.21
JUN21      ----      ----      ----      ----       .86    -.04                    .90
DEC21      ----      ----      ----      ----       .82    -.05                    .87
4RB RBOB 3:15 2 MINUTE TAM SYNTHETIC LONDON FUTURE
APR19      ----      ----      ----      ----    1.9192  +.0067                 1.9125
5A WTI OIL CS3 SYNTHT
MAY19      ----      ----      ----      ----      -.71    -.07                   -.64
JUN19      ----      ----      ----      ----      -.60    -.07                   -.53
JLY19      ----      ----      ----      ----      -.39    -.09                   -.30
AUG19      ----      ----      ----      ----      -.10    -.07                   -.03
SEP19      ----      ----      ----      ----       .16    -.05                    .21
OCT19      ----      ----      ----      ----       .35    -.04                    .39
NOV19      ----      ----      ----      ----       .47    -.06                    .53
DEC19      ----      ----      ----      ----       .57    -.06                    .63
JAN20      ----      ----      ----      ----       .62    -.06                    .68
FEB20      ----      ----      ----      ----       .64    -.05                    .69
MAR20      ----      ----      ----      ----       .59    -.08                    .67
APR20      ----      ----      ----      ----       .61    -.06                    .67
6A WTI OIL CS2 SYNTHT
MAY19      ----      ----      ----      ----      -.49    -.04                   -.45
JUN19      ----      ----      ----      ----      -.46    -.04                   -.42
JLY19      ----      ----      ----      ----      -.36    -.06                   -.30
AUG19      ----      ----      ----      ----      -.17    -.06                   -.11
SEP19      ----      ----      ----      ----       .04    -.04                    .08
OCT19      ----      ----      ----      ----       .19    -.02                    .21
NOV19      ----      ----      ----      ----       .28    -.03                    .31
DEC19      ----      ----      ----      ----       .35    -.05                    .40
JAN20      ----      ----      ----      ----       .41    -.04                    .45
FEB20      ----      ----      ----      ----       .43    -.03                    .46
MAR20      ----      ----      ----      ----       .42    -.04                    .46
APR20      ----      ----      ----      ----       .38    -.06                    .44
6CE Chicago Ethanol (Platts) Calendar Spread Option -
APR19      ----      ----      ----      ----      ----    UNCH                  .0300
MAY19      ----      ----      ----      ----      ----    UNCH                  .0375
JUN19      ----      ----      ----      ----      ----    UNCH                  .0350
JLY19      ----      ----      ----      ----      ----    UNCH                  .0300
AUG19      ----      ----      ----      ----      ----    UNCH                  .0200
SEP19      ----      ----      ----      ----      ----    UNCH                  .0050
A2 WTI OIL CS1 SYNTHT
