                PRELIMINARY PRICES AS OF 11/01/17 12:17 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
DEC17      ----      ----      ----      ----      ----    UNCH                  .0225
JAN18      ----      ----      ----      ----      ----    UNCH                 -.0050
FEB18      ----      ----      ----      ----      ----    UNCH                 -.0200
MAR18      ----      ----      ----      ----      ----    UNCH                 -.0200
APR18      ----      ----      ----      ----      ----    UNCH                 -.0100
MAY18      ----      ----      ----      ----      ----    UNCH                 -.0075
JUN18      ----      ----      ----      ----      ----    UNCH                 -.0050
JLY18      ----      ----      ----      ----      ----    UNCH                 -.0025
AUG18      ----      ----      ----      ----      ----    UNCH                 -.0025
SEP18      ----      ----      ----      ----      ----    UNCH                  .0075
OCT18      ----      ----      ----      ----      ----    UNCH                  .0100
NOV18      ----      ----      ----      ----      ----    UNCH                  .0100
2CE Chicago Ethanol (Platts) Calendar Spread Option -
DEC17      ----      ----      ----      ----      ----    UNCH                  .0175
JAN18      ----      ----      ----      ----      ----    UNCH                 -.0250
FEB18      ----      ----      ----      ----      ----    UNCH                 -.0400
MAR18      ----      ----      ----      ----      ----    UNCH                 -.0300
APR18      ----      ----      ----      ----      ----    UNCH                 -.0175
MAY18      ----      ----      ----      ----      ----    UNCH                 -.0125
JUN18      ----      ----      ----      ----      ----    UNCH                 -.0075
JLY18      ----      ----      ----      ----      ----    UNCH                 -.0050
AUG18      ----      ----      ----      ----      ----    UNCH                  .0050
SEP18      ----      ----      ----      ----      ----    UNCH                  .0175
2RB RBOB TAM SYNTHETIC LONDON FUTURE
DEC17      ----      ----      ----      ----    1.7516  +.0297                 1.7219
JAN18      ----      ----      ----      ----    1.7246  +.0230                 1.7016
FEB18      ----      ----      ----      ----    1.7224    ----                   ----
3A WTI OIL CS12SYNTHT
DEC17      ----      ----      ----      ----      ----    UNCH                   1.38
JAN18      ----      ----      ----      ----      ----    UNCH                   1.83
FEB18      ----      ----      ----      ----      ----    UNCH                   2.16
MAR18      ----      ----      ----      ----      ----    UNCH                   2.41
APR18      ----      ----      ----      ----      ----    UNCH                   2.55
MAY18      ----      ----      ----      ----      ----    UNCH                   2.61
JUN18      ----      ----      ----      ----      ----    UNCH                   2.58
JLY18      ----      ----      ----      ----      ----    UNCH                   2.54
AUG18      ----      ----      ----      ----      ----    UNCH                   2.44
SEP18      ----      ----      ----      ----      ----    UNCH                   2.31
OCT18      ----      ----      ----      ----      ----    UNCH                   2.16
NOV18      ----      ----      ----      ----      ----    UNCH                   2.02
DEC18      ----      ----      ----      ----      ----    UNCH                   1.88
DEC19      ----      ----      ----      ----      ----    UNCH                    .86
DEC20      ----      ----      ----      ----      ----    UNCH                    .20
3CE Chicago Ethanol (Platts) Calendar Spread Option -
DEC17      ----      ----      ----      ----      ----    UNCH                 -.0025
JAN18      ----      ----      ----      ----      ----    UNCH                 -.0450
FEB18      ----      ----      ----      ----      ----    UNCH                 -.0500
MAR18      ----      ----      ----      ----      ----    UNCH                 -.0375
APR18      ----      ----      ----      ----      ----    UNCH                 -.0225
MAY18      ----      ----      ----      ----      ----    UNCH                 -.0150
JUN18      ----      ----      ----      ----      ----    UNCH                 -.0100
JLY18      ----      ----      ----      ----      ----    UNCH                  .0025
AUG18      ----      ----      ----      ----      ----    UNCH                  .0150
4A WTI OIL CS6 SYNTHT
DEC17      ----      ----      ----      ----      ----    UNCH                    .02
JUN18      ----      ----      ----      ----      ----    UNCH                   1.36
DEC18      ----      ----      ----      ----      ----    UNCH                   1.22
JUN19      ----      ----      ----      ----      ----    UNCH                    .66
DEC19      ----      ----      ----      ----      ----    UNCH                    .55
JUN20      ----      ----      ----      ----      ----    UNCH                    .31
DEC20      ----      ----      ----      ----      ----    UNCH                    .15
JUN21      ----      ----      ----      ----      ----    UNCH                    .05
DEC21      ----      ----      ----      ----      ----    UNCH                   -.14
JUN22      ----      ----      ----      ----      ----    UNCH                   -.23
DEC22      ----      ----      ----      ----      ----    UNCH                   -.21
JUN23      ----      ----      ----      ----      ----    UNCH                   -.29
4RB RBOB 3:15 2 MINUTE TAM SYNTHETIC LONDON FUTURE
DEC17      ----      ----      ----      ----      ----    UNCH                 1.7309
5A WTI OIL CS3 SYNTHT
DEC17      ----      ----      ----      ----      ----    UNCH                   -.34
6A WTI OIL CS2 SYNTHT
DEC17      ----      ----      ----      ----      ----    UNCH                   -.31
JAN18      ----      ----      ----      ----      ----    UNCH                   -.13
6CE Chicago Ethanol (Platts) Calendar Spread Option -
DEC17      ----      ----      ----      ----      ----    UNCH                 -.0400
JAN18      ----      ----      ----      ----      ----    UNCH                 -.0675
FEB18      ----      ----      ----      ----      ----    UNCH                 -.0650
MAR18      ----      ----      ----      ----      ----    UNCH                 -.0475
APR18      ----      ----      ----      ----      ----    UNCH                 -.0200
JUN18      ----      ----      ----      ----      ----    UNCH                  .0175
6T In Delivery Month European Union Allowance (EUA) F
DEC17      ----      ----      ----      ----      ----    UNCH                 7.3700                    6900
DEC18      ----      ----      ----      ----      ----    UNCH                 7.4100                    3698
DEC19      ----      ----      ----      ----      ----    UNCH                 7.4800
DEC20      ----      ----      ----      ----      ----    UNCH                 7.5700
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                                                    10598
A2 WTI OIL CS1 SYNTHT
DEC17      ----      ----      ----      ----      ----    UNCH                   -.21
JAN18      ----      ----      ----      ----      ----    UNCH                   -.10
FEB18      ----      ----      ----      ----      ----    UNCH                   -.03
MAR18      ----      ----      ----      ----      ----    UNCH                    .05
APR18      ----      ----      ----      ----      ----    UNCH                    .13
MAY18      ----      ----      ----      ----      ----    UNCH                    .18
JUN18      ----      ----      ----      ----      ----    UNCH                    .22
JLY18      ----      ----      ----      ----      ----    UNCH                    .24
AUG18      ----      ----      ----      ----      ----    UNCH                    .24
SEP18      ----      ----      ----      ----      ----    UNCH                    .23
OCT18      ----      ----      ----      ----      ----    UNCH                    .22
NOV18      ----      ----      ----      ----      ----    UNCH                    .21
DEC18      ----      ----      ----      ----      ----    UNCH                    .24
JAN19      ----      ----      ----      ----      ----    UNCH                    .23
FEB19      ----      ----      ----      ----      ----    UNCH                    .22
MAR19      ----      ----      ----      ----      ----    UNCH                    .19
APR19      ----      ----      ----      ----      ----    UNCH                    .19
MAY19      ----      ----      ----      ----      ----    UNCH                    .15
JUN19      ----      ----      ----      ----      ----    UNCH                    .18
JLY19      ----      ----      ----      ----      ----    UNCH                    .14
AUG19      ----      ----      ----      ----      ----    UNCH                    .11
SEP19      ----      ----      ----      ----      ----    UNCH                    .08
OCT19      ----      ----      ----      ----      ----    UNCH                    .08
