                PRELIMINARY PRICES AS OF 10/16/17 02:46 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
NOV17      ----      ----      ----      ----      ----    UNCH                  .0150
DEC17      ----      ----      ----      ----      ----    UNCH                  .0150
JAN18      ----      ----      ----      ----      ----    UNCH                 -.0125
FEB18      ----      ----      ----      ----      ----    UNCH                 -.0225
MAR18      ----      ----      ----      ----      ----    UNCH                 -.0250
APR18      ----      ----      ----      ----      ----    UNCH                 -.0125
MAY18      ----      ----      ----      ----      ----    UNCH                 -.0050
JUN18      ----      ----      ----      ----      ----    UNCH                 -.0050
JLY18      ----      ----      ----      ----      ----    UNCH                 -.0025
AUG18      ----      ----      ----      ----      ----    UNCH                 -.0025
SEP18      ----      ----      ----      ----      ----    UNCH                  .0100
OCT18      ----      ----      ----      ----      ----    UNCH                  .0125
NOV18      ----      ----      ----      ----      ----    UNCH                  .0125
2CE Chicago Ethanol (Platts) Calendar Spread Option -
NOV17      ----      ----      ----      ----      ----    UNCH                  .0300
DEC17      ----      ----      ----      ----      ----    UNCH                  .0025
JAN18      ----      ----      ----      ----      ----    UNCH                 -.0350
FEB18      ----      ----      ----      ----      ----    UNCH                 -.0475
MAR18      ----      ----      ----      ----      ----    UNCH                 -.0375
APR18      ----      ----      ----      ----      ----    UNCH                 -.0175
MAY18      ----      ----      ----      ----      ----    UNCH                 -.0100
JUN18      ----      ----      ----      ----      ----    UNCH                 -.0075
JLY18      ----      ----      ----      ----      ----    UNCH                 -.0050
AUG18      ----      ----      ----      ----      ----    UNCH                  .0075
2RB RBOB TAM SYNTHETIC LONDON FUTURE
NOV17      ----      ----      ----      ----    1.6231  +.0098                 1.6133
DEC17      ----      ----      ----      ----    1.6045  +.0121                 1.5924
JAN18      ----      ----      ----      ----    1.5954  +.0135                 1.5819
3A WTI OIL CS12SYNTHT
NOV17      ----      ----      ----      ----      -.17    +.23                   -.40
DEC17      ----      ----      ----      ----       .20    +.24                   -.04
JAN18      ----      ----      ----      ----       .55    +.26                    .29
FEB18      ----      ----      ----      ----       .84    +.27                    .57
MAR18      ----      ----      ----      ----      1.07    +.27                    .80
APR18      ----      ----      ----      ----      1.22    +.27                    .95
MAY18      ----      ----      ----      ----      1.33    +.28                   1.05
JUN18      ----      ----      ----      ----      1.36    +.28                   1.08
JLY18      ----      ----      ----      ----      1.39    +.26                   1.13
AUG18      ----      ----      ----      ----      1.39    +.23                   1.16
SEP18      ----      ----      ----      ----      1.39    +.23                   1.16
OCT18      ----      ----      ----      ----      1.36    +.21                   1.15
NOV18      ----      ----      ----      ----      1.32    +.20                   1.12
DEC18      ----      ----      ----      ----      1.26    +.19                   1.07
DEC19      ----      ----      ----      ----       .61    +.13                    .48
DEC20      ----      ----      ----      ----       .18    +.08                    .10
3CE Chicago Ethanol (Platts) Calendar Spread Option -
NOV17      ----      ----      ----      ----      ----    UNCH                  .0175
DEC17      ----      ----      ----      ----      ----    UNCH                 -.0200
JAN18      ----      ----      ----      ----      ----    UNCH                 -.0600
FEB18      ----      ----      ----      ----      ----    UNCH                 -.0600
MAR18      ----      ----      ----      ----      ----    UNCH                 -.0425
APR18      ----      ----      ----      ----      ----    UNCH                 -.0225
MAY18      ----      ----      ----      ----      ----    UNCH                 -.0125
JUN18      ----      ----      ----      ----      ----    UNCH                 -.0100
JLY18      ----      ----      ----      ----      ----    UNCH                  .0050
4A WTI OIL CS6 SYNTHT
DEC17      ----      ----      ----      ----      -.43    +.07                   -.50
JUN18      ----      ----      ----      ----       .63    +.17                    .46
DEC18      ----      ----      ----      ----       .73    +.11                    .62
JUN19      ----      ----      ----      ----       .53    +.08                    .45
DEC19      ----      ----      ----      ----       .42    +.06                    .36
JUN20      ----      ----      ----      ----       .19    +.07                    .12
DEC20      ----      ----      ----      ----       .14    +.05                    .09
JUN21      ----      ----      ----      ----       .04    +.03                    .01
DEC21      ----      ----      ----      ----      -.09    UNCH                   -.09
JUN22      ----      ----      ----      ----      -.17    UNCH                   -.17
DEC22      ----      ----      ----      ----      -.19    UNCH                   -.19
JUN23      ----      ----      ----      ----      -.27    UNCH                   -.27
4RB RBOB 3:15 2 MINUTE TAM SYNTHETIC LONDON FUTURE
NOV17      ----      ----      ----      ----    1.6193  +.0004                 1.6189
5A WTI OIL CS3 SYNTHT
NOV17      ----      ----      ----      ----      -.62    +.03                   -.65
DEC17      ----      ----      ----      ----      -.45    +.03                   -.48
6A WTI OIL CS2 SYNTHT
NOV17      ----      ----      ----      ----      -.47    +.02                   -.49
DEC17      ----      ----      ----      ----      -.35    +.02                   -.37
JAN18      ----      ----      ----      ----      -.25    +.02                   -.27
6CE Chicago Ethanol (Platts) Calendar Spread Option -
NOV17      ----      ----      ----      ----      ----    UNCH                 -.0425
DEC17      ----      ----      ----      ----      ----    UNCH                 -.0625
JAN18      ----      ----      ----      ----      ----    UNCH                 -.0825
FEB18      ----      ----      ----      ----      ----    UNCH                 -.0725
MAR18      ----      ----      ----      ----      ----    UNCH                 -.0525
APR18      ----      ----      ----      ----      ----    UNCH                 -.0175
MAY18      ----      ----      ----      ----      ----    UNCH                  .0075
6T In Delivery Month European Union Allowance (EUA) F
DEC17      ----      ----      ----      ----    7.3600  +.0400                 7.3200                    6900
DEC18      ----      ----      ----      ----    7.3900  +.0400                 7.3500                    3698
DEC19      ----      ----      ----      ----    7.4700  +.0400                 7.4300
DEC20      ----      ----      ----      ----    7.5500  +.0300                 7.5200
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                                                    10598
A2 WTI OIL CS1 SYNTHT
NOV17      ----      ----      ----      ----      -.27    +.01                   -.28
DEC17      ----      ----      ----      ----      -.20    +.01                   -.21
JAN18      ----      ----      ----      ----      -.15    +.01                   -.16
FEB18      ----      ----      ----      ----      -.10    +.01                   -.11
MAR18      ----      ----      ----      ----      -.04    +.01                   -.05
APR18      ----      ----      ----      ----       .01    +.01                    .00
MAY18      ----      ----      ----      ----       .05    +.02                    .03
JUN18      ----      ----      ----      ----       .10    +.04                    .06
JLY18      ----      ----      ----      ----       .11    +.04                    .07
AUG18      ----      ----      ----      ----       .11    +.02                    .09
SEP18      ----      ----      ----      ----       .11    +.03                    .08
OCT18      ----      ----      ----      ----       .10    +.02                    .08
NOV18      ----      ----      ----      ----       .10    +.02                    .08
DEC18      ----      ----      ----      ----       .15    +.03                    .12
JAN19      ----      ----      ----      ----       .14    +.02                    .12
FEB19      ----      ----      ----      ----       .13    +.01                    .12
MAR19      ----      ----      ----      ----       .11    +.01                    .10
APR19      ----      ----      ----      ----       .12    +.02                    .10
