W Wheat Futures
DEC16     409'0     412'0     404'4     410'0     410'2    +2'2       55696      408'0       53488      129941
MAR17     425'6     429'6     421'2     426'4     427'0    +1'6       58935      425'2       47836      237706
MAY17     439'4     443'4     436'0     440'0B    440'4    +1'4       12061      439'0       12030       51222
JLY17     453'0     457'4     450'6     454'2     454'6    +1'0        7342      453'6        6164       59236
SEP17     469'6     472'2     466'0A    468'4     469'2     +'6         623      468'4         879       10527
DEC17     490'0     490'4     484'4A    487'0A    487'6     +'4         894      487'2        2129       19056
MAR18     500'6     501'4     498'2     499'0     498'4    UNCH          92      498'4          73        3194
MAY18     508'4     508'4     508'4     508'4     506'6     +'4          73      506'2          36         250
JLY18     512'4     512'4     512'4     512'4     513'4    +3'2          41      510'2           2         196
SEP18     527'0     527'0     527'0     527'0     527'2    +3'0           2      524'2           2         171
DEC18     544'0     544'0     542'6     544'0     546'2    +3'2         157      543'0           5         120
MAR19      ----     555'0B     ----     555'0B    555'4    +5'0                  550'4
3850       ----      ----      ----      ----      70'2     +'7                   69'3
3900       ----      ----      ----      ----      65'5    +1'0                   64'5
3950       ----      ----      ----      ----      61'0     +'7                   60'1
4000       ----      ----      ----      ----      56'4     +'6                   55'6
4050       ----      ----      ----      ----      52'1     +'6                   51'3
4100       ----      ----      ----      ----      48'0     +'6                   47'2
4150       ----      ----      ----      ----      44'0     +'5                   43'3
4200       ----      ----      ----      ----      40'2     +'5                   39'5
4250       ----      ----      ----      ----      36'5     +'4                   36'1
4300       ----      ----      ----      ----      33'2     +'3                   32'7
4350       ----      ----      ----      ----      30'1     +'4                   29'5
4400       ----      ----      ----      ----      27'1     +'3                   26'6
4450       ----      ----      ----      ----      24'2     +'2                   24'0
4500       ----      ----      ----      ----      21'6     +'3                   21'3
4550       ----      ----      ----      ----      19'3     +'2                   19'1
4600       ----      ----      ----      ----      17'2     +'2                   17'0
4650       ----      ----      ----      ----      15'2     +'1                   15'1
4700       ----      ----      ----      ----      13'4     +'1                   13'3
4750       ----      ----      ----      ----      12'0     +'1                   11'7
4800       ----      ----      ----      ----      10'4    UNCH                   10'4
4850       ----      ----      ----      ----       9'2    UNCH                    9'2
4900       ----      ----      ----      ----       8'1    UNCH                    8'1
4950       ----      ----      ----      ----       7'1    UNCH                    7'1
5000       ----      ----      ----      ----       6'1     -'1                    6'2
5050       ----      ----      ----      ----       5'3     -'1                    5'4
5100       ----      ----      ----      ----       4'6     -'1                    4'7
5150       ----      ----      ----      ----       4'1     -'1                    4'2
5200       ----      ----      ----      ----       3'5     -'1                    3'6
5250       ----      ----      ----      ----       3'1     -'1                    3'2
5300       ----      ----      ----      ----       2'6     -'1                    2'7
5350       ----      ----      ----      ----       2'3     -'1                    2'4
5400       ----      ----      ----      ----       2'1     -'1                    2'2
5450       ----      ----      ----      ----       1'7     -'1                    2'0
5500       ----      ----      ----      ----       1'5     -'1                    1'6
5550       ----      ----      ----      ----       1'3     -'1                    1'4
5600       ----      ----      ----      ----       1'2     -'1                    1'3
5650       ----      ----      ----      ----       1'1     -'1                    1'2
5700       ----      ----      ----      ----       1'0    UNCH                    1'0
5750       ----      ----      ----      ----        '7    UNCH                     '7
5800       ----      ----      ----      ----        '6     -'1                     '7
5850       ----      ----      ----      ----        '5     -'1                     '6
5900       ----      ----      ----      ----        '5    UNCH                     '5
5950       ----      ----      ----      ----        '4    UNCH                     '4
6000       ----      ----      ----      ----        '3     -'1                     '4
6050       ----      ----      ----      ----        '3    UNCH                     '3
6100       ----      ----      ----      ----        '3    UNCH                     '3
6150       ----      ----      ----      ----        '3    UNCH                     '3
6200       ----      ----      ----      ----        '2    UNCH                     '2
6250       ----      ----      ----      ----        '2    UNCH                     '2
6300       ----      ----      ----      ----        '2    UNCH                     '2
6350       ----      ----      ----      ----        '2    UNCH                     '2
6400       ----      ----      ----      ----        '2    UNCH                     '2
6450       ----      ----      ----      ----        '1    UNCH                     '1
6500       ----      ----      ----      ----        '1    UNCH                     '1
6550       ----      ----      ----      ----        '1    UNCH                     '1
6600       ----      ----      ----      ----        '1    UNCH                     '1
6650       ----      ----      ----      ----        '1    UNCH                     '1
6700       ----      ----      ----      ----        '1    UNCH                     '1
6750       ----      ----      ----      ----        '1    UNCH                     '1
6800       ----      ----      ----      ----        '1    UNCH                     '1
6850       ----      ----      ----      ----        '1    UNCH                     '1
6900       ----      ----      ----      ----        '1    UNCH                     '1
6950       ----      ----      ----      ----        '1    UNCH                     '1
7000       ----      ----      ----      ----        '1    UNCH                     '1
7050       ----      ----      ----      ----        '1    UNCH                     '1
7100       ----      ----      ----      ----        '1    UNCH                     '1
7150       ----      ----      ----      ----        '1    UNCH                     '1
7200       ----      ----      ----      ----        '1    UNCH                     '1
7250       ----      ----      ----      ----        '1    UNCH                     '1
7300       ----      ----      ----      ----        '1    UNCH                     '1

WDF DEC16 Short-Dated New Crop Wheat Option PUT
3300       ----      ----      ----      ----        '1    UNCH                     '1
3350       ----      ----      ----      ----        '1    UNCH                     '1
3400       ----      ----      ----      ----        '1    UNCH                     '1
3450       ----      ----      ----      ----        '1    UNCH                     '1
3500       ----      ----      ----      ----        '1    UNCH                     '1
3550       ----      ----      ----      ----        '1    UNCH                     '1
3600       ----      ----      ----      ----        '1    UNCH                     '1
3650       ----      ----      ----      ----        '1    UNCH                     '1
3700       ----      ----      ----      ----        '1    UNCH                     '1
3750       ----      ----      ----      ----        '1    UNCH                     '1
3800       ----      ----      ----      ----        '1    UNCH                     '1
3850       ----      ----      ----      ----        '1    UNCH                     '1
3900       ----      ----      ----      ----        '1    UNCH                     '1
3950       ----      ----      ----      ----        '1    UNCH                     '1
4000       ----      ----      ----      ----        '1    UNCH                     '1
4050       ----      ----      ----      ----        '1    UNCH                     '1
4100       ----      ----      ----      ----        '1    UNCH                     '1
4150       ----      ----      ----      ----        '1    UNCH                     '1
4200       ----      ----      ----      ----        '1    UNCH                     '1
4250       ----      ----      ----      ----        '2    UNCH                     '2
4300       ----      ----      ----      ----        '3    UNCH                     '3
4350       ----      ----      ----      ----        '4     -'1                     '5
4400       ----      ----      ----      ----        '6     -'3                    1'1
4450       ----      ----      ----      ----       1'3     -'7                    2'2
4500       ----      ----      ----      ----       2'4    -1'4          35        4'0                      35
4550       ----      ----      ----      ----       4'4    -1'7                    6'3
4600       ----      ----      ----      ----       7'4    -1'7                    9'3
4650       ----      ----      ----      ----      11'3    -1'5                   13'0
4700       ----      ----      ----      ----      15'7    -1'3                   17'2
4750       ----      ----      ----      ----      20'5    -1'2                   21'7
4800       ----      ----      ----      ----      25'4    -1'1                   26'5
4850       ----      ----      ----      ----      30'3    -1'1                   31'4
4900       ----      ----      ----      ----      35'3    -1'0                   36'3
4950       ----      ----      ----      ----      40'3    -1'0                   41'3
5000       ----      ----      ----      ----      45'3    -1'0                   46'3
5050       ----      ----      ----      ----      50'3    -1'0                   51'3
5100       ----      ----      ----      ----      55'3    -1'0                   56'3
5150       ----      ----      ----      ----      60'3    -1'0                   61'3
5200       ----      ----      ----      ----      65'3    -1'0                   66'3
5250       ----      ----      ----      ----      70'3    -1'0                   71'3
5300       ----      ----      ----      ----      75'3    -1'0                   76'3
5350       ----      ----      ----      ----      80'3    -1'0                   81'3
5400       ----      ----      ----      ----      85'3    -1'0                   86'3
5450       ----      ----      ----      ----      90'3    -1'0                   91'3
5500       ----      ----      ----      ----      95'3    -1'0                   96'3
5550       ----      ----      ----      ----     100'3    -1'0                  101'3
5600       ----      ----      ----      ----     105'3    -1'0                  106'3
5650       ----      ----      ----      ----     110'3    -1'0                  111'3
5700       ----      ----      ----      ----     115'3    -1'0                  116'3
5750       ----      ----      ----      ----     120'3    -1'0                  121'3
5800       ----      ----      ----      ----     125'3    -1'0                  126'3
5850       ----      ----      ----      ----     130'3    -1'0                  131'3
5900       ----      ----      ----      ----     135'3    -1'0                  136'3
5950       ----      ----      ----      ----     140'3    -1'0                  141'3
6000       ----      ----      ----      ----     145'3    -1'0                  146'3
6050       ----      ----      ----      ----     150'3    -1'0                  151'3
6100       ----      ----      ----      ----     155'3    -1'0                  156'3
6150       ----      ----      ----      ----     160'3    -1'0                  161'3
6200       ----      ----      ----      ----     165'3    -1'0                  166'3
6250       ----      ----      ----      ----     170'3    -1'0                  171'3
6300       ----      ----      ----      ----     175'3    -1'0                  176'3
6350       ----      ----      ----      ----     180'3    -1'0                  181'3
6400       ----      ----      ----      ----     185'3    -1'0                  186'3
6450       ----      ----      ----      ----     190'3    -1'0                  191'3
6500       ----      ----      ----      ----     195'3    -1'0                  196'3
6550       ----      ----      ----      ----     200'3    -1'0                  201'3
