                PRELIMINARY PRICES AS OF 12/20/18 09:30 AM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
JAN19      ----      ----      ----      ----      ----    UNCH                 -.0400
FEB19      ----      ----      ----      ----      ----    UNCH                 -.0250
MAR19      ----      ----      ----      ----      ----    UNCH                 -.0225
APR19      ----      ----      ----      ----      ----    UNCH                 -.0150
MAY19      ----      ----      ----      ----      ----    UNCH                 -.0075
JUN19      ----      ----      ----      ----      ----    UNCH                 -.0075
JLY19      ----      ----      ----      ----      ----    UNCH                  .0000
AUG19      ----      ----      ----      ----      ----    UNCH                  .0000
SEP19      ----      ----      ----      ----      ----    UNCH                  .0025
OCT19      ----      ----      ----      ----      ----    UNCH                  .0025
NOV19      ----      ----      ----      ----      ----    UNCH                  .0025
2CE Chicago Ethanol (Platts) Calendar Spread Option -
JAN19      ----      ----      ----      ----      ----    UNCH                 -.0650
FEB19      ----      ----      ----      ----      ----    UNCH                 -.0475
MAR19      ----      ----      ----      ----      ----    UNCH                 -.0375
APR19      ----      ----      ----      ----      ----    UNCH                 -.0225
MAY19      ----      ----      ----      ----      ----    UNCH                 -.0150
JUN19      ----      ----      ----      ----      ----    UNCH                 -.0075
JLY19      ----      ----      ----      ----      ----    UNCH                  .0000
AUG19      ----      ----      ----      ----      ----    UNCH                  .0025
SEP19      ----      ----      ----      ----      ----    UNCH                  .0050
OCT19      ----      ----      ----      ----      ----    UNCH                  .0050
2RB RBOB TAM SYNTHETIC LONDON FUTURE
JAN19      ----      ----      ----      ----      ----    UNCH                 1.3955
FEB19      ----      ----      ----      ----      ----    UNCH                 1.3851
MAR19      ----      ----      ----      ----      ----    UNCH                 1.3982
3A WTI OIL CS12SYNTHT
FEB19      ----      ----      ----      ----      ----    UNCH                  -2.59
MAR19      ----      ----      ----      ----      ----    UNCH                  -2.32
APR19      ----      ----      ----      ----      ----    UNCH                  -2.03
MAY19      ----      ----      ----      ----      ----    UNCH                  -1.69
JUN19      ----      ----      ----      ----      ----    UNCH                  -1.40
JLY19      ----      ----      ----      ----      ----    UNCH                  -1.09
AUG19      ----      ----      ----      ----      ----    UNCH                   -.87
SEP19      ----      ----      ----      ----      ----    UNCH                   -.73
OCT19      ----      ----      ----      ----      ----    UNCH                   -.63
NOV19      ----      ----      ----      ----      ----    UNCH                   -.56
DEC19      ----      ----      ----      ----      ----    UNCH                   -.55
JAN20      ----      ----      ----      ----      ----    UNCH                   -.49
FEB20      ----      ----      ----      ----      ----    UNCH                   -.43
MAR20      ----      ----      ----      ----      ----    UNCH                   -.38
JUN20      ----      ----      ----      ----      ----    UNCH                   -.30
SEP20      ----      ----      ----      ----      ----    UNCH                   -.28
DEC20      ----      ----      ----      ----      ----    UNCH                   -.19
MAR21      ----      ----      ----      ----      ----    UNCH                   -.13
JUN21      ----      ----      ----      ----      ----    UNCH                   -.08
SEP21      ----      ----      ----      ----      ----    UNCH                   -.10
DEC21      ----      ----      ----      ----      ----    UNCH                   -.11
3CE Chicago Ethanol (Platts) Calendar Spread Option -
JAN19      ----      ----      ----      ----      ----    UNCH                 -.0875
FEB19      ----      ----      ----      ----      ----    UNCH                 -.0625
MAR19      ----      ----      ----      ----      ----    UNCH                 -.0450
APR19      ----      ----      ----      ----      ----    UNCH                 -.0300
MAY19      ----      ----      ----      ----      ----    UNCH                 -.0150
JUN19      ----      ----      ----      ----      ----    UNCH                 -.0075
JLY19      ----      ----      ----      ----      ----    UNCH                  .0025
AUG19      ----      ----      ----      ----      ----    UNCH                  .0050
SEP19      ----      ----      ----      ----      ----    UNCH                  .0075
4A WTI OIL CS6 SYNTHT
FEB19      ----      ----      ----      ----      ----    UNCH                  -1.92
MAR19      ----      ----      ----      ----      ----    UNCH                  -1.78
APR19      ----      ----      ----      ----      ----    UNCH                  -1.59
MAY19      ----      ----      ----      ----      ----    UNCH                  -1.36
JUN19      ----      ----      ----      ----      ----    UNCH                  -1.10
JLY19      ----      ----      ----      ----      ----    UNCH                   -.86
AUG19      ----      ----      ----      ----      ----    UNCH                   -.67
SEP19      ----      ----      ----      ----      ----    UNCH                   -.54
OCT19      ----      ----      ----      ----      ----    UNCH                   -.44
NOV19      ----      ----      ----      ----      ----    UNCH                   -.33
DEC19      ----      ----      ----      ----      ----    UNCH                   -.30
JAN20      ----      ----      ----      ----      ----    UNCH                   -.23
FEB20      ----      ----      ----      ----      ----    UNCH                   -.20
JUN20      ----      ----      ----      ----      ----    UNCH                   -.25
DEC20      ----      ----      ----      ----      ----    UNCH                   -.05
JUN21      ----      ----      ----      ----      ----    UNCH                   -.14
DEC21      ----      ----      ----      ----      ----    UNCH                    .06
4RB RBOB 3:15 2 MINUTE TAM SYNTHETIC LONDON FUTURE
JAN19      ----      ----      ----      ----      ----    UNCH                 1.3720
5A WTI OIL CS3 SYNTHT
FEB19      ----      ----      ----      ----      ----    UNCH                  -1.03
MAR19      ----      ----      ----      ----      ----    UNCH                  -1.06
APR19      ----      ----      ----      ----      ----    UNCH                  -1.02
MAY19      ----      ----      ----      ----      ----    UNCH                   -.89
JUN19      ----      ----      ----      ----      ----    UNCH                   -.72
JLY19      ----      ----      ----      ----      ----    UNCH                   -.57
AUG19      ----      ----      ----      ----      ----    UNCH                   -.47
SEP19      ----      ----      ----      ----      ----    UNCH                   -.38
OCT19      ----      ----      ----      ----      ----    UNCH                   -.29
NOV19      ----      ----      ----      ----      ----    UNCH                   -.20
DEC19      ----      ----      ----      ----      ----    UNCH                   -.16
JAN20      ----      ----      ----      ----      ----    UNCH                   -.15
6A WTI OIL CS2 SYNTHT
FEB19      ----      ----      ----      ----      ----    UNCH                   -.66
MAR19      ----      ----      ----      ----      ----    UNCH                   -.71
APR19      ----      ----      ----      ----      ----    UNCH                   -.72
MAY19      ----      ----      ----      ----      ----    UNCH                   -.65
JUN19      ----      ----      ----      ----      ----    UNCH                   -.54
JLY19      ----      ----      ----      ----      ----    UNCH                   -.42
AUG19      ----      ----      ----      ----      ----    UNCH                   -.33
SEP19      ----      ----      ----      ----      ----    UNCH                   -.29
OCT19      ----      ----      ----      ----      ----    UNCH                   -.23
NOV19      ----      ----      ----      ----      ----    UNCH                   -.15
DEC19      ----      ----      ----      ----      ----    UNCH                   -.11
JAN20      ----      ----      ----      ----      ----    UNCH                   -.10
6CE Chicago Ethanol (Platts) Calendar Spread Option -
JAN19      ----      ----      ----      ----      ----    UNCH                 -.1175
FEB19      ----      ----      ----      ----      ----    UNCH                 -.0775
MAR19      ----      ----      ----      ----      ----    UNCH                 -.0525
APR19      ----      ----      ----      ----      ----    UNCH                 -.0275
