                PRELIMINARY PRICES AS OF 07/09/18 02:16 PM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
1CE Chicago Ethanol (Platts) Calendar Spread Option -
AUG18      ----      ----      ----      ----      ----    UNCH                  .0025
SEP18      ----      ----      ----      ----      ----    UNCH                  .0075
OCT18      ----      ----      ----      ----      ----    UNCH                  .0100
NOV18      ----      ----      ----      ----      ----    UNCH                  .0125
DEC18      ----      ----      ----      ----      ----    UNCH                  .0100
JAN19      ----      ----      ----      ----      ----    UNCH                 -.0075
FEB19      ----      ----      ----      ----      ----    UNCH                 -.0150
MAR19      ----      ----      ----      ----      ----    UNCH                 -.0175
APR19      ----      ----      ----      ----      ----    UNCH                 -.0150
MAY19      ----      ----      ----      ----      ----    UNCH                 -.0150
JUN19      ----      ----      ----      ----      ----    UNCH                 -.0050
AUG19      ----      ----      ----      ----      ----    UNCH                  .0300
2CE Chicago Ethanol (Platts) Calendar Spread Option -
AUG18      ----      ----      ----      ----      ----    UNCH                  .0100
SEP18      ----      ----      ----      ----      ----    UNCH                  .0175
OCT18      ----      ----      ----      ----      ----    UNCH                  .0225
NOV18      ----      ----      ----      ----      ----    UNCH                  .0225
DEC18      ----      ----      ----      ----      ----    UNCH                  .0025
JAN19      ----      ----      ----      ----      ----    UNCH                 -.0225
FEB19      ----      ----      ----      ----      ----    UNCH                 -.0325
MAR19      ----      ----      ----      ----      ----    UNCH                 -.0325
APR19      ----      ----      ----      ----      ----    UNCH                 -.0300
MAY19      ----      ----      ----      ----      ----    UNCH                 -.0200
2RB RBOB TAM SYNTHETIC LONDON FUTURE
AUG18      ----      ----      ----      ----    2.1393  +.0207                 2.1186
SEP18      ----      ----      ----      ----    2.1184  +.0211                 2.0973
OCT18      ----      ----      ----      ----    2.0067  +.0214                 1.9853
3A WTI OIL CS12SYNTHT
AUG18      ----      ----      ----      ----      8.49    -.50                   8.99
SEP18      ----      ----      ----      ----      7.00    -.13                   7.13
OCT18      ----      ----      ----      ----      5.22    +.19                   5.03
NOV18      ----      ----      ----      ----      4.93    +.21                   4.72
DEC18      ----      ----      ----      ----      4.75    +.19                   4.56
JAN19      ----      ----      ----      ----      4.69    +.19                   4.50
FEB19      ----      ----      ----      ----      4.51    +.16                   4.35
MAR19      ----      ----      ----      ----      4.39    +.16                   4.23
APR19      ----      ----      ----      ----      4.28    +.16                   4.12
MAY19      ----      ----      ----      ----      4.20    +.16                   4.04
JUN19      ----      ----      ----      ----      4.12    +.16                   3.96
JLY19      ----      ----      ----      ----      4.01    +.15                   3.86
AUG19      ----      ----      ----      ----      3.88    +.15                   3.73
SEP19      ----      ----      ----      ----      3.78    +.13                   3.65
DEC19      ----      ----      ----      ----      3.51    +.19                   3.32
MAR20      ----      ----      ----      ----      3.18    +.17                   3.01
JUN20      ----      ----      ----      ----      2.99    +.15                   2.84
SEP20      ----      ----      ----      ----      2.88    +.24                   2.64
DEC20      ----      ----      ----      ----      2.64    +.12                   2.52
MAR21      ----      ----      ----      ----      2.47    +.11                   2.36
JUN21      ----      ----      ----      ----      2.21    +.11                   2.10
3CE Chicago Ethanol (Platts) Calendar Spread Option -
AUG18      ----      ----      ----      ----      ----    UNCH                  .0200
SEP18      ----      ----      ----      ----      ----    UNCH                  .0300
OCT18      ----      ----      ----      ----      ----    UNCH                  .0325
NOV18      ----      ----      ----      ----      ----    UNCH                  .0150
DEC18      ----      ----      ----      ----      ----    UNCH                 -.0125
JAN19      ----      ----      ----      ----      ----    UNCH                 -.0400
FEB19      ----      ----      ----      ----      ----    UNCH                 -.0475
MAR19      ----      ----      ----      ----      ----    UNCH                 -.0475
APR19      ----      ----      ----      ----      ----    UNCH                 -.0350
4A WTI OIL CS6 SYNTHT
AUG18      ----      ----      ----      ----      6.05    -.61                   6.66
SEP18      ----      ----      ----      ----      4.64    -.22                   4.86
OCT18      ----      ----      ----      ----      2.93    +.09                   2.84
NOV18      ----      ----      ----      ----      2.68    +.12                   2.56
DEC18      ----      ----      ----      ----      2.58    +.13                   2.45
JAN19      ----      ----      ----      ----      2.57    +.14                   2.43
FEB19      ----      ----      ----      ----      2.44    +.11                   2.33
MAR19      ----      ----      ----      ----      2.36    +.09                   2.27
APR19      ----      ----      ----      ----      2.29    +.10                   2.19
MAY19      ----      ----      ----      ----      2.25    +.09                   2.16
JUN19      ----      ----      ----      ----      2.17    +.06                   2.11
JLY19      ----      ----      ----      ----      2.12    +.05                   2.07
AUG19      ----      ----      ----      ----      2.07    +.05                   2.02
SEP19      ----      ----      ----      ----      2.03    +.07                   1.96
DEC19      ----      ----      ----      ----      1.95    +.10                   1.85
JUN20      ----      ----      ----      ----      1.56    +.09                   1.47
DEC20      ----      ----      ----      ----      1.43    +.06                   1.37
JUN21      ----      ----      ----      ----      1.21    +.06                   1.15
4RB RBOB 3:15 2 MINUTE TAM SYNTHETIC LONDON FUTURE
AUG18      ----      ----      ----      ----    2.1534  +.0451                 2.1083
5A WTI OIL CS3 SYNTHT
AUG18      ----      ----      ----      ----      4.63    -.67                   5.30
SEP18      ----      ----      ----      ----      3.23    -.30                   3.53
OCT18      ----      ----      ----      ----      1.53    +.01                   1.52
NOV18      ----      ----      ----      ----      1.42    +.06                   1.36
DEC18      ----      ----      ----      ----      1.41    +.08                   1.33
JAN19      ----      ----      ----      ----      1.40    +.08                   1.32
FEB19      ----      ----      ----      ----      1.26    +.06                   1.20
MAR19      ----      ----      ----      ----      1.17    +.05                   1.12
APR19      ----      ----      ----      ----      1.17    +.06                   1.11
MAY19      ----      ----      ----      ----      1.18    +.05                   1.13
JUN19      ----      ----      ----      ----      1.19    +.04                   1.15
JLY19      ----      ----      ----      ----      1.12    +.04                   1.08
AUG19      ----      ----      ----      ----      1.07    +.04                   1.03
6A WTI OIL CS2 SYNTHT
AUG18      ----      ----      ----      ----      4.00    -.66                   4.66
SEP18      ----      ----      ----      ----      2.76    -.31                   3.07
OCT18      ----      ----      ----      ----      1.10    UNCH                   1.10
NOV18      ----      ----      ----      ----       .90    +.02                    .88
DEC18      ----      ----      ----      ----       .95    +.05                    .90
JAN19      ----      ----      ----      ----       .98    +.07                    .91
FEB19      ----      ----      ----      ----       .88    +.04                    .84
MAR19      ----      ----      ----      ----       .80    +.03                    .77
APR19      ----      ----      ----      ----       .75    +.04                    .71
MAY19      ----      ----      ----      ----       .79    +.04                    .75
JUN19      ----      ----      ----      ----       .81    +.03                    .78
JLY19      ----      ----      ----      ----       .77    +.02                    .75
AUG19      ----      ----      ----      ----       .73    +.03                    .70
6CE Chicago Ethanol (Platts) Calendar Spread Option -
AUG18      ----      ----      ----      ----      ----    UNCH                  .0350
