W Wheat Futures
DEC16     376'4     379'6     369'4     370'2     371'4    -9'0        1517      380'4        4932        2221
MAR17     402'6     404'4     393'0     395'6     395'4    -7'2       85545      402'6       77050      279514
MAY17     416'0     418'4     406'4     408'6     408'6    -6'6       21344      415'4       19500       64030
JLY17     431'0     434'0     422'0     423'6     424'0    -7'2       16342      431'2       12164       65202
SEP17     447'4     449'6     438'2     439'6     440'0    -7'2        2000      447'2        3773       11562
DEC17     465'2     469'2     457'2     459'2B    459'4    -6'0        3399      465'4        2208       20763
MAR18     478'2     478'2     472'4     472'4     472'6    -5'6         169      478'4         409        3546
MAY18     489'6     489'6     486'4A    486'4A    482'4    -5'4          18      488'0          61         360
JLY18     502'0     502'0     490'6     491'2B    491'2    -6'0          31      497'2         134         408
SEP18     517'4     517'4     517'4     517'4     506'4    -6'4           8      513'0          48         279
DEC18     535'0     535'0     534'0     534'0     526'4    -7'2           4      533'6          67         311
MAR19     542'0     542'0     542'0     542'0     543'0    -4'6           1      547'6          20          67
MAY19      ----      ----      ----      ----     547'0     -'6                  547'6
JLY19      ----      ----      ----      ----     527'0     -'6                  527'6                       1

WDF MAR17 Short-Dated New Crop Wheat Option CALL
3800       ----      ----      ----      ----       2'1     +'7                    1'2
3850       ----      ----      ----      ----       3'0    +1'1                    1'7
3900       ----      ----      ----      ----       4'0    +1'3                    2'5
3950       ----      ----      ----      ----       5'2    +1'5                    3'5
4000       ----       4'7B     ----      ----       6'7    +2'1                    4'6
4050       ----       6'6B     ----      ----       8'5    +2'4                    6'1
4100       ----       7'7B     ----      ----      10'5    +3'0                    7'5
4150       ----      10'0B     ----      ----      13'0    +3'4                    9'4
4200       ----      ----      ----      ----      15'4    +4'0                   11'4
4250       ----      ----      ----      ----      18'1    +4'3                   13'6
4300       ----      ----      ----      ----      21'1    +4'7                   16'2
4350       ----      ----      ----      ----      24'2    +5'1                   19'1
4400       ----      ----      ----      ----      27'5    +5'4                   22'1
4450       ----      ----      ----      ----      31'1    +5'6                   25'3
4500       ----      ----      ----      ----      34'6    +5'7                   28'7
4550       ----      ----      ----      ----      38'5    +6'1                   32'4
4600       ----      ----      ----      ----      42'4    +6'2                   36'2
4650       ----      ----      ----      ----      46'5    +6'4                   40'1
4700       ----      ----      ----      ----      50'7    +6'5                   44'2
4750       ----      ----      ----      ----      55'2    +6'7                   48'3
4800       ----      ----      ----      ----      59'5    +6'7                   52'6
4850       ----      ----      ----      ----      64'1    +7'0                   57'1
4900       ----      ----      ----      ----      68'6    +7'1                   61'5
4950       ----      ----      ----      ----      73'3    +7'2                   66'1
5000       ----      ----      ----      ----      78'1    +7'3                   70'6
5050       ----      ----      ----      ----      82'7    +7'3                   75'4
5100       ----      ----      ----      ----      87'5    +7'3                   80'2
5150       ----      ----      ----      ----      92'3    +7'3                   85'0
5200       ----      ----      ----      ----      97'1    +7'3                   89'6
5250       ----      ----      ----      ----     102'0    +7'3                   94'5
5300       ----      ----      ----      ----     106'7    +7'3                   99'4                      50
5350       ----      ----      ----      ----     111'6    +7'3                  104'3
5400       ----      ----      ----      ----     116'5    +7'3                  109'2                      26
5450       ----      ----      ----      ----     121'5    +7'4                  114'1
5500       ----      ----      ----      ----     126'4    +7'4                  119'0
5550       ----      ----      ----      ----     131'3    +7'3                  124'0
5600       ----      ----      ----      ----     136'2    +7'2                  129'0
5650       ----      ----      ----      ----     141'2    +7'3                  133'7
5700       ----      ----      ----      ----     146'2    +7'3                  138'7
5750       ----      ----      ----      ----     151'2    +7'3                  143'7
5800       ----      ----      ----      ----     156'1    +7'2                  148'7
5850       ----      ----      ----      ----     161'1    +7'3                  153'6
5900       ----      ----      ----      ----     166'1    +7'3                  158'6
5950       ----      ----      ----      ----     171'1    +7'3                  163'6
6000       ----      ----      ----      ----     176'1    +7'3                  168'6
6050       ----      ----      ----      ----     181'1    +7'3                  173'6
6100       ----      ----      ----      ----     186'0    +7'2                  178'6
6150       ----      ----      ----      ----     191'0    +7'2                  183'6
6200       ----      ----      ----      ----     196'0    +7'2                  188'6
6250       ----      ----      ----      ----     201'0    +7'2                  193'6
6300       ----      ----      ----      ----     206'0    +7'2                  198'6
6350       ----      ----      ----      ----     211'0    +7'2                  203'6
6400       ----      ----      ----      ----     216'0    +7'2                  208'6
6450       ----      ----      ----      ----     221'0    +7'2                  213'6
6500       ----      ----      ----      ----     226'0    +7'2                  218'6
6550       ----      ----      ----      ----     231'0    +7'2                  223'6
6600       ----      ----      ----      ----     236'0    +7'2                  228'6
6650       ----      ----      ----      ----     241'0    +7'2                  233'6
6700       ----      ----      ----      ----     246'0    +7'2                  238'6
6750       ----      ----      ----      ----     251'0    +7'2                  243'6
6800       ----      ----      ----      ----     256'0    +7'2                  248'6
6850       ----      ----      ----      ----     261'0    +7'2                  253'6
6900       ----      ----      ----      ----     266'0    +7'2                  258'6
6950       ----      ----      ----      ----     271'0    +7'2                  263'6
7000       ----      ----      ----      ----     276'0    +7'2                  268'6
7050       ----      ----      ----      ----     281'0    +7'2                  273'6
7100       ----      ----      ----      ----     286'0    +7'2                  278'6
7150       ----      ----      ----      ----     291'0    +7'2                  283'6
7200       ----      ----      ----      ----     296'0    +7'2                  288'6
7250       ----      ----      ----      ----     301'0    +7'2                  293'6
7300       ----      ----      ----      ----     306'0    +7'2                  298'6

WZ JAN17 Wheat Options CALL
3050       ----      ----      ----      ----      90'5    UNCH                   ----
3100       ----      ----      84'5A     ----      85'5    -7'2                   92'7
3150       ----      ----      79'4A     ----      80'5    -7'2                   87'7
3200       ----      ----      74'5A     ----      75'5    -7'2                   82'7
3250       ----      ----      69'5A     ----      70'5    -7'2                   77'7
3300       ----      ----      64'4A     ----      65'5    -7'2                   72'7
3350       ----      ----      59'5A     ----      60'5    -7'2                   67'7
3400       ----      ----      54'5A     ----      55'5    -7'2                   62'7
3450       ----      ----      49'4A     ----      50'5    -7'2                   57'7
3500       ----      ----      44'5A     ----      45'5    -7'2                   52'7
3550       ----      ----      39'6A     ----      40'5    -7'2                   47'7
3600       ----      ----      34'6A     ----      35'6    -7'2                   43'0
3650       ----      ----      30'0A     ----      30'7    -7'1                   38'0
3700       ----      ----      25'2A     ----      26'1    -7'0                   33'1
3750       ----      28'3B     20'7A     ----      21'5    -6'5                   28'2
