W Wheat Futures
MAY17     430'2     431'2     419'6     422'6     421'0    -8'6       64851      429'6      102775      129253
3700       ----      ----      ----      ----        '1    UNCH                     '1
3750       ----      ----      ----      ----        '1    UNCH                     '1
3800       ----      ----      ----      ----        '1    UNCH                     '1
3850       ----      ----      ----      ----        '1    UNCH                     '1
3900       ----      ----      ----      ----        '1    UNCH                     '1
3950       ----      ----      ----      ----        '1    UNCH                     '1
4000       ----      ----      ----      ----        '1    UNCH                     '1
4050       ----      ----      ----      ----        '1    UNCH                     '1
4100       ----      ----      ----      ----        '1    UNCH                     '1
4150       ----      ----      ----      ----        '1    UNCH                     '1
4200       ----      ----      ----      ----        '1    UNCH                     '1
4250       ----      ----      ----      ----        '3     +'1                     '2
4300       ----      ----      ----      ----       1'1     +'4                     '5          45          20
4350       ----      ----      ----      ----       2'6    +1'3                    1'3
4400       ----      ----      ----      ----       5'5    +2'6                    2'7
4450       ----      ----      ----      ----       9'6    +4'3                    5'3
4500       ----      ----      ----      ----      14'4    +5'5                    8'7
4550       ----      ----      ----      ----      19'3    +6'3                   13'0
4600       ----      ----      ----      ----      24'3    +6'6                   17'5
4650       ----      ----      ----      ----      29'3    +6'7                   22'4
4700       ----      ----      ----      ----      34'3    +7'0                   27'3
4750       ----      ----      ----      ----      39'3    +7'0                   32'3
4800       ----      ----      ----      ----      44'3    +7'0                   37'3
4850       ----      ----      ----      ----      49'3    +7'0                   42'3
4900       ----      ----      ----      ----      54'3    +7'0                   47'3
4950       ----      ----      ----      ----      59'3    +7'0                   52'3
5000       ----      ----      ----      ----      64'3    +7'0                   57'3
5050       ----      ----      ----      ----      69'3    +7'0                   62'3
5100       ----      ----      ----      ----      74'3    +7'0                   67'3
5150       ----      ----      ----      ----      79'3    +7'0                   72'3
5200       ----      ----      ----      ----      84'3    +7'0                   77'3
5250       ----      ----      ----      ----      89'3    +7'0                   82'3
5300       ----      ----      ----      ----      94'3    +7'0                   87'3
5350       ----      ----      ----      ----      99'3    +7'0                   92'3
5400       ----      ----      ----      ----     104'3    +7'0                   97'3
5450       ----      ----      ----      ----     109'3    +7'0                  102'3
5500       ----      ----      ----      ----     114'3    +7'0                  107'3
5550       ----      ----      ----      ----     119'3    +7'0                  112'3
5600       ----      ----      ----      ----     124'3    +7'0                  117'3
5650       ----      ----      ----      ----     129'3    +7'0                  122'3
5700       ----      ----      ----      ----     134'3    +7'0                  127'3
5750       ----      ----      ----      ----     139'3    +7'0                  132'3
5800       ----      ----      ----      ----     144'3    +7'0                  137'3
5850       ----      ----      ----      ----     149'3    +7'0                  142'3
5900       ----      ----      ----      ----     154'3    +7'0                  147'3
5950       ----      ----      ----      ----     159'3    +7'0                  152'3
6000       ----      ----      ----      ----     164'3    +7'0                  157'3
6050       ----      ----      ----      ----     169'3    +7'0                  162'3
6100       ----      ----      ----      ----     174'3    +7'0                  167'3
6150       ----      ----      ----      ----     179'3    +7'0                  172'3
6200       ----      ----      ----      ----     184'3    +7'0                  177'3
6250       ----      ----      ----      ----     189'3    +7'0                  182'3
6300       ----      ----      ----      ----     194'3    +7'0                  187'3
6350       ----      ----      ----      ----     199'3    +7'0                  192'3
6400       ----      ----      ----      ----     204'3    +7'0                  197'3
6450       ----      ----      ----      ----     209'3    +7'0                  202'3
6500       ----      ----      ----      ----     214'3    +7'0                  207'3
6550       ----      ----      ----      ----     219'3    +7'0                  212'3
6600       ----      ----      ----      ----     224'3    +7'0                  217'3
6650       ----      ----      ----      ----     229'3    +7'0                  222'3
6700       ----      ----      ----      ----     234'3    +7'0                  227'3
6750       ----      ----      ----      ----     239'3    +7'0                  232'3
6800       ----      ----      ----      ----     244'3    +7'0                  237'3
6850       ----      ----      ----      ----     249'3    +7'0                  242'3
6900       ----      ----      ----      ----     254'3    +7'0                  247'3
6950       ----      ----      ----      ----     259'3    +7'0                  252'3
7000       ----      ----      ----      ----     264'3    +7'0                  257'3
7050       ----      ----      ----      ----     269'3    +7'0                  262'3
7100       ----      ----      ----      ----     274'3    +7'0                  267'3
7150       ----      ----      ----      ----     279'3    +7'0                  272'3
7200       ----      ----      ----      ----     284'3    +7'0                  277'3
7250       ----      ----      ----      ----     289'3    +7'0                  282'3
7300       ----      ----      ----      ----     294'3    +7'0                  287'3

WZ MAY17 Wheat Options CALL
1000       ----      ----      ----      ----     321'1    -8'6                  329'7
2100       ----      ----      ----      ----     211'1    -8'6                  219'7
2200       ----      ----      ----      ----     201'1    -8'6                  209'7
2300       ----      ----      ----      ----     191'1    -8'6                  199'7
2400       ----      ----      ----      ----     181'1    -8'6                  189'7
2500       ----      ----      ----      ----     171'1    -8'6                  179'7
2600       ----      ----      ----      ----     161'1    -8'6                  169'7
2700       ----      ----      ----      ----     151'1    -8'6                  159'7
2800       ----      ----      ----      ----     141'1    -8'6                  149'7
2900       ----      ----      ----      ----     131'1    -8'6                  139'7
3000       ----      ----      ----      ----     121'1    -8'6                  129'7
3100       ----      ----      ----      ----     111'1    -8'6                  119'7
3150       ----      ----      ----      ----     106'1    -8'6                  114'7
3200       ----      ----      ----      ----     101'1    -8'6                  109'7
3250       ----      ----      ----      ----      96'1    -8'6                  104'7
3300       ----      ----      ----      ----      91'1    -8'6                   99'7
3350       ----      ----      ----      ----      86'1    -8'6                   94'7
3400       ----      ----      ----      ----      81'1    -8'6                   89'7
3450       ----      ----      ----      ----      76'1    -8'6                   84'7
3500       ----      ----      ----      ----      71'1    -8'6                   79'7
3550       ----      ----      ----      ----      66'1    -8'6                   74'7
3600       ----      ----      61'4A     ----      61'1    -8'6                   69'7                     105
3650       ----      ----      ----      ----      56'1    -8'6                   64'7
3700       ----      ----      ----      ----      51'1    -8'6                   59'7                      55
3750       ----      ----      46'7A     ----      46'1    -8'6                   54'7
