SP   S&P 500 FUTURES
MAR19   2787.50   2796.50   2787.50   2792.00   2792.10   +8.10        8894    2784.00       13700       36358
JUN19   2790.40   2803.00   2785.70A  2797.50   2797.20   +8.20        4478    2789.00        7427       10465
2075       ----      ----      ----      ----    717.00   +8.00                 709.00
2080       ----      ----      ----      ----    712.00   +8.00                 704.00                       1
2085       ----      ----      ----      ----    707.00   +8.00                 699.00
2090       ----      ----      ----      ----    702.00   +8.00                 694.00
2095       ----      ----      ----      ----    697.00   +8.00                 689.00
2100       ----      ----      ----      ----    692.00   +8.00                 684.00
2105       ----      ----      ----      ----    687.00   +8.00                 679.00
2110       ----      ----      ----      ----    682.00   +8.00                 674.00
2115       ----      ----      ----      ----    677.00   +8.00                 669.00
2120       ----      ----      ----      ----    672.00   +8.00                 664.00
2125       ----      ----      ----      ----    667.00   +8.00                 659.00
2130       ----      ----      ----      ----    662.00   +8.00                 654.00                      61
2135       ----      ----      ----      ----    657.00   +8.00                 649.00
2140       ----      ----      ----      ----    652.00   +8.00                 644.00
2145       ----      ----      ----      ----    647.00   +8.00                 639.00
2150       ----      ----      ----      ----    642.00   +8.00                 634.00                      16
2155       ----      ----      ----      ----    637.00   +8.00                 629.00
2160       ----      ----      ----      ----    632.00   +8.00                 624.00
2165       ----      ----      ----      ----    627.00   +8.00                 619.00
2170       ----      ----      ----      ----    622.00   +8.00                 614.00
2175       ----      ----      ----      ----    617.00   +8.00                 609.00
2180       ----      ----      ----      ----    612.00   +8.00                 604.00
2185       ----      ----      ----      ----    607.00   +8.00                 599.00
2190       ----      ----      ----      ----    602.00   +8.00                 594.00
2195       ----      ----      ----      ----    597.00   +8.00                 589.00
2200       ----      ----      ----      ----    592.00   +8.00                 584.00
2205       ----      ----      ----      ----    587.00   +8.00                 579.00
2210       ----      ----      ----      ----    582.00   +8.00                 574.00                      13
2215       ----      ----      ----      ----    577.00   +8.00                 569.00
2220       ----      ----      ----      ----    572.00   +8.00                 564.00                      65
2225       ----      ----      ----      ----    567.00   +8.00                 559.00
2230       ----      ----      ----      ----    562.00   +8.00                 554.00
2235       ----      ----      ----      ----    557.00   +8.00                 549.00                       1
2240       ----      ----      ----      ----    552.00   +8.00                 544.00
2245       ----      ----      ----      ----    547.00   +8.00                 539.00
2250       ----      ----      ----      ----    542.00   +8.00                 534.00                       2
2255       ----      ----      ----      ----    537.00   +8.00                 529.00
2260       ----    536.25B     ----    534.50B   532.00   +8.00                 524.00
2265       ----      ----      ----      ----    527.00   +8.00                 519.00                       1
2270       ----      ----      ----      ----    522.00   +8.00                 514.00
2275       ----      ----      ----      ----    517.00   +8.00                 509.00
2280       ----      ----      ----      ----    512.00   +8.00                 504.00
2285       ----      ----      ----      ----    507.00   +8.00                 499.00
2290       ----      ----      ----      ----    502.00   +8.00                 494.00                       6
2295       ----      ----      ----      ----    497.00   +8.00                 489.00
2300       ----      ----      ----      ----    492.00   +8.00                 484.00           1          63
2305       ----      ----      ----      ----    487.00   +8.00                 479.00                       2
2310       ----      ----      ----      ----    482.00   +8.00                 474.00                       1
2315       ----      ----      ----      ----    477.00   +8.00                 469.00                       9
2320       ----      ----      ----      ----    472.00   +8.00                 464.00                       3
2325       ----      ----      ----      ----    467.00   +8.00                 459.00                       1
2330       ----      ----      ----      ----    462.00   +8.00                 454.00
2335       ----      ----      ----      ----    457.00   +8.00                 449.00                       1
2340       ----      ----      ----      ----    452.00   +8.00                 444.00                      66
2345       ----    449.25B     ----    449.25B   447.00   +8.00                 439.00                       2
2350       ----      ----      ----      ----    442.00   +8.00                 434.00                     604
2355       ----      ----      ----      ----    437.00   +8.00                 429.00                     166
2360       ----      ----      ----      ----    432.00   +8.00                 424.00                     125
2365       ----      ----      ----      ----    427.00   +8.00                 419.00                      54
