W Wheat Futures
DEC16     396'4     396'4     389'6     389'6     390'6    +4'4          34      386'2         257         133
MAR17     402'0     409'2     401'4     409'0     408'2    +7'2       68072      401'0       50867      268725
MAY17     413'4     420'4     413'2     417'0     418'6    +6'2       11130      412'4       10169       64328
JLY17     427'0     432'2     425'2     430'6     430'2    +5'4       10461      424'6       12374       64760
SEP17     440'6     446'2     440'6     444'4     444'2    +5'4        2764      438'6        2305       11761
DEC17     458'0     462'6     457'6A    462'2     462'0    +6'2        3385      455'6        2704       23165
MAR18     470'6     472'2B    469'6     472'2B    473'6    +6'0          94      467'6         414        3876
MAY18     478'6     481'4     478'0     481'4     480'6    +4'0          45      476'6         105         406
JLY18     490'4     490'4     485'6     486'2     488'2    +2'6          31      485'4          45         438
SEP18     501'0     501'0     501'0     501'0     500'4    +1'0           3      499'4          12         318
DEC18      ----      ----      ----      ----     519'4     +'6                  518'6          15         325
MAR19      ----      ----      ----      ----     535'4     +'6                  534'6           2          70
MAY19      ----      ----      ----      ----     547'6     +'6                  547'0
JLY19      ----      ----      ----      ----     527'6     +'6                  527'0                       1

WDF MAR17 Short-Dated New Crop Wheat Option CALL
3700       ----      ----      ----      ----        '7     -'4                    1'3
3750       ----      ----      ----      ----       1'1     -'6                    1'7
3800       ----      ----      ----      ----       1'5     -'7                    2'4
3850       ----      ----      ----      ----       2'1    -1'1                    3'2
3900       ----      ----       3'7A     ----       2'7    -1'3                    4'2
3950       ----      ----       4'6A     ----       3'7    -1'5                    5'4
4000       ----      ----      ----      ----       5'0    -1'7                    6'7
4050       ----      ----       7'1A     ----       6'3    -2'2                    8'5
4100       ----      ----      10'2A     ----       8'1    -2'4                   10'5
4150       ----      ----      12'0A     ----      10'0    -2'7                   12'7
4200       ----      ----      13'4A     ----      12'2    -3'1                   15'3
4250       ----      ----      ----      ----      14'5    -3'3                   18'0
4300       ----      ----      20'0A     ----      17'3    -3'5                   21'0
4350       ----      ----      ----      ----      20'2    -3'7                   24'1
4400       ----      ----      ----      ----      23'3    -4'0                   27'3
4450       ----      ----      ----      ----      26'5    -4'2                   30'7
4500       ----      ----      ----      ----      30'1    -4'3                   34'4
4550       ----      ----      ----      ----      33'6    -4'4                   38'2
4600       ----      ----      ----      ----      37'5    -4'5                   42'2
4650       ----      ----      ----      ----      41'4    -4'6                   46'2
4700       ----      ----      ----      ----      45'4    -4'7                   50'3
4750       ----      ----      ----      ----      49'5    -5'0                   54'5
4800       ----      ----      ----      ----      54'0    -5'0                   59'0
4850       ----      ----      ----      ----      58'3    -5'1                   63'4
4900       ----      ----      ----      ----      62'7    -5'1                   68'0
4950       ----      ----      ----      ----      67'3    -5'2                   72'5
5000       ----      ----      ----      ----      72'0    -5'2                   77'2
5050       ----      ----      ----      ----      76'5    -5'3                   82'0
5100       ----      ----      ----      ----      81'3    -5'2                   86'5
5150       ----      ----      ----      ----      86'1    -5'3                   91'4
5200       ----      ----      ----      ----      90'7    -5'3                   96'2
5250       ----      ----      ----      ----      95'5    -5'4                  101'1
5300       ----      ----      ----      ----     100'4    -5'4                  106'0                      50
5350       ----      ----      ----      ----     105'3    -5'4                  110'7
5400       ----      ----      ----      ----     110'2    -5'4                  115'6                      26
5450       ----      ----      ----      ----     115'2    -5'3                  120'5
5500       ----      ----      ----      ----     120'1    -5'4                  125'5
5550       ----      ----      ----      ----     125'0    -5'4                  130'4
5600       ----      ----      ----      ----     129'7    -5'5                  135'4
5650       ----      ----      ----      ----     134'7    -5'4                  140'3
5700       ----      ----      ----      ----     139'7    -5'4                  145'3
5750       ----      ----      ----      ----     144'7    -5'4                  150'3
5800       ----      ----      ----      ----     149'7    -5'4                  155'3
5850       ----      ----      ----      ----     154'6    -5'4                  160'2
5900       ----      ----      ----      ----     159'6    -5'4                  165'2
5950       ----      ----      ----      ----     164'6    -5'4                  170'2
6000       ----      ----      ----      ----     169'6    -5'4                  175'2
6050       ----      ----      ----      ----     174'6    -5'4                  180'2
6100       ----      ----      ----      ----     179'6    -5'4                  185'2
6150       ----      ----      ----      ----     184'6    -5'4                  190'2
6200       ----      ----      ----      ----     189'6    -5'4                  195'2
6250       ----      ----      ----      ----     194'6    -5'4                  200'2
6300       ----      ----      ----      ----     199'6    -5'4                  205'2
6350       ----      ----      ----      ----     204'6    -5'4                  210'2
6400       ----      ----      ----      ----     209'6    -5'4                  215'2
6450       ----      ----      ----      ----     214'6    -5'4                  220'2
6500       ----      ----      ----      ----     219'6    -5'4                  225'2
6550       ----      ----      ----      ----     224'6    -5'4                  230'2
6600       ----      ----      ----      ----     229'6    -5'4                  235'2
6650       ----      ----      ----      ----     234'6    -5'4                  240'2
6700       ----      ----      ----      ----     239'6    -5'4                  245'2
6750       ----      ----      ----      ----     244'6    -5'4                  250'2
6800       ----      ----      ----      ----     249'6    -5'4                  255'2
6850       ----      ----      ----      ----     254'6    -5'4                  260'2
6900       ----      ----      ----      ----     259'6    -5'4                  265'2
6950       ----      ----      ----      ----     264'6    -5'4                  270'2
7000       ----      ----      ----      ----     269'6    -5'4                  275'2
7050       ----      ----      ----      ----     274'6    -5'4                  280'2
7100       ----      ----      ----      ----     279'6    -5'4                  285'2
7150       ----      ----      ----      ----     284'6    -5'4                  290'2
7200       ----      ----      ----      ----     289'6    -5'4                  295'2
7250       ----      ----      ----      ----     294'6    -5'4                  300'2
7300       ----      ----      ----      ----     299'6    -5'4                  305'2

WZ JAN17 Wheat Options CALL
3000       ----      ----      ----      ----     108'3    +7'2                  101'1
3050       ----      ----      ----      ----     103'3    +7'2                   96'1
3100       ----      97'4B     ----      ----      98'3    +7'2                   91'1
3150       ----      92'5B     ----      ----      93'3    +7'2                   86'1
3200       ----      87'6B     ----      ----      88'3    +7'2                   81'1
3250       ----      82'4B     ----      ----      83'3    +7'2                   76'1
3300       ----      77'6B     ----      ----      78'3    +7'2                   71'1
3350       ----      72'6B     ----      ----      73'3    +7'2                   66'1
3400       ----      67'6B     ----      ----      68'3    +7'2                   61'1
3450       ----      62'6B     ----      ----      63'3    +7'2                   56'1
3500       ----      57'6B     ----      ----      58'3    +7'2                   51'1
3550       ----      52'6B     ----      ----      53'3    +7'2                   46'1
3600       ----      47'6B     ----      ----      48'3    +7'2                   41'1
3650       ----      42'6B     ----      ----      43'3    +7'2                   36'1
3700       ----      37'7B     ----      ----      38'3    +7'1                   31'2
3750       ----      33'0B     ----      ----      33'4    +7'1                   26'3
3800       ----      28'1B     ----      ----      28'5    +6'7                   21'6
3850       ----      23'4B     ----      ----      23'7    +6'4                   17'3
3900       15'3      19'0B     15'3      ----      19'3    +5'7           1       13'4                      27
3950       ----      15'5B     ----      ----      15'2    +5'1           1       10'1          10         236
4000        9'0      12'1B      9'0      ----      11'6    +4'2          20        7'4          62        1403
4050        8'1       9'5B      6'5A     ----       8'7    +3'5          74        5'2         233         473
4100        6'7       7'1B      4'6A     ----       6'3    +2'6         182        3'5         367        3532
4150        2'3       5'1B      2'3      ----       4'4    +2'0         535        2'4         154        1085
4200        3'4       3'6       2'3A     ----       3'1    +1'4         588        1'5         290        1567
4250        2'5       2'5       1'5A     ----       2'1    +1'0          61        1'1          84         676
4300        1'3       1'6B      1'1A     ----       1'4     +'6          41         '6           7        3459
4350        1'0       1'2B       '7A     ----       1'0     +'4          25         '4         608        1234
4400         '7        '7        '5      ----        '6     +'3          42         '3         533        2050
4450       ----        '5B     ----      ----        '4     +'2                     '2           9         804
4500         '3        '3        '3      ----        '3     +'1           6         '2           1        1185
4550         '2        '3        '2      ----        '2    UNCH           5         '2                     632
4600         '2        '2        '2      ----        '2     +'1           1         '1                    1445
4650         '2        '2        '2      ----        '1    UNCH           1         '1                     235
4700       ----      ----      ----      ----        '1    UNCH                     '1                     158
4750       ----      ----      ----      ----        '1    UNCH                     '1                     256
4800       ----      ----      ----      ----        '1    UNCH                     '1                     814
4850       ----      ----      ----      ----        '1    UNCH                     '1                     188
4900       ----      ----      ----      ----        '1    UNCH                     '1                     251
4950       ----      ----      ----      ----        '1    UNCH                     '1                      57
5000       ----      ----      ----      ----        '1    UNCH                     '1                     423
5050       ----      ----      ----      ----        '1    UNCH                     '1                      57
5100       ----      ----      ----      ----        '1    UNCH                     '1                      90
5150       ----      ----      ----      ----        '1    UNCH                     '1                      92
5200       ----      ----      ----      ----        '1    UNCH                     '1                      22
5250       ----      ----      ----      ----        '1    UNCH                     '1                       8
5300       ----      ----      ----      ----        '1    UNCH                     '1                      46
5350       ----      ----      ----      ----        '1    UNCH                     '1                      78
5400       ----      ----      ----      ----        '1    UNCH                     '1                       1
5450       ----      ----      ----      ----        '1    UNCH                     '1                       9
5500         '1        '1        '1      ----        '1    UNCH           1         '1                      22
WZ FEB17 Wheat Options CALL
3000       ----      ----      ----      ----     108'2    +7'2                  101'0
3050       ----     102'6B     ----      ----     103'2    +7'2                   96'0
3100       ----      97'2B     ----      ----      98'2    +7'2                   91'0
3150       ----      92'6B     ----      ----      93'2    +7'1                   86'1
3200       ----      87'6B     ----      ----      88'3    +7'2                   81'1
3250       ----      82'6B     ----      ----      83'3    +7'2                   76'1
3300       ----      77'6B     ----      ----      78'3    +7'2                   71'1
3350       ----      72'7B     ----      ----      73'3    +7'2                   66'1
3400       ----      67'7B     ----      ----      68'3    +7'1                   61'2
3450       ----      63'0B     ----      ----      63'4    +7'1                   56'3
3500       ----      58'1B     ----      ----      58'4    +6'7                   51'5
3550       ----      53'2B     ----      ----      53'5    +6'6                   46'7
3600       ----      48'4B     ----      ----      48'7    +6'6                   42'1
3650       ----      43'7B     ----      ----      44'1    +6'4                   37'5
3700       ----      39'4B     ----      ----      39'4    +6'2                   33'2
3750       ----      35'1B     ----      ----      35'2    +6'0                   29'2
3800       ----      30'7B     ----      ----      31'1    +5'6                   25'3
3850       ----      27'2B     ----      ----      27'2    +5'3                   21'7
3900       ----      23'5B     ----      ----      23'6    +5'1                   18'5                      30
3950       20'4      20'4      18'1A     ----      20'5    +4'6           2       15'7                      15
4000       17'2      18'2B     15'1A     ----      17'6    +4'3          67       13'3         129         195
4050       ----      15'5B     ----      ----      15'2    +4'0           3       11'2         117        1179
4100       13'1      13'6      10'7A     ----      13'0    +3'4         416        9'4         432        5571
4150       11'0      11'5       9'2A     ----      11'0    +3'0          24        8'0          30         551
4200        8'3       9'7       7'7A     ----       9'2    +2'5         735        6'5         166        3183
4250       ----       8'2B     ----      ----       7'6    +2'2          35        5'4           2         207
4300        6'3       7'0       5'4A     ----       6'4    +1'7         123        4'5          63        2148
4350        5'2       5'7B      4'5A     ----       5'4    +1'6          41        3'6                    2097
4400        4'6       5'0       4'0A     ----       4'5    +1'4          74        3'1         300        1747
4450        3'3       4'1B      3'2A     ----       4'0    +1'3           1        2'5                     170
4500        2'7       3'3B      2'6A     ----       3'3    +1'2         163        2'1         214        1896
4550        2'4       2'7B      2'3      ----       2'7    +1'1           3        1'6           2         116
4600        2'1       2'4       2'0A     ----       2'3     +'7          23        1'4           6         212
4650        2'0       2'0       1'5A     ----       2'0     +'6          64        1'2          52          82
4700        1'5       1'6B      1'4A     ----       1'5     +'5           4        1'0         448        1681
4750       ----       1'3B     ----      ----       1'3     +'4                     '7          20          61
4800       ----       1'2B     ----      ----       1'2     +'4                     '6         551         738
4850        1'1       1'1       1'0A     ----       1'1     +'4          34         '5           1          18
4900       ----        '7B     ----      ----       1'0     +'3                     '5         250         705
4950       ----        '6B     ----      ----        '7     +'3                     '4           8          77
5000       ----        '5B     ----      ----        '6     +'3                     '3                      29
5050       ----        '4B     ----      ----        '5     +'2                     '3           7          24
5100       ----        '4B     ----      ----        '4     +'1                     '3           4          54
5150       ----      ----      ----      ----        '4     +'1                     '3                      94
5200       ----      ----      ----      ----        '3    UNCH                     '3           4          55
5250       ----      ----      ----      ----        '3    UNCH                     '3           2          17
5300       ----      ----      ----      ----        '2     -'1                     '3                      28
5350       ----      ----      ----      ----        '2    UNCH                     '2                      15
5400       ----      ----      ----      ----        '2    UNCH                     '2                      12
WZ MAR17 Wheat Options CALL
2000       ----      ----      ----      ----     208'2    +7'2                  201'0
2100       ----     196'7B     ----      ----     198'2    +7'2                  191'0
2200       ----     187'1B     ----      ----     188'2    +7'2                  181'0
2300       ----     177'0B     ----      ----     178'2    +7'2                  171'0
2400       ----     166'7B     ----      ----     168'2    +7'2                  161'0
2500       ----     157'1B     ----      ----     158'2    +7'2                  151'0
2600       ----     147'0B     ----      ----     148'2    +7'2                  141'0
2700       ----     136'7B     ----      ----     138'2    +7'2                  131'0
2800       ----     127'1B     ----      ----     128'2    +7'2                  121'0
2900       ----     117'0B     ----      ----     118'2    +7'2                  111'0
3000       ----     107'2B     ----      ----     108'2    +7'2                  101'0
3050       ----     102'2B     ----      ----     103'2    +7'2                   96'0
3100       ----      97'2B     ----      ----      98'2    +7'2                   91'0
3150       ----      92'2B     ----      ----      93'2    +7'2                   86'0
3200       ----      87'3B     ----      ----      88'2    +7'1                   81'1
3250       ----      82'3B     ----      ----      83'3    +7'1                   76'2
3300       ----      77'4B     ----      ----      78'3    +7'0                   71'3
3350       ----      72'5B     ----      ----      73'4    +7'0                   66'4
3400       ----      67'6B     ----      ----      68'5    +7'0                   61'5
3450       ----      63'0B     ----      ----      63'6    +6'7                   56'7
3500       ----      58'2B     ----      ----      59'0    +6'6                   52'2
3550       ----      53'4B     ----      ----      54'2    +6'5                   47'5
3600       ----      49'4B     ----      ----      49'5    +6'4                   43'1
3650       ----      45'0B     ----      ----      45'1    +6'2                   38'7
3700       ----      40'6B     ----      ----      40'7    +6'0                   34'7
3750       36'7      37'1B     33'6A     ----      36'7    +5'6           1       31'1
3800       29'7      33'4B     29'7      ----      33'1    +5'4          10       27'5          30          30
3850       26'4      30'0B     26'4      ----      29'4    +5'1           1       24'3          15          29
3900       23'7      26'6B     23'3A     ----      26'2    +4'6          29       21'4           1         186
3950       24'0      24'1B     20'5A     ----      23'2    +4'2           9       19'0          15         110
4000       20'4      21'3B     18'1A     ----      20'3    +3'6         220       16'5         167        2937
4050       17'0      18'7B     16'1A     ----      18'0    +3'4          35       14'4          70         135
4100       13'0      16'6      13'0      ----      16'0    +3'4         140       12'4         688        7871
4150       13'2      14'5B     12'1A     13'0      14'0    +3'1          45       10'7        1064        1056
4200       10'1      12'7B     10'1      ----      12'2    +2'7        1759        9'3        1400       11341
4250       10'6      11'2B      9'2A     ----      10'5    +2'4          85        8'1          67         249
4300        8'6       9'7       8'0A      9'4       9'2    +2'2         583        7'0         427        9316
4350        8'1       8'4B      7'0A     ----       8'0    +2'0          20        6'0         366        1094
4400        7'0       7'4       6'0      ----       7'0    +1'6         131        5'2         414        4218
4450        6'3       6'4B      5'2A     ----       6'0    +1'4          29        4'4                     106
4500        5'2       5'5B      4'4      ----       5'2    +1'3         389        3'7         740        6599
4550        4'2       5'0B      4'0A     ----       4'5    +1'2          16        3'3         100         150
4600        4'0       4'3B      3'4A     ----       4'0    +1'0         983        3'0         850        4020
4650       ----       3'6B     ----      ----       3'4     +'7                    2'5          68         104
4700        2'7       3'2B      2'5A     ----       3'1     +'6          14        2'3          73        3492
4750        2'5       2'7B      2'3A     ----       2'6     +'5           4        2'1           9         144
4800        2'1       2'4B      2'0A     ----       2'3     +'4           1        1'7         508        3021
4850       ----       2'2B     ----      ----       2'1     +'4                    1'5          16          83
4900        1'6       2'0B      1'5A     ----       1'7     +'4          20        1'3         750        3741
4950       ----       1'6B     ----      ----       1'5     +'3                    1'2          44          36
5000        1'4       1'4       1'2      ----       1'4     +'3          31        1'1          76        5483
5050        1'1       1'3B      1'1      ----       1'3     +'3          10        1'0                      62
5100       ----       1'2B     ----      ----       1'2     +'3                     '7                    2248
5150       ----       1'1B     ----      ----       1'1     +'3                     '6                      70
5200       ----       1'0B     ----      ----       1'0     +'2                     '6        1051        3037
5250         '6        '7B       '6      ----        '7     +'2           7         '5          50         120
5300       ----        '6B     ----      ----        '6     +'2                     '4                    1005
5400       ----        '5B     ----      ----        '5     +'1                     '4                     950
5500         '4        '4        '4      ----        '4     +'1           5         '3                    1863
5600       ----        '3B     ----      ----        '3     +'1                     '2                     331
5700       ----        '3B     ----      ----        '3     +'1                     '2                     229
5800       ----      ----      ----      ----        '2    UNCH                     '2                     195
5900       ----      ----      ----      ----        '2    UNCH                     '2                     151
6000       ----      ----      ----      ----        '2     +'1                     '1                    2398
6100       ----      ----      ----      ----        '1    UNCH                     '1                     180
6200       ----      ----      ----      ----        '1    UNCH                     '1                     142
6300       ----      ----      ----      ----        '1    UNCH                     '1                     154
6400       ----      ----      ----      ----        '1    UNCH                     '1                     109
6500         '1        '1        '1      ----        '1    UNCH          27         '1                    2223
6600       ----      ----      ----      ----        '1    UNCH                     '1                     115
6700       ----      ----      ----      ----        '1    UNCH                     '1                      30
6800       ----      ----      ----      ----        '1    UNCH                     '1                     104
6900       ----      ----      ----      ----        '1    UNCH                     '1                      24
7000       ----      ----      ----      ----        '1    UNCH                     '1                      95
7100       ----      ----      ----      ----        '1    UNCH                     '1
7200       ----      ----      ----      ----        '1    UNCH                     '1
7300       ----      ----      ----      ----        '1    UNCH                     '1                     100
