date,0,1,2,3,4,5,6,7,8,9
2017-01-01,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-01-03,0.2222222222222222,0.4444444444444444,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.2222222222222222
2017-01-04,0.42857142857142855,0.21428571428571427,0.0,0.0,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.0,0.0,0.07142857142857142
2017-01-05,0.6666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666
2017-01-06,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.36363636363636365,0.09090909090909091,0.0,0.0,0.36363636363636365
2017-01-07,0.0,0.3333333333333333,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666
2017-01-08,0.2,0.4,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0
2017-01-09,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.2222222222222222
2017-01-10,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
2017-01-11,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.3333333333333333,0.2222222222222222
2017-01-12,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25
2017-01-13,0.375,0.125,0.0,0.0,0.0,0.375,0.0,0.0,0.125,0.0
2017-01-14,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.5
2017-01-15,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5
2017-01-16,0.2857142857142857,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857
2017-01-17,0.42857142857142855,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0
2017-01-18,0.125,0.125,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.5
2017-01-19,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.42857142857142855
2017-01-20,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666
2017-01-21,0.16666666666666666,0.08333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333
2017-01-22,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
2017-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-01-24,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2017-01-25,0.1,0.1,0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.1
2017-01-26,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.0,0.14285714285714285
2017-01-27,0.0,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
2017-01-28,0.0,0.25,0.0,0.125,0.25,0.125,0.0,0.0,0.25,0.0
2017-01-29,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.25
2017-01-30,0.2727272727272727,0.18181818181818182,0.0,0.09090909090909091,0.0,0.2727272727272727,0.0,0.0,0.09090909090909091,0.09090909090909091
2017-01-31,0.0,0.5,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0
2017-02-01,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0
2017-02-02,0.42857142857142855,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285
2017-02-03,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.0
2017-02-04,0.42857142857142855,0.0,0.0,0.0,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0
2017-02-05,0.4,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2
2017-02-06,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857
2017-02-07,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857
2017-02-08,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
