date,C_up_gamma,C_up_gamma_5,C_down_gamma,C_down_gamma_5
2016-09-21,112.157506293739,172.81636714930838,449.3267985709274,318.0971445564783
2016-09-22,112.58647292023502,176.4484802392287,409.9691174495591,326.69361068256865
2016-09-27,147.266553034433,196.65333038598183,291.28701293073294,220.83500528188742
2016-09-29,149.4626266588303,198.94339704024088,312.09984258957337,237.1850679749759
2016-09-30,149.8725097464147,200.02420508963618,324.2801226211767,247.84425688307357
2016-10-04,140.08898674500955,153.88302333741373,563.5982363070594,421.29417090125924
2016-10-05,154.87816047764665,161.28451193488365,566.5964644720267,420.272241926123
2016-10-06,151.43301520728053,160.37185028088473,579.1616451273553,426.73577558334796
2016-10-11,147.92741190948894,156.42640377022389,604.7790140158775,420.84053330599824
2016-10-13,181.69294683095242,201.4837573153959,535.9671504273953,317.88185388294477
2016-10-14,179.89526341994477,186.78530739513013,650.4557076520001,529.0936103815588
2016-10-17,140.34924654798132,162.4890679429837,685.7231640045106,533.5629408643881
2016-10-18,144.31774027721886,172.06845169770259,727.8069624866188,554.6438477053904
2016-10-19,142.94000976719843,172.63873988355087,774.0547121270308,573.5621589436691
2016-10-20,156.43884155706976,176.60889709996383,815.4735008688881,621.8461244160098
2016-10-21,135.60942221904483,231.11831649436235,773.49997851845,553.1032285328556
2016-10-24,151.99033749633043,180.22933524823867,834.4280889678995,594.0051417419248
2016-10-25,204.50932732790292,232.80296552560827,868.4484406286906,582.8672230240361
2016-10-26,219.73116606042782,251.37703029578915,918.4178122519507,695.5704848497808
2016-10-27,167.75586800131737,203.14102727985295,1029.059017688143,741.3855682187249
2016-10-31,162.90751637962984,220.69688242773876,996.7019934226242,706.1569293142409
2016-11-01,186.48186952741847,225.57828595639756,1113.861755276314,782.654965568326
2016-11-02,228.58213271946778,274.93408085629886,931.1276479837521,662.9384052746883
2016-11-03,194.69721477072702,252.49014938627883,910.0691716115682,586.2569786632282
2016-11-04,215.55593632042914,236.30703923479223,904.1044951920214,574.339934975343
2016-11-07,232.20921771805413,263.5536381023021,960.0864548559853,607.0927614142305
2016-11-08,205.18329304131422,290.8078991097872,994.6645668381428,609.2824965510724
2016-11-09,180.7149416100317,222.9200103389249,1157.0394111610096,780.4163454401595
2016-11-10,186.53924354366671,363.3202202504489,873.2916314229122,541.1053231027319
2016-11-11,196.31456333170834,260.801881377914,935.8020473662878,557.6911678947351
2016-11-14,180.1636687163194,402.99447746227554,946.2963578979702,547.6522875768356
2016-11-15,213.06637797981185,365.3327124252982,940.626986339658,489.4723610471504
2016-11-16,209.62981487345667,502.20755650792483,1031.1178367832701,515.348285880324
2016-11-17,277.3890576427246,506.20630549456,1365.37703714463,563.1667778526886
2016-11-18,254.382377850155,331.39921843594743,1474.990675370185,701.1347281444611
2016-11-21,223.6350349573012,395.26380800906117,1594.476716775817,731.3200172859131
2016-11-22,354.8797793004524,422.7596827295327,1660.2273527211785,909.7252608926291
2016-11-24,170.98193304424376,503.354810670232,1660.251032087699,772.0056416277457
2016-11-25,104.64908313967022,144.37844167688365,1273.6908428824204,407.3538106520202
2016-11-28,108.53801402094676,129.97604851402525,657.7335594746144,331.8627467267896
2016-11-29,113.3601308930812,142.3325798299376,862.6257939487133,485.2137464738663
2016-11-30,128.92560376281196,170.22526450344714,556.7303109397492,205.5618512227458
2016-12-01,133.24959179008434,186.47392328701412,591.2559722666614,178.68197920906545
2016-12-02,112.53024292952973,154.9838969222032,518.6767414286219,218.35243641316816
2016-12-05,134.13463810423855,182.8234210145234,737.6564890150117,286.7977578155025
2016-12-06,134.56448127517342,136.19808128398725,800.6757315372789,489.5806699413763
2016-12-07,116.57988657808383,144.9469029263572,832.2687422301599,504.07159901203977
2016-12-08,128.24361092044828,159.94857810011314,842.8512414153391,437.582061538183
2016-12-09,130.59342850510293,156.53256670953522,796.5526174208106,385.2829913316604
2016-12-12,140.69410723178348,149.6867272375488,954.2858506193436,528.8139299823742
2016-12-13,122.94041807599977,165.70083825384805,807.4646297724033,367.3385222472133
2016-12-14,127.43795702550965,150.48056732727125,845.0500034163514,359.4010987702113
2016-12-15,116.64279333131525,164.68361909305986,1097.0781733879396,447.21676842659747
2016-12-16,183.7859752269371,261.0192094262125,807.1905827991835,261.6008803058759
2016-12-19,180.62664547265953,263.0640751416785,860.0966119881233,262.30700774903073
2016-12-20,168.65236479122476,265.904927449189,1018.6278363896413,213.33278137789856
2016-12-21,151.1439214960233,304.46598693374494,1112.2804112396443,235.4135033830956
2016-12-22,167.27180931599585,341.0707952946355,1772.2217083540197,183.1194177924244
2016-12-26,167.24836303015493,306.9575333825397,308.4490809269514,157.28668456143367
2016-12-27,110.13026186180329,118.65731438136126,224.71792081838473,139.45366433973373
2016-12-28,145.08283714284906,152.27825900057533,467.38824475923195,256.95766679463645
2016-12-29,175.08484602794763,206.24915103272795,372.3144495585083,196.06550250068574
2017-01-02,213.67147604562012,203.0174272514963,379.2073055862242,240.85685247807302
2017-01-03,100.9412879816832,103.87716942131472,375.318111905803,207.36176922240247
2017-01-04,182.67230972131193,159.6569415209379,609.4641398902245,322.5186674843261
2017-01-05,174.58030832717336,156.94836686588837,627.3842191258793,406.00426330430656
2017-01-06,145.96691728794136,134.33458099561713,651.591593859017,399.5418997664873
2017-01-09,208.56252187527815,179.9097425270968,646.5533871994021,351.95073656824337
2017-01-10,147.43886319443732,165.11034050366263,671.7984486187304,421.2771832410078
2017-01-11,235.6996010420321,197.02506683308332,657.906180026116,349.9883079931638
2017-01-12,237.66737543174284,202.330715853346,712.1659247862011,379.2481141194689
2017-01-16,218.85573042671678,224.11498505018656,875.6119633000433,424.6680217784463
2017-01-17,161.08790556633622,147.49146370107738,577.5151436831449,330.1867813639891
2017-01-18,153.44973518788905,168.14819707038393,1013.0035697003963,534.5125397843108
2017-01-19,155.54680631433916,178.79509487142488,1026.122574827039,513.7421633274882
2017-01-20,170.26549035464316,176.75503974444018,964.4537971654255,486.62112214251687
2017-01-23,191.53355159852313,212.40005413425854,939.7111474675713,548.7783871190329
2017-01-24,192.2939055607631,221.90580408100612,1025.3961190719046,600.403824700228
2017-01-25,182.47039559578633,265.29805802916906,1043.6522865822405,461.1133755955104
2017-01-26,199.2362355697769,176.91097084860863,1173.3231149563524,494.00797070496986
2017-01-27,208.9241327425414,305.608999545355,1230.510986003384,438.95265314691864
2017-01-30,185.01510665808357,193.72979684117234,860.3761506169426,477.56372564815166
