,0,ret_5
2018-02-09 07:48:00-06:00,"b'Without more Republicans in Congress, we were forced to increase spending on things we do not like or want in order\\u2026 https://t.co/7dfsJYWjRY'",-0.0033330159032473098
2018-10-09 09:19:00-05:00,b'Big announcement with my friend Ambassador Nikki Haley in the Oval Office at 10:30am.',-0.003270786710277156
2019-08-13 09:11:00-05:00,"b'As usual, China said they were going to be buying \\u201cbig\\u201d from our great American Farmers. So far they have not done\\u2026 https://t.co/yRfMWeh6Lu'",-0.0032450896669513236
2019-09-12 09:08:00-05:00,"b'\\u201cWe can\\u2019t beat him, so lets impeach him!\\u201d Democrat Rep. Al Green'",-0.003240009969261444
2018-02-21 08:23:00-06:00,b'The GREAT Billy Graham is dead. There was nobody like him! He will be missed by Christians and all religions. A very special man.',-0.003187033327262794
2018-04-13 14:37:00-05:00,b'DOJ just issued the McCabe report - which is a total disaster. He LIED! LIED! LIED! McCabe was totally controlled b\\u2026 https://t.co/gK2Zjw6HyE',-0.003181733108740408
2018-10-12 09:27:00-05:00,b'PASTOR BRUNSON JUST RELEASED. WILL BE HOME SOON!',-0.003151165931394616
2018-02-09 07:40:00-06:00,b'Just signed Bill. Our Military will now be stronger than ever before. We love and need our Military and gave them e\\u2026 https://t.co/9MtCabhzj8',-0.0031422586174062084
2018-04-03 14:16:00-05:00,"b'Today, it was my honor to welcome Estonia President @KerstiKaljulaid, Lithuania President @Grybauskaite_LT, and Lat\\u2026 https://t.co/2jWXvyGxRS'",-0.0031342007788014055
2019-01-03 11:41:00-06:00,b'The RNC has a great Chairwoman in Ronna McDaniel and the @GOP has never been stronger. We achieved historic wins wi\\u2026 https://t.co/HvxTc0GyYv',-0.0031227964138208926
2018-11-01 09:10:00-05:00,"b'Just had a long and very good conversation with President Xi Jinping of China. We talked about many subjects, with\\u2026 https://t.co/oCSlKlE2Ny'",-0.003120984027905269
2019-03-22 11:48:00-05:00,"b'It is my pleasure to announce that @StephenMoore, a very respected Economist, will be nominated to serve on the Fed\\u2026 https://t.co/L5qoYOutWo'",-0.0031066927037102787
2018-08-15 09:58:00-05:00,"b'Happy Birthday to the leader of the Democrat Party, Maxine Waters!'",-0.0030978934324659233
2019-06-04 09:51:00-05:00,b'Thank you @Theresa_May!\\U0001f1fa\\U0001f1f8\\U0001f1ec\\U0001f1e7 https://t.co/zFJj47UuHO',-0.003056729299649375
2018-02-08 21:23:00-06:00,b'Wow! -Senator Mark Warner got caught having extensive contact with a lobbyist for a Russian oligarch. Warner did no\\u2026 https://t.co/N5SoaLnllm',-0.003040380047505938
2018-10-30 12:38:00-05:00,"b'.@MikeDeWine will be a great Governor for the People of Ohio. He is an outstanding man who loves his State \\u2013 and always produces big....'b'....Richard Cordray will let you down, just like he did when he destroyed the government agency that he ran. Clone\\u2026 https://t.co/zHunWW4fH9'",-0.0030078014851019834
2018-11-30 07:09:00-06:00,b'#USMCA\\U0001f1fa\\U0001f1f8\\U0001f1f2\\U0001f1fd\\U0001f1e8\\U0001f1e6 \\nhttps://t.co/7CYsYBYbd1',-0.003004643540016389
2018-12-07 14:03:00-06:00,"b'Mike Pompeo is doing a great job, I am very proud of him. His predecessor, Rex Tillerson, didn\\u2019t have the mental ca\\u2026 https://t.co/gJDjQCcvh7'",-0.0029347723184701318
2018-12-19 08:30:00-06:00,"b'We have defeated ISIS in Syria, my only reason for being there during the Trump Presidency.'",-0.0029285435376805937
2018-05-01 14:43:00-05:00,"b'Today, it was my great honor to thank and welcome heroic crew members and passengers of Southwest Airlines Flight 1\\u2026 https://t.co/foqQ0iAZjY'",-0.002904253325838486
