,0,1,after4_date
0,0.2312908047831287,0.19456776133610384,2009-05-05
1,0.05278178994926284,0.062220753071974645,2009-05-08
2,0.07978483768710276,0.03523610917803565,2009-05-09
3,0.09824769639917019,0.0419780031640195,2009-05-12
4,0.0699098131500082,0.06214685350831483,2009-05-13
5,0.1292317672759903,0.12244657677777654,2009-05-14
6,0.11223956691019141,0.041010002766951464,2009-05-15
7,0.07441207961015216,0.027728822769379616,2009-05-17
8,0.13832628726680662,0.07506440004297799,2009-05-18
9,0.1650765017226004,0.03868487191049434,2009-05-20
10,0.14507025132798507,0.07519969126345166,2009-05-21
11,0.10661737310932931,0.042047399179198364,2009-05-22
12,0.1054162712785007,0.011464163068653834,2009-05-23
13,0.11065726297990569,0.13259269029130086,2009-05-24
14,0.08483716774111605,0.07809469161874151,2009-05-26
15,0.07367028118384121,0.09842382871202902,2009-05-27
16,0.17990492777916614,0.07850031031647359,2009-05-29
17,0.02931270330199298,0.048928176435796576,2009-06-04
18,0.11605964089128627,0.17457759770900144,2009-06-06
19,0.10611611189384779,0.008394905277186216,2009-06-09
20,0.0581635476753582,0.06709393806350458,2009-06-14
21,0.0974095402373603,0.15268325142126937,2009-06-16
22,0.06342364525730436,0.006849463730851034,2009-06-18
23,0.13271805482901658,0.019442292135573424,2009-06-21
24,0.05776491490506033,0.10932417560532147,2009-06-23
25,0.025053667887976187,0.03414279403826053,2009-06-25
26,0.07552062041832243,0.04598856404898629,2009-06-27
27,0.15015545880256936,0.048608156295453245,2009-06-30
28,0.15902025886102739,0.06823434150090177,2009-07-05
29,0.09154620187046637,0.036270930372837726,2009-07-13
30,0.03112966946248023,0.05744578707859707,2009-07-15
31,0.11995350015538613,-0.0054761290386048005,2009-07-23
32,0.09825871811291992,0.06003550763553698,2009-07-29
33,0.0758048818020591,0.06230048278864269,2009-08-04
34,0.1275581547083594,0.03203818263417472,2009-08-11
35,0.10043024744968679,0.08282061280803639,2009-08-14
36,0.08776574226374212,0.06826186917467938,2009-08-20
37,0.1138503081467387,0.10315160322976252,2009-08-21
38,0.1253486557262133,0.10963045881414714,2009-08-24
39,0.07177056743559715,0.026202380058352466,2009-08-30
40,0.03746030294056737,0.030984619319026626,2009-09-01
41,0.03786538313723079,0.05459698273126051,2009-09-15
